date,num-guests
2017-12-01,1
2018-08-06,2
2018-11-18,1
2018-11-23,1
2018-11-25,2
2018-12-16,1
2018-12-18,1
2018-12-22,5
2018-12-23,4
2018-12-25,7
2018-12-26,4
2018-12-27,9
2018-12-28,23
2018-12-29,117
2018-12-30,166
2018-12-31,174
2019-01-01,171
2019-01-02,236
2019-01-03,186
2019-01-04,218
2019-01-05,157
2019-01-06,76
2019-01-07,158
2019-01-08,135
2019-01-09,123
2019-01-10,101
2019-01-11,185
2019-01-12,195
2019-01-13,115
2019-01-14,148
2019-01-15,135
2019-01-16,178
2019-01-17,140
2019-01-18,187
2019-01-19,134
2019-01-20,129
2019-01-21,205
2019-01-22,199
2019-01-23,159
2019-01-24,161
2019-01-25,178
2019-01-26,199
2019-01-27,160
2019-01-28,176
2019-01-29,174
2019-01-30,153
2019-01-31,138
2019-02-01,187
2019-02-02,229
2019-02-03,126
2019-02-04,218
2019-02-05,175
2019-02-06,165
2019-02-07,140
2019-02-08,185
2019-02-09,324
2019-02-10,114
2019-02-11,238
2019-02-12,197
2019-02-13,168
2019-02-14,193
2019-02-15,253
2019-02-16,309
2019-02-17,165
2019-02-18,250
2019-02-19,190
2019-02-20,172
2019-02-21,195
2019-02-22,241
2019-02-23,297
2019-02-24,137
2019-02-25,187
2019-02-26,166
2019-02-27,185
2019-02-28,226
2019-03-01,253
2019-03-02,293
2019-03-03,112
2019-03-04,197
2019-03-05,147
2019-03-06,141
2019-03-07,124
2019-03-08,241
2019-03-09,369
2019-03-10,162
2019-03-11,280
2019-03-12,193
2019-03-13,211
2019-03-14,286
2019-03-15,382
2019-03-16,394
2019-03-17,155
2019-03-18,131
2019-03-19,207
2019-03-20,220
2019-03-21,321
2019-03-22,349
2019-03-23,427
2019-03-24,163
2019-03-25,287
2019-03-26,209
2019-03-27,235
2019-03-28,243
2019-03-29,383
2019-03-30,353
2019-03-31,216
2019-04-01,248
2019-04-02,271
2019-04-03,265
2019-04-04,260
2019-04-05,405
2019-04-06,400
2019-04-07,249
2019-04-08,422
2019-04-09,326
2019-04-10,459
2019-04-11,528
2019-04-12,405
2019-04-13,498
2019-04-14,334
2019-04-15,402
2019-04-16,314
2019-04-17,342
2019-04-18,484
2019-04-19,800
2019-04-20,517
2019-04-21,344
2019-04-22,346
2019-04-23,382
2019-04-24,357
2019-04-25,374
2019-04-26,464
2019-04-27,523
2019-04-28,522
2019-04-29,452
2019-04-30,297
2019-05-01,417
2019-05-02,419
2019-05-03,515
2019-05-04,506
2019-05-05,374
2019-05-06,425
2019-05-07,379
2019-05-08,301
2019-05-09,354
2019-05-10,416
2019-05-11,425
2019-05-12,441
2019-05-13,544
2019-05-14,423
2019-05-15,287
2019-05-16,452
2019-05-17,598
2019-05-18,390
2019-05-19,384
2019-05-20,451
2019-05-21,424
2019-05-22,325
2019-05-23,460
2019-05-24,496
2019-05-25,577
2019-05-26,499
2019-05-27,446
2019-05-28,473
2019-05-29,448
2019-05-30,833
2019-05-31,643
2019-06-01,508
2019-06-02,437
2019-06-03,435
2019-06-04,392
2019-06-05,354
2019-06-06,404
2019-06-07,505
2019-06-08,706
2019-06-09,476
2019-06-10,488
2019-06-11,505
2019-06-12,394
2019-06-13,469
2019-06-14,670
2019-06-15,628
2019-06-16,432
2019-06-17,679
2019-06-18,482
2019-06-19,137
2019-06-20,185
2019-06-21,268
2019-06-22,749
2019-06-23,479
2019-06-24,667
2019-06-25,438
2019-06-26,513
2019-06-27,466
2019-06-28,569
