Date,Germany,Italy,Netherlands,Switzerland
2019-05-27,1.29,11.08,3.94,80.55
2019-05-28,1.03,10.8,3.86,81.21
2019-05-29,1.65,9.96,3.75,81.6
2019-05-30,3.97,4.92,4.16,82.87
2019-05-31,2.17,8.28,3.77,82.39
2019-06-01,3.3,6.7,4.08,81.73
2019-06-02,4.56,7.72,4.17,78.77
2019-06-03,1.53,10.6,3.79,80.87
2019-06-04,0.88,10.63,3.75,81.79
2019-06-05,1.09,10.47,3.74,81.65
2019-06-06,1.57,10.02,4.02,81.35
2019-06-07,3.34,9.3,3.95,80.36
2019-06-08,7.72,5.96,4.48,78.15
2019-06-09,6.81,6.66,4.57,77.76
2019-06-10,4.34,6.12,4.76,80.27
2019-06-11,1.65,10.33,4.09,80.73
2019-06-12,1.7,10.13,4.15,80.94
2019-06-13,1.76,10.41,3.83,80.91
2019-06-14,2.49,10.39,3.96,79.69
2019-06-15,6.1,7.35,4.53,77.89
2019-06-16,4.69,8.87,4.3,77.64
2019-06-17,1.77,10.88,3.92,79.76
2019-06-18,1.45,10.88,3.95,79.45
2019-06-19,2.27,10.76,4.0,78.65
2019-06-20,5.74,6.93,4.54,76.76
2019-06-21,4.55,9.35,4.27,76.96
2019-06-22,7.85,7.11,5.04,74.65
2019-06-23,5.52,9.64,4.4,75.41
2019-06-24,1.45,11.59,3.98,79.25
2019-06-25,0.98,11.29,3.85,80.37
2019-06-26,1.01,11.5,3.97,79.86
2019-06-27,1.3,11.46,4.03,79.52
2019-06-28,1.82,11.07,4.04,79.25
2019-06-29,4.11,7.87,4.54,77.71
2019-06-30,3.52,10.18,4.31,76.31
2019-07-01,1.51,11.49,3.94,78.91
2019-07-02,1.11,11.38,3.9,79.57
2019-07-03,1.12,11.11,3.99,79.6
2019-07-04,1.45,11.08,3.96,79.32
2019-07-05,2.06,10.77,4.07,78.53
2019-07-06,3.65,7.67,5.02,77.76
2019-07-07,3.46,9.29,4.9,76.19
2019-07-08,1.63,11.02,4.23,78.26
2019-07-09,1.25,10.94,4.18,79.11
2019-07-10,1.31,11.33,4.22,78.67
2019-07-11,1.69,11.35,4.7,77.68
2019-07-12,2.39,10.75,4.97,76.59
2019-07-13,5.02,7.36,6.0,74.62
2019-07-14,4.47,9.97,5.83,72.81
