,Capacita,DataNome,Disponibilita,OccupazionePerc,Ora,Parcheggio,data,hour
0,246,17-Giu-2019,62,74.8,11:00:00,Centro Est - Piazza Castello,2019-06-17,11
1,234,17-Giu-2019,121,48.29,11:00:00,Centro Sud - LAC,2019-06-17,11
2,200,17-Giu-2019,33,83.5,11:00:00,Centro - Motta,2019-06-17,11
3,410,17-Giu-2019,230,43.9,11:00:00,Cornaredo - Resega,2019-06-17,11
4,96,17-Giu-2019,69,28.13,11:00:00,Centro - Bettydo,2019-06-17,11
5,81,17-Giu-2019,29,64.2,11:00:00,Stazione - Ex Pestalozzi,2019-06-17,11
6,440,17-Giu-2019,377,14.32,23:00:00,Centro - Balestra,2019-06-17,23
7,153,17-Giu-2019,46,69.93,23:00:00,Cornaredo - Termica,2019-06-17,23
8,109,17-Giu-2019,80,26.61,23:00:00,Cornaredo - Stadio Est,2019-06-17,23
9,170,17-Giu-2019,87,48.82,23:00:00,Centro Est - Campo Marzio,2019-06-17,23
10,246,17-Giu-2019,151,38.62,23:00:00,Centro Est - Piazza Castello,2019-06-17,23
11,234,17-Giu-2019,217,7.26,23:00:00,Centro Sud - LAC,2019-06-17,23
12,200,17-Giu-2019,161,19.5,23:00:00,Centro - Motta,2019-06-17,23
13,410,17-Giu-2019,338,17.56,23:00:00,Cornaredo - Resega,2019-06-17,23
14,96,17-Giu-2019,86,10.42,23:00:00,Centro - Bettydo,2019-06-17,23
15,81,17-Giu-2019,72,11.11,23:00:00,Stazione - Ex Pestalozzi,2019-06-17,23
16,96,17-Giu-2019,86,10.42,22:00:00,Centro - Bettydo,2019-06-17,22
17,81,17-Giu-2019,66,18.52,22:00:00,Stazione - Ex Pestalozzi,2019-06-17,22
18,440,17-Giu-2019,364,17.27,22:00:00,Centro - Balestra,2019-06-17,22
19,153,17-Giu-2019,46,69.93,22:00:00,Cornaredo - Termica,2019-06-17,22
20,109,17-Giu-2019,81,25.69,22:00:00,Cornaredo - Stadio Est,2019-06-17,22
21,170,17-Giu-2019,55,67.65,22:00:00,Centro Est - Campo Marzio,2019-06-17,22
22,109,17-Giu-2019,82,24.77,21:00:00,Cornaredo - Stadio Est,2019-06-17,21
23,170,17-Giu-2019,38,77.65,21:00:00,Centro Est - Campo Marzio,2019-06-17,21
24,246,17-Giu-2019,133,45.93,22:00:00,Centro Est - Piazza Castello,2019-06-17,22
25,234,17-Giu-2019,207,11.54,22:00:00,Centro Sud - LAC,2019-06-17,22
26,200,17-Giu-2019,145,27.5,22:00:00,Centro - Motta,2019-06-17,22
27,410,17-Giu-2019,338,17.56,22:00:00,Cornaredo - Resega,2019-06-17,22
28,200,17-Giu-2019,146,27.0,21:00:00,Centro - Motta,2019-06-17,21
29,410,17-Giu-2019,338,17.56,21:00:00,Cornaredo - Resega,2019-06-17,21
30,96,17-Giu-2019,86,10.42,21:00:00,Centro - Bettydo,2019-06-17,21
31,81,17-Giu-2019,63,22.22,21:00:00,Stazione - Ex Pestalozzi,2019-06-17,21
32,440,17-Giu-2019,359,18.41,21:00:00,Centro - Balestra,2019-06-17,21
33,153,17-Giu-2019,44,71.24,21:00:00,Cornaredo - Termica,2019-06-17,21
34,440,17-Giu-2019,348,20.91,20:00:00,Centro - Balestra,2019-06-17,20
