X,Y,OBJECTID,fermata,denominazi,abbr,cod_mezzo,cod_locali,cod_zona,osservazio,data,attiva,Coord_Z,nodo
717261.1,96067.6,"1168","4001","Lugano, Centro",LUGCN,"1","172","10001",,"20011004000000.000","1","283","1"
716419.0,94085.0,"1169","4002","Paradiso, Carzo",PARCR,"1","356","10001",,,"1","310","1"
716543.2,94056.1,"1170","4003","Paradiso, Via Calprino",PARCA,"1","356","10001",didok,"20100504000000.000","1","330","0"
716800.0,94150.0,"1171","4004","Paradiso, Stazione",PARST,"1","356","10001",,,"1","296","1"
716884.4,94300.0,"1172","4005","Paradiso, Stazione/Scuole",PARSC,"1","356","10001",modifica nome,"20081118000000.000","1","286","1"
716850.0,94548.0,"1173","4006","Paradiso, Riva Paradiso",PARRI,"1","356","10001",modifica nome,"20101011000000.000","1","273","0"
716833.0,94627.0,"1174","4007","Paradiso, Debarcadero",PARDE,"1","356","10001",modifica nome,"20080606000000.000","1","281","0"
716835.0,94923.8,"1175","4008","Lugano, Malpensata",LUGMA,"1","172","10001",modifica nome,"20011005000000.000","1","283","0"
717053.2,95376.6,"1176","4010","Lugano, Piazza Luini",LUGPL,"1","172","10001",,,"1","273","0"
717129.0,95703.0,"1177","4011","Lugano, Piazza Rezzonico",LUGRE,"1","172","10001",,,"1","279","0"
717420.0,96313.9,"1178","4013","Lugano, Autosilo",LUGAU,"1","172","10001",,,"1","284","0"
717841.7,96056.7,"1179","4015","Lugano, Palazzo Studi",LUGPS,"1","172","10001",,,"1","281","0"
718016.4,96085.4,"1180","4016","Cassarate, Lido",CA_LI,"1","83","10001",,,"1","279","0"
718295.0,96092.1,"1181","4017","Cassarate, Lanchetta",CA_LA,"1","83","10001",,,"1","281","1"
718514.2,96045.4,"1182","4018","Cassarate, Monte Brè",CA_MB,"1","83","10001",modifica nome,"20060508000000.000","1","281","1"
718725.0,95797.0,"1183","4019","Castagnola, Villa Favorita",CASVF,"1","85","10001",,,"1","354","0"
718884.9,95702.7,"1184","4020","Castagnola, Serenella",CASSE,"1","85","10001",,,"1","352","0"
719072.0,95564.5,"1185","4021","Castagnola, S. Domenico",CASSD,"1","85","10001",,,"1","342","0"
719147.0,95592.5,"1186","4022","Castagnola, Posta",CASPO,"1","85","10001",,,"1","380","0"
719031.0,95628.0,"1187","4023","Castagnola, Capolinea",CASPA,"1","85","10001",didok+cambiamento nome,"20100504000000.000","1","369","1"
717318.2,95828.8,"1188","4024","Lugano, Piazza Manzoni",LUGPM,"1","172","10001",,,"1","286","0"
717267.9,96279.0,"1190","4026","Lugano, Via Ginevra",LUGVG,"1","172","10001",,,"1","281","1"
717135.6,96461.2,"1191","4027","Lugano, Via F. Pelli",LUGVP,"1","172","10001",modifica nome,"20011005000000.000","1","291","0"
717034.2,96371.2,"1192","4028","Lugano, ai Frati",LUGFR,"1","172","10001",,,"1","302","0"
716811.0,96379.0,"1193","4029","Lugano, Genzana",LUGGE,"1","172","10001",modifica nome,"20090424000000.000","1","340","1"
716791.1,96546.2,"1194","4030","Massagno, Santa Lucia",MASSL,"1","186","10001",,,"1","350","0"
716829.4,96779.4,"1195","4031","Massagno, al Sole",MASSO,"1","186","10001",,,"1","385","0"
716575.0,96885.0,"1196","4032","Massagno, Praccio",MASPR,"1","186","10001",,,"1","402","1"
716400.0,96975.0,"1197","4033","Massagno, Cappella due Mani",MAS2M,"1","186","10001",,,"1","395","0"
716256.0,97424.0,"1198","4034","Savosa, Crocifisso",SAVCR,"1","275","10001",,,"1","404","0"
716053.0,97625.0,"1199","4035","Vezia, Villa Recreatio",VEZVR,"1","309","10003",,,"1","385","0"
716049.0,98068.0,"1200","4036","Vezia, Paese",VEZPA,"1","309","10003",,,"1","373","0"
716017.7,98437.2,"1201","4038","Vezia, Villa Negroni",VEZVN,"1","309","10003",,,"1","369","0"
716352.0,97213.0,"1202","4039","Savosa, Valgersa",SAVVA,"1","275","10001",,,"1","391","1"
717100.0,96120.0,"1203","4040","Lugano, Cappuccine",LUGCP,"1","172","10001",,,"1","288","1"
717480.7,96570.3,"1205","4043","Lugano, Sacro Cuore",LUGSC,"1","172","10001",,,"1","286","0"
717512.1,96805.4,"1206","4044","Lugano, Piazza Molino Nuovo",MNUP1,"1","408","10001",,,"1","288","1"
717549.0,97047.4,"1207","4045","Lugano, Scuole Molino Nuovo",MNUS1,"1","408","10001",,,"1","291","0"
717537.7,97336.9,"1208","4046","Lugano, Vignola",LUGVI,"1","172","10001",,,"1","293","0"
717651.0,97651.3,"1209","4047","Lugano, Cimitero",LUGCI,"1","172","10001",,,"1","298","0"
717769.1,97950.0,"1210","4048","Lugano, Gerra",LUGGR,"1","172","10001",,,"1","298","1"
717828.1,98099.6,"1211","4049","Lugano, Stadio",LUGSO,"1","172","10001",,,"1","304","0"
718051.0,98185.2,"1212","4050","Lugano, Resega",LUGRS,"1","455","10001",modifica nome,"20011005000000.000","1","301","0"
718307.1,98089.8,"1213","4051","Pregassona, Croce Verde",PRECV,"1","246","10001",,,"1","307","0"
718363.0,97936.2,"1214","4052","Pregassona, Bozzoreda",PREBZ,"1","246","10001",,,"1","314","0"
718246.9,97734.8,"1215","4053","Pregassona, Boschina",PREBO,"1","246","10001",,,"1","311","1"
718478.5,97637.5,"1216","4054","Pregassona, Viarnetto",PREVI,"1","246","10001",,,"1","329","0"
718910.0,97598.8,"1217","4055","Pregassona, Piazza di Giro",PRECA,"1","246","10001",modifica nome,"20080606000000.000","1","380","1"
717418.4,96646.6,"1218","4056","Lugano, Via Zurigo",LUGVZ,"1","172","10001",,,"1","286","0"
716650.0,96025.0,"1219","4057","Lugano, Stazione Piazza Besso",LUGPB,"1","172","10001",cambiamento di Azienda,"20160601000000.000","1","345","1"
716458.2,96131.4,"1220","4058","Lugano, S. Nicolao",LUGSN,"1","172","10001",,,"1","365","0"
716295.9,96366.1,"1221","4059","Lugano, Studio Radio",LUGSR,"1","172","10001",,,"1","365","0"
716019.2,96560.3,"1222","4060","Massagno, Cinque Vie",MAS5V,"1","186","10001",opportuno cambiare nome in Breganzona,"20171210000000.000","1","389","0"
715650.0,96375.0,"1223","4061","Breganzona, Medi",BREME,"1","47","10001",,,"1","410","0"
715429.4,96131.3,"1224","4062","Breganzona, Posta",BREGA,"1","47","10001",modifica nome,"20080606000000.000","1","420","0"
716732.5,94500.0,"1225","4063","Paradiso, Via S. Salvatore",PARSS,"1","356","10001",modifica nome,"20080506000000.000","1","279","1"
716656.2,94562.3,"1226","4064","Paradiso, Via Cattori",PARVC,"1","356","10001",,,"1","283","0"
716535.7,94643.5,"1227","4065","Lugano, Santa Birgitta",LUGSB,"1","172","10001",,,"1","301","0"
716550.0,94825.0,"1228","4066","Lugano, Cassarina",LUGCA,"1","172","10001",,,"1","315","0"
716600.3,95064.6,"1229","4067","Lugano, Loreto",LUGLO,"1","172","10001",,,"1","317","0"
716675.0,95250.0,"1230","4068","Lugano, Tassino",LUGTS,"1","172","10001",,,"1","322","0"
716895.9,95777.5,"1231","4069","Lugano, Bellavista",LUGBE,"1","172","10001",,,"1","315","0"
716866.1,95958.9,"1232","4070","Lugano, Stazione",LUGST,"1","172","10001",modifica nome,"20080606000000.000","1","309","0"
716829.9,96542.5,"1233","4071","Massagno, Vicolo Vecchio",MASVV,"1","186","10001",,,"1","350","0"
