ChargingStationId,ChargingStationName,Description,Paese,Stazione,X,Y,osservazioni GIS
1949,AIL - N2 - 06 - PARCHEGGIO AEROPORTO,Ricarica gratuita,Agno,"AIL - N2 - 06 - PARCHEGGIO AEROPORTO, Agno",,,Non presente in GIS
2865,AIL - N2 - 23 - VIA INDUSTRIE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Bedano,"AIL - N2 - 23 - VIA INDUSTRIE, Bedano",714540.305,101094.698,
1946,AIL - N2 - 03 - STRADA REGINA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Bioggio,"AIL - N2 - 03 - STRADA REGINA, Bioggio",713778.841,96855.316,
3010,AIL - P1 - 38 - VIA MULINI,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Bioggio,"AIL - P1 - 38 - VIA MULINI, Bioggio",713928.632,96680.165,
2113,AIL - N2 - 15 - VIA MAROGGIA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Bissone,"AIL - N2 - 15 - VIA MAROGGIA, Bissone",718452.25,89731.114,
1893,AIL - P1 - 08 - VIA CANTONALE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Bruzella,"AIL - P1 - 08 - VIA CANTONALE, Bruzella",724008.974,82307.734,
2868,AIL - N2 - 26 - VIA AL MULINO,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Cadempino,"AIL - N2 - 26 - VIA AL MULINO, Cadempino",715639.593,99345.825,
3008,AIL - P1 - 36 - CADRO PANORAMICA,Tariffa di stazionamento: - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 0.50 CHF/h,Cadro,"AIL - P1 - 36 - CADRO PANORAMICA, Cadro",719933.2037,100978.5861,"Impianto Interno, non rilevato in GIS"
3012,AIL - P1 - 40 - CADRO PANORAMICA,Tariffa di stazionamento: - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 0.50 CHF/h,Cadro,"AIL - P1 - 40 - CADRO PANORAMICA, Cadro",719933.2037,100978.5861,"Impianto Interno, non rilevato in GIS"
3563,AIL - N2 - 32 - VIA GOLF,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Caslano,"AIL - N2 - 32 - VIA GOLF, Caslano",712235.257,92162.468,
