Data e ora,Temp. [°C],Prec. [mm],Data,Ora
01.10.2018 00:00,14.8,0.0,01.10.2018,00:00
01.10.2018 00:10,14.6,0.0,01.10.2018,00:10
01.10.2018 00:20,15.6,0.0,01.10.2018,00:20
01.10.2018 00:30,16.3,0.0,01.10.2018,00:30
01.10.2018 00:40,16.2,0.0,01.10.2018,00:40
01.10.2018 00:50,16.0,0.0,01.10.2018,00:50
01.10.2018 01:00,15.9,0.0,01.10.2018,01:00
01.10.2018 01:10,15.4,0.0,01.10.2018,01:10
01.10.2018 01:20,14.9,0.0,01.10.2018,01:20
01.10.2018 01:30,15.1,0.0,01.10.2018,01:30
01.10.2018 01:40,14.9,0.0,01.10.2018,01:40
01.10.2018 01:50,14.9,0.0,01.10.2018,01:50
01.10.2018 02:00,14.8,0.0,01.10.2018,02:00
01.10.2018 02:10,15.1,0.0,01.10.2018,02:10
01.10.2018 02:20,14.9,0.0,01.10.2018,02:20
01.10.2018 02:30,14.9,0.0,01.10.2018,02:30
01.10.2018 02:40,14.8,0.0,01.10.2018,02:40
01.10.2018 02:50,14.8,0.0,01.10.2018,02:50
01.10.2018 03:00,14.8,0.0,01.10.2018,03:00
01.10.2018 03:10,15.7,0.0,01.10.2018,03:10
01.10.2018 03:20,15.6,0.0,01.10.2018,03:20
01.10.2018 03:30,15.2,0.0,01.10.2018,03:30
01.10.2018 03:40,15.1,0.0,01.10.2018,03:40
01.10.2018 03:50,15.5,0.0,01.10.2018,03:50
01.10.2018 04:00,15.2,0.0,01.10.2018,04:00
01.10.2018 04:10,15.1,0.0,01.10.2018,04:10
01.10.2018 04:20,15.0,0.0,01.10.2018,04:20
01.10.2018 04:30,14.9,0.0,01.10.2018,04:30
01.10.2018 04:40,15.0,0.0,01.10.2018,04:40
01.10.2018 04:50,14.8,0.0,01.10.2018,04:50
01.10.2018 05:00,14.6,0.0,01.10.2018,05:00
01.10.2018 05:10,14.5,0.0,01.10.2018,05:10
01.10.2018 05:20,14.8,0.0,01.10.2018,05:20
01.10.2018 05:30,14.6,0.0,01.10.2018,05:30
01.10.2018 05:40,14.6,0.0,01.10.2018,05:40
01.10.2018 05:50,14.6,0.0,01.10.2018,05:50
01.10.2018 06:00,14.6,0.0,01.10.2018,06:00
01.10.2018 06:10,14.6,0.0,01.10.2018,06:10
01.10.2018 06:20,14.7,0.0,01.10.2018,06:20
01.10.2018 06:30,14.6,0.0,01.10.2018,06:30
01.10.2018 06:40,14.6,0.0,01.10.2018,06:40
01.10.2018 06:50,14.5,0.0,01.10.2018,06:50
01.10.2018 07:00,14.4,0.0,01.10.2018,07:00
01.10.2018 07:10,14.1,0.1,01.10.2018,07:10
01.10.2018 07:20,14.1,0.0,01.10.2018,07:20
01.10.2018 07:30,14.3,0.0,01.10.2018,07:30
01.10.2018 07:40,14.4,0.0,01.10.2018,07:40
01.10.2018 07:50,14.5,0.1,01.10.2018,07:50
01.10.2018 08:00,14.9,0.0,01.10.2018,08:00
01.10.2018 08:10,14.6,0.0,01.10.2018,08:10
01.10.2018 08:20,14.6,0.0,01.10.2018,08:20
01.10.2018 08:30,14.5,0.0,01.10.2018,08:30
01.10.2018 08:40,15.0,0.0,01.10.2018,08:40
01.10.2018 08:50,15.0,0.0,01.10.2018,08:50
01.10.2018 09:00,14.7,0.0,01.10.2018,09:00
01.10.2018 09:10,15.1,0.0,01.10.2018,09:10
01.10.2018 09:20,14.9,0.0,01.10.2018,09:20
01.10.2018 09:30,15.1,0.0,01.10.2018,09:30
01.10.2018 09:40,14.9,0.0,01.10.2018,09:40
01.10.2018 09:50,15.1,0.0,01.10.2018,09:50
01.10.2018 10:00,14.9,0.0,01.10.2018,10:00
01.10.2018 10:10,14.8,0.1,01.10.2018,10:10
01.10.2018 10:20,14.3,0.4,01.10.2018,10:20
01.10.2018 10:30,13.2,1.2,01.10.2018,10:30
01.10.2018 10:40,13.1,0.2,01.10.2018,10:40
01.10.2018 10:50,13.6,0.0,01.10.2018,10:50
01.10.2018 11:00,13.7,0.0,01.10.2018,11:00
01.10.2018 11:10,13.3,0.0,01.10.2018,11:10
01.10.2018 11:20,12.6,0.0,01.10.2018,11:20
01.10.2018 11:30,12.8,0.0,01.10.2018,11:30
01.10.2018 11:40,12.8,0.0,01.10.2018,11:40
01.10.2018 11:50,13.0,0.0,01.10.2018,11:50
01.10.2018 12:00,12.9,0.0,01.10.2018,12:00
01.10.2018 12:10,13.4,0.0,01.10.2018,12:10
01.10.2018 12:20,13.4,0.0,01.10.2018,12:20
01.10.2018 12:30,14.0,0.0,01.10.2018,12:30
01.10.2018 12:40,14.5,0.0,01.10.2018,12:40
01.10.2018 12:50,14.8,0.0,01.10.2018,12:50
01.10.2018 13:00,15.1,0.0,01.10.2018,13:00
01.10.2018 13:10,15.4,0.0,01.10.2018,13:10
01.10.2018 13:20,15.3,0.0,01.10.2018,13:20
01.10.2018 13:30,15.7,0.0,01.10.2018,13:30
01.10.2018 13:40,15.4,0.0,01.10.2018,13:40
01.10.2018 13:50,15.7,0.0,01.10.2018,13:50
01.10.2018 14:00,15.5,0.0,01.10.2018,14:00
01.10.2018 14:10,15.5,0.0,01.10.2018,14:10
01.10.2018 14:20,15.1,0.0,01.10.2018,14:20
01.10.2018 14:30,15.2,0.0,01.10.2018,14:30
01.10.2018 14:40,15.3,0.0,01.10.2018,14:40
01.10.2018 14:50,15.5,0.0,01.10.2018,14:50
01.10.2018 15:00,15.4,0.0,01.10.2018,15:00
01.10.2018 15:10,15.5,0.0,01.10.2018,15:10
01.10.2018 15:20,15.4,0.0,01.10.2018,15:20
01.10.2018 15:30,15.8,0.0,01.10.2018,15:30
01.10.2018 15:40,15.6,0.0,01.10.2018,15:40
01.10.2018 15:50,15.7,0.0,01.10.2018,15:50
