"Fahrt: Name","Ende - Stunde","Ende Wochentag"
"1293803","00","1 Montag"
"1972437","00","1 Montag"
"2804939","00","1 Montag"
"1293804","00","1 Montag"
"2067949","00","1 Montag"
"2962579","00","1 Montag"
"1431908","00","1 Montag"
"2067958","00","1 Montag"
"3134002","00","1 Montag"
"1887163","00","1 Montag"
"2156110","00","1 Montag"
"1293809","00","1 Montag"
"2067969","00","1 Montag"
"2322818","00","1 Montag"
"1431919","00","1 Montag"
"2156059","00","1 Montag"
"2322889","00","1 Montag"
"1472420","00","1 Montag"
"2322887","00","1 Montag"
"2322894","00","1 Montag"
"1472435","00","1 Montag"
"2322917","00","1 Montag"
"2322915","00","1 Montag"
"1690954","00","1 Montag"
"2402939","00","1 Montag"
"2482039","00","1 Montag"
"1887169","00","1 Montag"
"2558875","00","1 Montag"
"2558883","00","1 Montag"
"1972439","00","1 Montag"
"2558881","00","1 Montag"
"2558884","00","1 Montag"
"1972452","00","1 Montag"
"2558912","00","1 Montag"
"2558900","00","1 Montag"
"2067908","00","1 Montag"
"2718251","00","1 Montag"
"981870","00","1 Montag"
"2067925","00","1 Montag"
"981876","00","1 Montag"
"981877","00","1 Montag"
"2067938","00","1 Montag"
"1293802","00","1 Montag"
"1107066","00","1 Montag"
"2156085","00","1 Montag"
"1431856","00","1 Montag"
"1293794","00","1 Montag"
"2156108","00","1 Montag"
"1472418","00","1 Montag"
"1431902","00","1 Montag"
"2318977","00","1 Montag"
"1524448","00","1 Montag"
"1690976","00","1 Montag"
"2322819","00","1 Montag"
"1524475","00","1 Montag"
"1755684","00","1 Montag"
"2322897","00","1 Montag"
"1755708","00","1 Montag"
"1755692","00","1 Montag"
"2402925","00","1 Montag"
"1755709","00","1 Montag"
"1821574","00","1 Montag"
"2402967","00","1 Montag"
"1472421","00","1 Montag"
"1887153","00","1 Montag"
"2482061","00","1 Montag"
"1472433","00","1 Montag"
"1887154","00","1 Montag"
"2558870","00","1 Montag"
"1690938","00","1 Montag"
"1887182","00","1 Montag"
"2558885","00","1 Montag"
"1755663","00","1 Montag"
"1972429","00","1 Montag"
"2640852","00","1 Montag"
"1755671","00","1 Montag"
"1972434","00","1 Montag"
"2962581","00","1 Montag"
"1887168","00","1 Montag"
"1972454","00","1 Montag"
"1036627","00","1 Montag"
"1972440","00","1 Montag"
"2067939","00","1 Montag"
"1107067","00","1 Montag"
"2067913","00","1 Montag"
"2067965","00","1 Montag"
"2481981","00","1 Montag"
"2067951","00","1 Montag"
"2067981","00","1 Montag"
"2482031","00","1 Montag"
"2067982","00","1 Montag"
"2322899","00","1 Montag"
"2482035","00","1 Montag"
"2156048","00","1 Montag"
"2402984","00","1 Montag"
"2482062","00","1 Montag"
"2156050","00","1 Montag"
"2402985","00","1 Montag"
"2558905","00","1 Montag"
"2156094","00","1 Montag"
"2481983","00","1 Montag"
"2558911","00","1 Montag"
"2156095","00","1 Montag"
"2482060","00","1 Montag"
"2558930","00","1 Montag"
"2322914","00","1 Montag"
"2558893","00","1 Montag"
"2640818","00","1 Montag"
"2402969","00","1 Montag"
"2558906","00","1 Montag"
"2640859","00","1 Montag"
"2402977","00","1 Montag"
"2640867","00","1 Montag"
"2640866","00","1 Montag"
"2402995","00","1 Montag"
"2718215","00","1 Montag"
"2640869","00","1 Montag"
"2558914","00","1 Montag"
"2718240","00","1 Montag"
"3134003","00","1 Montag"
"1334176","00","1 Montag"
"2718253","00","1 Montag"
"1141531","00","1 Montag"
"1293795","00","1 Montag"
"1573737","00","1 Montag"
"1690939","00","1 Montag"
"1887176","00","1 Montag"
"1972400","00","1 Montag"
"1972455","00","1 Montag"
"2067929","00","1 Montag"
"2156079","00","1 Montag"
"2156093","00","1 Montag"
"2322884","00","1 Montag"
"2322895","00","1 Montag"
"2322901","00","1 Montag"
"2322921","00","1 Montag"
"2402923","00","1 Montag"
"2558916","00","1 Montag"
"2558880","00","1 Montag"
"2640857","00","1 Montag"
"2640874","00","1 Montag"
"2718211","00","1 Montag"
"1334198","00","1 Montag"
"1334199","00","1 Montag"
"1431910","00","1 Montag"
"1431949","00","1 Montag"
"1472419","00","1 Montag"
"1690952","00","1 Montag"
"1755691","00","1 Montag"
"1887172","00","1 Montag"
"1887175","00","1 Montag"
"1887184","00","1 Montag"
"1972447","00","1 Montag"
"2067849","00","1 Montag"
"2067930","00","1 Montag"
"2067931","00","1 Montag"
"2067947","00","1 Montag"
"2067952","00","1 Montag"
"2067966","00","1 Montag"
"2156080","00","1 Montag"
"2156087","00","1 Montag"
"981871","00","1 Montag"
"1141517","00","1 Montag"
"1690956","00","1 Montag"
"1755676","00","1 Montag"
"1821554","00","1 Montag"
"1887167","00","1 Montag"
"1887174","00","1 Montag"
"1972323","00","1 Montag"
"1972457","00","1 Montag"
"2067928","00","1 Montag"
"2067937","00","1 Montag"
"2156042","00","1 Montag"
"2156060","00","1 Montag"
"2156075","00","1 Montag"
"2156077","00","1 Montag"
"2481979","00","1 Montag"
"2482038","00","1 Montag"
"2482064","00","1 Montag"
"2558882","00","1 Montag"
"2558908","00","1 Montag"
"2558910","00","1 Montag"
"2640872","00","1 Montag"
"2414248","00","2 Dienstag"
"1765094","00","2 Dienstag"
"3289579","00","2 Dienstag"
"2414318","00","2 Dienstag"
"1898965","00","2 Dienstag"
"1898988","00","2 Dienstag"
"2494656","00","2 Dienstag"
"1898999","00","2 Dienstag"
"1899023","00","2 Dienstag"
"2494686","00","2 Dienstag"
"1899000","00","2 Dienstag"
"1899046","00","2 Dienstag"
"2730761","00","2 Dienstag"
"1899022","00","2 Dienstag"
"1985374","00","2 Dienstag"
"2731565","00","2 Dienstag"
"1985412","00","2 Dienstag"
"1985375","00","2 Dienstag"
"2731597","00","2 Dienstag"
"2168043","00","2 Dienstag"
"1985376","00","2 Dienstag"
"2731599","00","2 Dienstag"
"2168070","00","2 Dienstag"
"1985390","00","2 Dienstag"
"3064853","00","2 Dienstag"
"2168088","00","2 Dienstag"
"2168053","00","2 Dienstag"
"3289580","00","2 Dienstag"
"2247108","00","2 Dienstag"
"2168054","00","2 Dienstag"
"1387996","00","2 Dienstag"
"2414325","00","2 Dienstag"
"2168080","00","2 Dienstag"
"1633796","00","2 Dienstag"
"2494714","00","2 Dienstag"
"2168082","00","2 Dienstag"
"1898930","00","2 Dienstag"
"2494737","00","2 Dienstag"
"2168086","00","2 Dienstag"
"1985383","00","2 Dienstag"
"2494750","00","2 Dienstag"
"2168089","00","2 Dienstag"
"2168068","00","2 Dienstag"
"2731574","00","2 Dienstag"
"2168096","00","2 Dienstag"
"2168076","00","2 Dienstag"
"1039342","00","2 Dienstag"
"2247111","00","2 Dienstag"
"2168115","00","2 Dienstag"
"1387989","00","2 Dienstag"
"2335677","00","2 Dienstag"
"2247098","00","2 Dienstag"
"1633762","00","2 Dienstag"
"2414252","00","2 Dienstag"
"2247104","00","2 Dienstag"
"1633767","00","2 Dienstag"
"2414307","00","2 Dienstag"
"2247113","00","2 Dienstag"
"1899001","00","2 Dienstag"
"2414329","00","2 Dienstag"
"2335670","00","2 Dienstag"
"1899005","00","2 Dienstag"
"2494658","00","2 Dienstag"
"2414355","00","2 Dienstag"
"1899016","00","2 Dienstag"
"2494681","00","2 Dienstag"
"2650564","00","2 Dienstag"
"1985400","00","2 Dienstag"
"2494701","00","2 Dienstag"
"2650566","00","2 Dienstag"
"1985413","00","2 Dienstag"
"2494702","00","2 Dienstag"
"2731583","00","2 Dienstag"
"2168066","00","2 Dienstag"
"1898966","00","2 Dienstag"
"2976346","00","2 Dienstag"
"2887228","00","2 Dienstag"
"2976348","00","2 Dienstag"
"1145873","00","2 Dienstag"
"1388004","00","2 Dienstag"
"1633802","00","2 Dienstag"
"1765108","00","2 Dienstag"
"1985332","00","2 Dienstag"
"1985405","00","2 Dienstag"
"1985414","00","2 Dienstag"
"2168081","00","2 Dienstag"
"2168122","00","2 Dienstag"
"2247105","00","2 Dienstag"
"2247109","00","2 Dienstag"
"2414340","00","2 Dienstag"
"2494698","00","2 Dienstag"
"2494739","00","2 Dienstag"
"2568386","00","2 Dienstag"
"2731511","00","2 Dienstag"
"2731576","00","2 Dienstag"
"2731577","00","2 Dienstag"
"2731598","00","2 Dienstag"
"985166","00","2 Dienstag"
"1899014","00","2 Dienstag"
"1899015","00","2 Dienstag"
"1899047","00","2 Dienstag"
"1985373","00","2 Dienstag"
"1985377","00","2 Dienstag"
"1985401","00","2 Dienstag"
"1985402","00","2 Dienstag"
"2168042","00","2 Dienstag"
"2168044","00","2 Dienstag"
"2168055","00","2 Dienstag"
"2168069","00","2 Dienstag"
"2168090","00","2 Dienstag"
"2168093","00","2 Dienstag"
"2247114","00","2 Dienstag"
"2247120","00","2 Dienstag"
"2335625","00","2 Dienstag"
"2335674","00","2 Dienstag"
"2335689","00","2 Dienstag"
"2414360","00","2 Dienstag"
"2494719","00","2 Dienstag"
"2494736","00","2 Dienstag"
"2494738","00","2 Dienstag"
"2568356","00","2 Dienstag"
"2976349","00","2 Dienstag"
"3064858","00","2 Dienstag"
"1145883","00","2 Dienstag"
"1145884","00","2 Dienstag"
"1112128","00","2 Dienstag"
"1388003","00","2 Dienstag"
"1985310","00","2 Dienstag"
"1985367","00","2 Dienstag"
"2168078","00","2 Dienstag"
"2168095","00","2 Dienstag"
"2247106","00","2 Dienstag"
"2247107","00","2 Dienstag"
"2731557","00","2 Dienstag"
"2731591","00","2 Dienstag"
"955522","00","2 Dienstag"
"1005421","00","2 Dienstag"
"1005422","00","2 Dienstag"
"1633765","00","2 Dienstag"
"1985336","00","2 Dienstag"
"1985385","00","2 Dienstag"
