"Fahrt: Name","Kunden Gruppe","Tarif"
"957943","B2B","BusinessBike (120)"
"1290093","B2B","BusinessBike (120)"
"1473681","B2B","BusinessBike (120)"
"1806961","B2B","BusinessBike (120)"
"958093","B2B","BusinessBike (120)"
"1291224","B2B","BusinessBike (120)"
"1481236","B2B","BusinessBike (120)"
"1823078","B2B","BusinessBike (120)"
"1132179","B2B","BusinessBike (120)"
"1296856","B2B","BusinessBike (120)"
"1481250","B2B","BusinessBike (120)"
"2046913","B2B","BusinessBike (120)"
"1164625","B2B","BusinessBike (120)"
"1472418","B2B","BusinessBike (120)"
"1601837","B2B","BusinessBike (120)"
"2309830","B2B","BusinessBike (120)"
"1239558","B2B","BusinessBike (120)"
"1473706","B2B","BusinessBike (120)"
"1605897","B2B","BusinessBike (120)"
"2484218","B2B","BusinessBike (120)"
"1046444","B2B","BusinessBike (120)"
"1850730","B2B","BusinessBike (120)"
"1744484","B2B","BusinessBike (120)"
"2484995","B2B","BusinessBike (120)"
"1070837","B2B","BusinessBike (120)"
"1856717","B2B","BusinessBike (120)"
"1745132","B2B","BusinessBike (120)"
"2486738","B2B","BusinessBike (120)"
"1106681","B2B","BusinessBike (120)"
"2175890","B2B","BusinessBike (120)"
"1745998","B2B","BusinessBike (120)"
"2664156","B2B","BusinessBike (120)"
"1285036","B2B","BusinessBike (120)"
"2484418","B2B","BusinessBike (120)"
"1806543","B2B","BusinessBike (120)"
"2903324","B2B","BusinessBike (120)"
"1420686","B2B","BusinessBike (120)"
"2486653","B2B","BusinessBike (120)"
"2113913","B2B","BusinessBike (120)"
"1227134","B2B","BusinessBike (120)"
"1473677","B2B","BusinessBike (120)"
"2665051","B2B","BusinessBike (120)"
"2175868","B2B","BusinessBike (120)"
"1287107","B2B","BusinessBike (120)"
"1481245","B2B","BusinessBike (120)"
"2781964","B2B","BusinessBike (120)"
"2485005","B2B","BusinessBike (120)"
"1296860","B2B","BusinessBike (120)"
"1510150","B2B","BusinessBike (120)"
"1132448","B2B","BusinessBike (120)"
"2486680","B2B","BusinessBike (120)"
"1412554","B2B","BusinessBike (120)"
"1587354","B2B","BusinessBike (120)"
"1171720","B2B","BusinessBike (120)"
"3126899","B2B","BusinessBike (120)"
"1461409","B2B","BusinessBike (120)"
"1588175","B2B","BusinessBike (120)"
"1105113","B2B","BusinessBike (120)"
"3194070","B2B","BusinessBike (120)"
"1472421","B2B","BusinessBike (120)"
"1681311","B2B","BusinessBike (120)"
"1105114","B2B","BusinessBike (120)"
"1171715","B2B","BusinessBike (120)"
"1481226","B2B","BusinessBike (120)"
"1806546","B2B","BusinessBike (120)"
"1110103","B2B","BusinessBike (120)"
"1013944","B2B","BusinessBike (120)"
"1749776","B2B","BusinessBike (120)"
"1875801","B2B","BusinessBike (120)"
"1283624","B2B","BusinessBike (120)"
"1105054","B2B","BusinessBike (120)"
"1815860","B2B","BusinessBike (120)"
"1881092","B2B","BusinessBike (120)"
"1420687","B2B","BusinessBike (120)"
"1105394","B2B","BusinessBike (120)"
"1880732","B2B","BusinessBike (120)"
"2013495","B2B","BusinessBike (120)"
"1920463","B2B","BusinessBike (120)"
"1105529","B2B","BusinessBike (120)"
"2194475","B2B","BusinessBike (120)"
"2056773","B2B","BusinessBike (120)"
"1964236","B2B","BusinessBike (120)"
"1106680","B2B","BusinessBike (120)"
"2435952","B2B","BusinessBike (120)"
"2139724","B2B","BusinessBike (120)"
"1965280","B2B","BusinessBike (120)"
"1286692","B2B","BusinessBike (120)"
"2437818","B2B","BusinessBike (120)"
"2214275","B2B","BusinessBike (120)"
"1999675","B2B","BusinessBike (120)"
"1286698","B2B","BusinessBike (120)"
"2484336","B2B","BusinessBike (120)"
"2486719","B2B","BusinessBike (120)"
"2113890","B2B","BusinessBike (120)"
"1288392","B2B","BusinessBike (120)"
"2484375","B2B","BusinessBike (120)"
"2648199","B2B","BusinessBike (120)"
"2203481","B2B","BusinessBike (120)"
"1291225","B2B","BusinessBike (120)"
"2884835","B2B","BusinessBike (120)"
"2664203","B2B","BusinessBike (120)"
"2219867","B2B","BusinessBike (120)"
"1472420","B2B","BusinessBike (120)"
"2919857","B2B","BusinessBike (120)"
"2901882","B2B","BusinessBike (120)"
"2484367","B2B","BusinessBike (120)"
"1473705","B2B","BusinessBike (120)"
"980099","B2B","BusinessBike (120)"
"2914913","B2B","BusinessBike (120)"
"2485236","B2B","BusinessBike (120)"
"1485688","B2B","BusinessBike (120)"
"1164621","B2B","BusinessBike (120)"
"2980609","B2B","BusinessBike (120)"
"2485241","B2B","BusinessBike (120)"
