"Fahrt: Name","Station - VON"
"2290666","Viganello"
"2298843","Viganello"
"2300216","Viganello"
"2303174","Viganello"
"2304140","Viganello"
"2309233","Viganello"
"2310644","Viganello"
"2310650","Viganello"
"2314360","Viganello"
"2319000","Viganello"
"2321469","Viganello"
"2321476","Viganello"
"2321543","Viganello"
"2322887","Viganello"
"2323675","Viganello"
"2332340","Viganello"
"2332976","Viganello"
"2343799","Viganello"
"2349516","Viganello"
"2352351","Viganello"
"2352631","Viganello"
"2352661","Viganello"
"2358391","Viganello"
"2361345","Viganello"
"2361514","Viganello"
"2362826","Viganello"
"2365690","Viganello"
"2365931","Viganello"
"2381316","Viganello"
"2387470","Viganello"
"2390411","Viganello"
"2394282","Viganello"
"2397622","Viganello"
"2397978","Viganello"
"2398678","Viganello"
"2401492","Viganello"
"2401609","Viganello"
"2401972","Viganello"
"2401991","Viganello"
"2402307","Viganello"
"2405769","Viganello"
"2413511","Viganello"
"2413778","Viganello"
"2421333","Viganello"
"2424288","Viganello"
"2425999","Viganello"
"2431605","Viganello"
"2437637","Viganello"
"2437646","Viganello"
"2437957","Viganello"
"2440613","Viganello"
"2440619","Viganello"
"2441291","Viganello"
"2449213","Viganello"
"2449355","Viganello"
"2450455","Viganello"
"2452729","Viganello"
"2463251","Viganello"
"2465606","Viganello"
"2471171","Viganello"
"2479824","Viganello"
"2480172","Viganello"
"2483932","Viganello"
"2484935","Viganello"
"2493146","Viganello"
"2493410","Viganello"
"2493740","Viganello"
"2495227","Viganello"
"2498697","Viganello"
"2498700","Viganello"
"2499464","Viganello"
"2502464","Viganello"
"2510267","Viganello"
"2515070","Viganello"
"2516281","Viganello"
"2521440","Viganello"
"2523130","Viganello"
"2523691","Viganello"
"2523692","Viganello"
"2524165","Viganello"
"2525946","Viganello"
"2528528","Viganello"
"2534148","Viganello"
"2535968","Viganello"
"2539902","Viganello"
"2539903","Viganello"
"2543780","Viganello"
"2546520","Viganello"
"2546885","Viganello"
"2548578","Viganello"
"2550052","Viganello"
"2558824","Viganello"
"2571171","Viganello"
"2579299","Viganello"
"2596205","Viganello"
"2615390","Viganello"
"2640215","Viganello"
"2767934","Viganello"
"2772504","Viganello"
"2773524","Viganello"
"2785713","Viganello"
"2795346","Viganello"
"2796738","Viganello"
"2799274","Viganello"
"2811822","Viganello"
"2813445","Viganello"
"2814419","Viganello"
"2818160","Viganello"
"2822386","Viganello"
"2825499","Viganello"
"2838598","Viganello"
"2844188","Viganello"
"2845490","Viganello"
"2852515","Viganello"
"2859353","Viganello"
"2862934","Viganello"
"2867041","Viganello"
"2875522","Viganello"
"2876681","Viganello"
"2878853","Viganello"
"2880468","Viganello"
"2901480","Viganello"
"2908896","Viganello"
"2920564","Viganello"
"2922620","Viganello"
"2922799","Viganello"
"2922872","Viganello"
"2927096","Viganello"
"2927319","Viganello"
"2927470","Viganello"
"2931152","Viganello"
"2931245","Viganello"
"2944040","Viganello"
"2944151","Viganello"
"2944154","Viganello"
"2944875","Viganello"
"2945693","Viganello"
"2947791","Viganello"
"2954650","Viganello"
"2961034","Viganello"
"2964814","Viganello"
"2981157","Viganello"
"2989584","Viganello"
"2995736","Viganello"
"3001090","Viganello"
"3001944","Viganello"
"3006553","Viganello"
"3011435","Viganello"
"3011524","Viganello"
"3012475","Viganello"
"3016381","Viganello"
"3017410","Viganello"
"3023934","Viganello"
"3030652","Viganello"
"3033680","Viganello"
"3035114","Viganello"
"3035466","Viganello"
"3035468","Viganello"
"3041612","Viganello"
"3042074","Viganello"
"3046748","Viganello"
"3047410","Viganello"
"3047802","Viganello"
"3062987","Viganello"
"3230127","Viganello"
"3236810","Viganello"
"3238519","Viganello"
"3245790","Viganello"
"3254112","Viganello"
"3256184","Viganello"
"3258567","Viganello"
"3259221","Viganello"
"3267184","Viganello"
"3273458","Viganello"
"3281529","Viganello"
"3291111","Viganello"
"3085407","Viganello"
"3088874","Viganello"
"3088910","Viganello"
"3091948","Viganello"
"3094881","Viganello"
"3111284","Viganello"
"3112036","Viganello"
"3112037","Viganello"
"3122137","Viganello"
"3123306","Viganello"
"3123701","Viganello"
"3123703","Viganello"
"3143449","Viganello"
"3156133","Viganello"
"3161704","Viganello"
"3162119","Viganello"
"3162435","Viganello"
"3165385","Viganello"
"3170099","Viganello"
"3171850","Viganello"
"3176842","Viganello"
"3178551","Viganello"
"3181889","Viganello"
"3182826","Viganello"
"3187509","Viganello"
"3187683","Viganello"
"3188929","Viganello"
"3189692","Viganello"
"3193052","Viganello"
"3195472","Viganello"
"3197850","Viganello"
"3205996","Viganello"
"3207774","Viganello"
"3208371","Viganello"
"3214752","Viganello"
"3216146","Viganello"
"3216314","Viganello"
"3218777","Viganello"
"3219043","Viganello"
"3220143","Viganello"
"3221658","Viganello"
"3227894","Viganello"
"3228072","Viganello"
"2299713","Viganello"
"2302450","Viganello"
"2311109","Viganello"
"2312815","Viganello"
"2312823","Viganello"
"2319415","Viganello"
"2319735","Viganello"
"2320929","Viganello"
"2321498","Viganello"
"2322894","Viganello"
"2323010","Viganello"
"2324601","Viganello"
"2324632","Viganello"
"2335303","Viganello"
"2338047","Viganello"
"2338574","Viganello"
"2338781","Viganello"
"2349085","Viganello"
"2349513","Viganello"
"2355637","Viganello"
"2359095","Viganello"
"2361383","Viganello"
"2361795","Viganello"
"2362230","Viganello"
"2362355","Viganello"
"2363966","Viganello"
"2364809","Viganello"
"2369827","Viganello"
"2372892","Viganello"
"2381371","Viganello"
"2384377","Viganello"
"2387717","Viganello"
"2388934","Viganello"
"2389513","Viganello"
"2398809","Viganello"
"2399148","Viganello"
"2399163","Viganello"
"2400119","Viganello"
"2407267","Viganello"
"2408009","Viganello"
"2408698","Viganello"
"2410967","Viganello"
"2411085","Viganello"
"2413347","Viganello"
"2413374","Viganello"
"2425098","Viganello"
"2425993","Viganello"
"2428812","Viganello"
"2429499","Viganello"
"2430641","Viganello"
"2435338","Viganello"
"2435480","Viganello"
"2438058","Viganello"
"2438299","Viganello"
"2441498","Viganello"
"2444990","Viganello"
"2445015","Viganello"
"2445314","Viganello"
"2446154","Viganello"
"2447197","Viganello"
"2448373","Viganello"
"2452089","Viganello"
"2452744","Viganello"
"2458870","Viganello"
"2470463","Viganello"
"2478201","Viganello"
"2481086","Viganello"
"2482039","Viganello"
"2491907","Viganello"
"2497101","Viganello"
"2498521","Viganello"
"2500984","Viganello"
"2502469","Viganello"
"2511143","Viganello"
"2511792","Viganello"
"2515636","Viganello"
"2543788","Viganello"
"2546956","Viganello"
"2551697","Viganello"
"2558270","Viganello"
"2561485","Viganello"
"2576861","Viganello"
"2579298","Viganello"
"2591708","Viganello"
"2598657","Viganello"
"2599668","Viganello"
"2610876","Viganello"
"2618322","Viganello"
"2623884","Viganello"
"2770771","Viganello"
"2779590","Viganello"
"2779610","Viganello"
"2785922","Viganello"
"2786493","Viganello"
"2791604","Viganello"
"2793037","Viganello"
"2800472","Viganello"
"2801264","Viganello"
"2808046","Viganello"
"2809566","Viganello"
"2813407","Viganello"
"2813497","Viganello"
"2823038","Viganello"
"2825500","Viganello"
"2829700","Viganello"
"2829977","Viganello"
"2832212","Viganello"
"2834332","Viganello"
"2846572","Viganello"
"2854280","Viganello"
