"Fahrt: Name","Station - BIS"
"2287646","Viganello"
"2293481","Viganello"
"2295636","Viganello"
"2296431","Viganello"
"2297478","Viganello"
"2298843","Viganello"
"2299800","Viganello"
"2303174","Viganello"
"2304140","Viganello"
"2309233","Viganello"
"2310064","Viganello"
"2310918","Viganello"
"2312220","Viganello"
"2319000","Viganello"
"2319244","Viganello"
"2320432","Viganello"
"2321543","Viganello"
"2323675","Viganello"
"2331993","Viganello"
"2332744","Viganello"
"2343799","Viganello"
"2347018","Viganello"
"2347093","Viganello"
"2347283","Viganello"
"2349409","Viganello"
"2358391","Viganello"
"2358585","Viganello"
"2359046","Viganello"
"2359175","Viganello"
"2361345","Viganello"
"2363756","Viganello"
"2370591","Viganello"
"2382945","Viganello"
"2385803","Viganello"
"2388126","Viganello"
"2390411","Viganello"
"2390641","Viganello"
"2392896","Viganello"
"2393953","Viganello"
"2394846","Viganello"
"2397622","Viganello"
"2398498","Viganello"
"2398678","Viganello"
"2399095","Viganello"
"2399409","Viganello"
"2401669","Viganello"
"2401972","Viganello"
"2402553","Viganello"
"2402877","Viganello"
"2406907","Viganello"
"2407741","Viganello"
"2411104","Viganello"
"2413241","Viganello"
"2413511","Viganello"
"2418337","Viganello"
"2422982","Viganello"
"2424288","Viganello"
"2434351","Viganello"
"2434798","Viganello"
"2434816","Viganello"
"2436102","Viganello"
"2438976","Viganello"
"2439055","Viganello"
"2440613","Viganello"
"2440619","Viganello"
"2440656","Viganello"
"2451094","Viganello"
"2452729","Viganello"
"2456975","Viganello"
"2457183","Viganello"
"2459416","Viganello"
"2467802","Viganello"
"2470742","Viganello"
"2471719","Viganello"
"2471729","Viganello"
"2478655","Viganello"
"2481481","Viganello"
"2487766","Viganello"
"2490339","Viganello"
"2492443","Viganello"
"2493146","Viganello"
"2493740","Viganello"
"2495227","Viganello"
"2496118","Viganello"
"2498563","Viganello"
"2501156","Viganello"
"2512007","Viganello"
"2512523","Viganello"
"2518419","Viganello"
"2523692","Viganello"
"2530820","Viganello"
"2533205","Viganello"
"2535968","Viganello"
"2538681","Viganello"
"2539903","Viganello"
"2540835","Viganello"
"2542417","Viganello"
"2543780","Viganello"
"2546733","Viganello"
"2556453","Viganello"
"2560947","Viganello"
"2578564","Viganello"
"2579655","Viganello"
"2580122","Viganello"
"2586744","Viganello"
"2610306","Viganello"
"2610711","Viganello"
"2611686","Viganello"
"2618947","Viganello"
"2623686","Viganello"
"2625887","Viganello"
"2628486","Viganello"
"2640215","Viganello"
"2640673","Viganello"
"2640724","Viganello"
"2770032","Viganello"
"2773132","Viganello"
"2773524","Viganello"
"2793528","Viganello"
"2794089","Viganello"
"2800468","Viganello"
"2802291","Viganello"
"2806098","Viganello"
"2806546","Viganello"
"2808682","Viganello"
"2810665","Viganello"
"2810730","Viganello"
"2813445","Viganello"
"2813743","Viganello"
"2815426","Viganello"
"2834178","Viganello"
"2834418","Viganello"
"2841588","Viganello"
"2845195","Viganello"
"2846460","Viganello"
"2846513","Viganello"
"2852515","Viganello"
"2855214","Viganello"
"2855846","Viganello"
"2865786","Viganello"
"2867583","Viganello"
"2875507","Viganello"
"2876167","Viganello"
"2896172","Viganello"
"2903344","Viganello"
"2906652","Viganello"
"2921168","Viganello"
"2921637","Viganello"
"2922392","Viganello"
"2929604","Viganello"
"2931818","Viganello"
"2932194","Viganello"
"2938996","Viganello"
"2939024","Viganello"
"2939945","Viganello"
"2939953","Viganello"
"2945676","Viganello"
"2947540","Viganello"
"2951106","Viganello"
"2958286","Viganello"
"2961034","Viganello"
"2981665","Viganello"
"2985274","Viganello"
"2985547","Viganello"
"2986050","Viganello"
"2988159","Viganello"
"2991627","Viganello"
"2995333","Viganello"
"2996064","Viganello"
"3003967","Viganello"
"3005599","Viganello"
"3010335","Viganello"
"3011209","Viganello"
"3012222","Viganello"
"3016379","Viganello"
"3016659","Viganello"
"3018900","Viganello"
"3021991","Viganello"
"3030178","Viganello"
"3033502","Viganello"
"3033684","Viganello"
"3038937","Viganello"
"3047408","Viganello"
"3052282","Viganello"
"3054298","Viganello"
"3057701","Viganello"
"3060119","Viganello"
"3063789","Viganello"
"3064654","Viganello"
"3231835","Viganello"
"3235300","Viganello"
"3242726","Viganello"
"3247491","Viganello"
"3253925","Viganello"
"3258523","Viganello"
"3259956","Viganello"
"3263917","Viganello"
"3264031","Viganello"
"3266248","Viganello"
"3274221","Viganello"
"3281505","Viganello"
"3284656","Viganello"
"3069043","Viganello"
"3074175","Viganello"
"3078868","Viganello"
"3079006","Viganello"
"3080365","Viganello"
"3082108","Viganello"
"3082694","Viganello"
"3082993","Viganello"
"3085407","Viganello"
"3088874","Viganello"
"3091655","Viganello"
"3094881","Viganello"
"3097058","Viganello"
"3103633","Viganello"
"3106189","Viganello"
"3108732","Viganello"
