id,name,address,zip,city,latitude,longitude,networkId,networkName
40,Morcote,Riva Dal Garavéll 8,6922,Morcote,45.9242,8.9192,3,Lugano
41,Melide,Via alla Bola,6815,Melide,45.953905,8.949715,3,Lugano
42,Arte e Cultura LAC,Via Antonio Caccia,6900,Lugano,45.998453,8.94848,3,Lugano
43,Campo Marzio,Viale Castagnola 4,6900,Lugano,46.005849,8.961709,3,Lugano
44,Tesserete,Piazza Stazione,6950,Tesserete,46.065999,8.966679,3,Lugano
45,Stadio,Via Trevano 100,6900,Lugano,46.023159,8.959919,3,Lugano
46,Via Ciani,Via Giacomo E Filippo Ciani,6900,Lugano,46.021942,8.962901,3,Lugano
47,Pregassona,Via Terzerina,6900,Lugano,46.02398,8.968292,3,Lugano
48,USI,Via Giuseppe Buffi 13,6900,Lugano,46.0105808,8.95794,3,Lugano
49,Contrada di Verla,Via Pretorio / Piazza Mercato,6900,Lugano,46.005653,8.951857,3,Lugano
50,Fornaci,Via Pian Scairolo 9,6912,Pazzallo,45.984764,8.932378,3,Lugano
51,Paradiso Centro,Via Franco Zorzi,6900,Lugano,45.991081,8.943799,3,Lugano
146,Stazione FFS,Via Clemente Maraini P+R,6900,Lugano,46.004469,8.947096,3,Lugano
205,Manno Parco Giova,Via Norello 4,6928,Manno,46.032852,8.921806,3,Lugano
206,Magliaso FLP,Via Stazione  18,6983,Magliaso,45.982042,8.883593,3,Lugano
207,Sorengo Parco Sportivo,Via al Laghetto 5,6924,Sorengo,46.001154,8.934162,3,Lugano
208,Caslano FLP,Via Stazione 77,6987,Caslano,45.977309,8.875447,3,Lugano
209,Manno Centro di Calcolo,Via Cantonale 16,6928,Manno,46.022676,8.917196,3,Lugano
210,Agno FLP,Via Stazione 2,6982,Agno,45.996253,8.900957,3,Lugano
245,Molinazzo,Via Longa,6934,Bioggio,46.012749,8.914699,3,Lugano
247,Bioggio Via Industria,Via Industria 31,6934,Bioggio,46.020356,8.916114,3,Lugano
248,Cappella-Agnuzzo FLP,Cappella-Agnuzzo,6925,Collina d'Oro,45.993326,8.924532,3,Lugano
249,Muzzano Industria,Via Industria,6933,Muzzano,46.000482,8.912639,3,Lugano
288,Montagnola Piazza Brocchi,Piazza Brocchi,6926,Montagnola,45.982056,8.918121,3,Lugano
289,Massagno,"via dei Platani,",6908,Massagno,46.012555,8.943487,3,Lugano
377,Viganello,Via la Santa,6900,Lugano,46.0121344,8.9657021,3,Lugano
378,Via Ginevra,via Ginevra,6900,Lugnao,46.0082843,8.9512745,3,Lugano
379,Lambertenghi,Via Bertaro Lambertenghi,6900,Lugano,46.0084322,8.9575686,3,Lugano
380,Via Dei Faggi,Viale dei Faggi,6900,Lugano,46.0090116,8.9638054,3,Lugano
381,Piazza Molino Nuovo,Piazza Molino Nuovo,6900,Lugano,46.012252,8.955118,3,Lugano
382,Bigogno - Campo sportivo,Via Collina d'Oro,6926,Colina d'Oro,45.972202,8.915525,3,Lugano
434,Via Crocetta,Via Crocetta,6900,Lugano,46.0159412,8.9668282,3,Lugano
435,Ospedale Italiano di Lugano,Via Pietro Cappelli,6900,Lugano,46.009713,8.96008,3,Lugano
436,Casa Serena,Via Marco da Carona 10-12,6900,Lugano,46.013865,8.958952,3,Lugano
437,Via Ceresio,Via Ceresio,6900,Lugano,46.01876,8.96429,3,Lugano
438,Piazza Manzoni,Piazza Manzoni,6900,Lugano,46.0036519,8.9529036,3,Lugano
440,Via Beltramina,Via Beltramina 16,6900,Lugano,46.0166117,8.9596513,3,Lugano
441,Paradiso Stazione FFS,Via Carona,6900,Paradiso,45.989126,8.946661,3,Lugano
494,Caslano Piazza Lago,Piazza Lago,6987,Caslano,45.970318,8.88374,3,Lugano
