"Fahrt: Name","Ausleihdauer","Kunden Gruppe"
"958093","bis 5 min","B2B"
"1203588","bis 5 min","B2B"
"1058720","bis 5 min","B2B"
"1367626","bis 5 min","B2B"
"959325","bis 5 min","B2B"
"1203709","bis 5 min","B2B"
"1059395","bis 5 min","B2B"
"1367629","bis 5 min","B2B"
"961960","bis 5 min","B2B"
"1204233","bis 5 min","B2B"
"1061220","bis 5 min","B2B"
"1368268","bis 5 min","B2B"
"962641","bis 5 min","B2B"
"1204476","bis 5 min","B2B"
"1061613","bis 5 min","B2B"
"1368339","bis 5 min","B2B"
"962981","bis 5 min","B2B"
"1204552","bis 5 min","B2B"
"1063532","bis 5 min","B2B"
"1369603","bis 5 min","B2B"
"964502","bis 5 min","B2B"
"1205330","bis 5 min","B2B"
"1064513","bis 5 min","B2B"
"1369898","bis 5 min","B2B"
"967746","bis 5 min","B2B"
"1205633","bis 5 min","B2B"
"1065202","bis 5 min","B2B"
"1369917","bis 5 min","B2B"
"969596","bis 5 min","B2B"
"1206193","bis 5 min","B2B"
"1065303","bis 5 min","B2B"
"1369972","bis 5 min","B2B"
"969679","bis 5 min","B2B"
"1206797","bis 5 min","B2B"
"1066753","bis 5 min","B2B"
"1370311","bis 5 min","B2B"
"970247","bis 5 min","B2B"
"1208048","bis 5 min","B2B"
"1067174","bis 5 min","B2B"
"1371625","bis 5 min","B2B"
"970292","bis 5 min","B2B"
"1212015","bis 5 min","B2B"
"1069237","bis 5 min","B2B"
"1371994","bis 5 min","B2B"
"971656","bis 5 min","B2B"
"1212808","bis 5 min","B2B"
"1069699","bis 5 min","B2B"
"1372084","bis 5 min","B2B"
"971779","bis 5 min","B2B"
"1213085","bis 5 min","B2B"
"1073636","bis 5 min","B2B"
"1373172","bis 5 min","B2B"
"971851","bis 5 min","B2B"
"1213204","bis 5 min","B2B"
"1073835","bis 5 min","B2B"
"1373716","bis 5 min","B2B"
"972264","bis 5 min","B2B"
"1213343","bis 5 min","B2B"
"1076367","bis 5 min","B2B"
"1374323","bis 5 min","B2B"
"973248","bis 5 min","B2B"
"1213576","bis 5 min","B2B"
"1076486","bis 5 min","B2B"
"1374350","bis 5 min","B2B"
"973475","bis 5 min","B2B"
"1213993","bis 5 min","B2B"
"1076552","bis 5 min","B2B"
"1374626","bis 5 min","B2B"
"974532","bis 5 min","B2B"
"1214076","bis 5 min","B2B"
"1076607","bis 5 min","B2B"
"1374883","bis 5 min","B2B"
"975271","bis 5 min","B2B"
"1214167","bis 5 min","B2B"
"1076819","bis 5 min","B2B"
"1375585","bis 5 min","B2B"
