"Fahrt: Name","Ende Wochentag"
"965234","1 Montag"
"1821574","1 Montag"
"965354","1 Montag"
"1822025","1 Montag"
"965577","1 Montag"
"1822184","1 Montag"
"965680","1 Montag"
"1822772","1 Montag"
"966231","1 Montag"
"1822775","1 Montag"
"966302","1 Montag"
"1822797","1 Montag"
"966740","1 Montag"
"1822997","1 Montag"
"966912","1 Montag"
"1823020","1 Montag"
"967133","1 Montag"
"1823038","1 Montag"
"967212","1 Montag"
"1823074","1 Montag"
"967330","1 Montag"
"1823300","1 Montag"
"967359","1 Montag"
"1823351","1 Montag"
"967665","1 Montag"
"1823383","1 Montag"
"967746","1 Montag"
"1823442","1 Montag"
"967834","1 Montag"
"1823539","1 Montag"
"967848","1 Montag"
"1823580","1 Montag"
"968268","1 Montag"
"1823638","1 Montag"
"981979","1 Montag"
"1823710","1 Montag"
"982077","1 Montag"
"1823845","1 Montag"
"982222","1 Montag"
"1823889","1 Montag"
"983080","1 Montag"
"1823898","1 Montag"
"983154","1 Montag"
"1823977","1 Montag"
"983156","1 Montag"
"1824019","1 Montag"
"983231","1 Montag"
"1824044","1 Montag"
"983235","1 Montag"
"1824118","1 Montag"
"983244","1 Montag"
"1824216","1 Montag"
"983370","1 Montag"
"1824222","1 Montag"
"983479","1 Montag"
"1824228","1 Montag"
"983864","1 Montag"
"1824237","1 Montag"
"983982","1 Montag"
"1824257","1 Montag"
"984440","1 Montag"
"1824379","1 Montag"
"984536","1 Montag"
"1824385","1 Montag"
"984685","1 Montag"
"1824430","1 Montag"
"984755","1 Montag"
"1824440","1 Montag"
"984806","1 Montag"
"1824443","1 Montag"
"984866","1 Montag"
"1824461","1 Montag"
"985011","1 Montag"
"1824487","1 Montag"
"1141532","1 Montag"
"1824508","1 Montag"
"1141562","1 Montag"
"1824514","1 Montag"
"1141654","1 Montag"
"1887153","1 Montag"
"1141977","1 Montag"
"1887154","1 Montag"
"1142052","1 Montag"
"1887182","1 Montag"
"1142383","1 Montag"
"1887201","1 Montag"
"1142630","1 Montag"
"1888006","1 Montag"
"1142648","1 Montag"
"1888150","1 Montag"
"1142658","1 Montag"
"1888368","1 Montag"
"1142665","1 Montag"
"1888406","1 Montag"
"1142692","1 Montag"
"1888560","1 Montag"
"1143032","1 Montag"
"1888620","1 Montag"
"1143357","1 Montag"
"1889157","1 Montag"
"1143651","1 Montag"
"1889207","1 Montag"
"1143801","1 Montag"
"1889391","1 Montag"
"1144655","1 Montag"
"1889443","1 Montag"
"1144819","1 Montag"
"1889480","1 Montag"
"1145009","1 Montag"
"1889571","1 Montag"
"1145365","1 Montag"
"1889587","1 Montag"
"1145829","1 Montag"
"1889700","1 Montag"
"1173575","1 Montag"
"1889776","1 Montag"
"1173801","1 Montag"
"1889793","1 Montag"
"1173831","1 Montag"
"1889797","1 Montag"
"1173917","1 Montag"
"1889876","1 Montag"
"1174118","1 Montag"
"1889990","1 Montag"
"1174177","1 Montag"
"1890091","1 Montag"
"1174224","1 Montag"
"1890484","1 Montag"
"1174377","1 Montag"
"1890657","1 Montag"
"1174517","1 Montag"
"1891002","1 Montag"
"1174589","1 Montag"
"1891050","1 Montag"
"1174641","1 Montag"
"1891059","1 Montag"
"1174926","1 Montag"
"1891075","1 Montag"
"1175042","1 Montag"
"1891177","1 Montag"
"1175074","1 Montag"
"1891189","1 Montag"
"1175126","1 Montag"
"1891310","1 Montag"
"1175807","1 Montag"
"1891448","1 Montag"
"1175844","1 Montag"
"1891588","1 Montag"
"1175925","1 Montag"
"1891666","1 Montag"
"1175935","1 Montag"
"1891816","1 Montag"
"1175954","1 Montag"
"1891889","1 Montag"
"1176395","1 Montag"
"1891973","1 Montag"
"1176482","1 Montag"
"1891996","1 Montag"
"1176666","1 Montag"
"1892037","1 Montag"
"1177351","1 Montag"
"1892125","1 Montag"
"1200510","1 Montag"
"1892152","1 Montag"
"1203070","1 Montag"
"1892165","1 Montag"
