"Fahrt: Name","Zugangsmedium Typ"
"955723","Phone"
"2154716","Phone"
"956627","Phone"
"2154963","Phone"
"957802","Phone"
"2155049","Phone"
"957943","Phone"
"2155063","Phone"
"958000","Phone"
"2155164","Phone"
"958016","Phone"
"2155249","Phone"
"958093","Phone"
"2155252","Phone"
"958120","Phone"
"2155302","Phone"
"960163","Phone"
"2155342","Phone"
"960444","Phone"
"2155723","Phone"
"960467","Phone"
"2155724","Phone"
"960827","Phone"
"2155871","Phone"
"962371","Phone"
"2155876","Phone"
"962972","Phone"
"2155904","Phone"
"963107","Phone"
"2155918","Phone"
"963482","Phone"
"2155974","Phone"
"965234","Phone"
"2156046","Phone"
"965680","Phone"
"2156125","Phone"
"966231","Phone"
"2156354","Phone"
"966302","Phone"
"2156396","Phone"
"966912","Phone"
"2156578","Phone"
"967212","Phone"
"2156775","Phone"
"967330","Phone"
"2157022","Phone"
"967665","Phone"
"2157386","Phone"
"967848","Phone"
"2157642","Phone"
"968268","Phone"
"2157663","Phone"
"968346","Phone"
"2158185","Phone"
"968550","Phone"
"2158468","Phone"
"969060","Phone"
"2158522","Phone"
"970292","Phone"
"2158789","Phone"
"970576","Phone"
"2159275","Phone"
"970584","Phone"
"2159309","Phone"
"970967","Phone"
"2159446","Phone"
"971103","Phone"
"2159715","Phone"
"971656","Phone"
"2160028","Phone"
"971896","Phone"
"2160600","Phone"
"972103","Phone"
"2161540","Phone"
"972699","Phone"
"2161555","Phone"
"972955","Phone"
"2162657","Phone"
"973479","Phone"
"2162789","Phone"
"973982","Phone"
"2162863","Phone"
"974078","Phone"
"2162994","Phone"
"974566","Phone"
"2163486","Phone"
"975424","Phone"
"2163940","Phone"
"976091","Phone"
"2163964","Phone"
"976127","Phone"
"2164157","Phone"
"976488","Phone"
"2164223","Phone"
"976942","Phone"
"2164283","Phone"
"977171","Phone"
"2164422","Phone"
"977640","Phone"
"2164766","Phone"
"977688","Phone"
"2165343","Phone"
"977811","Phone"
"2165358","Phone"
"978131","Phone"
"2165615","Phone"
"978195","Phone"
"2165790","Phone"
"978276","Phone"
"2166244","Phone"
"978510","Phone"
"2166350","Phone"
"979122","Phone"
"2166364","Phone"
"979579","Phone"
"2166373","Phone"
"979632","Phone"
"2166398","Phone"
"980199","Phone"
"2166450","Phone"
"980595","Phone"
