Date,Total,Transport Mode: Train,Transport Mode: Road,Transport Mode: Highway,Reason: Commute,Reason: Non-commute
2019-05-27T00:00:00,2721,41,1518,1161,225,2495
2019-05-27T01:00:00,1153,<20,604,535,107,1046
2019-05-27T02:00:00,771,<20,357,402,67,703
2019-05-27T03:00:00,670,<20,289,374,98,572
2019-05-27T04:00:00,1588,<20,734,834,339,1248
2019-05-27T05:00:00,5596,249,2876,2470,1803,3792
2019-05-27T06:00:00,18024,696,10957,6370,7704,10320
2019-05-27T07:00:00,33528,950,22783,9794,17807,15721
2019-05-27T08:00:00,30195,938,20540,8716,13176,17019
2019-05-27T09:00:00,24298,779,16451,7068,7006,17291
2019-05-27T10:00:00,22919,580,15947,6391,4820,18098
2019-05-27T11:00:00,24993,804,17882,6306,5774,19219
2019-05-27T12:00:00,24737,561,18408,5767,7996,16741
2019-05-27T13:00:00,28251,608,20943,6699,8390,19860
2019-05-27T14:00:00,24461,745,16938,6777,5638,18823
2019-05-27T15:00:00,25984,676,18108,7199,6506,19478
2019-05-27T16:00:00,30624,915,21319,8388,10132,20491
2019-05-27T17:00:00,32174,1102,22821,8249,13502,18671
2019-05-27T18:00:00,27794,846,19799,7148,11482,16311
2019-05-27T19:00:00,17012,626,12278,4107,4981,12030
2019-05-27T20:00:00,10531,316,7616,2598,1874,8656
2019-05-27T21:00:00,7414,250,5375,1788,946,6468
2019-05-27T22:00:00,5725,116,4253,1355,764,4961
2019-05-27T23:00:00,3235,121,2376,736,351,2883
2019-05-28T00:00:00,1821,84,1166,570,188,1632
2019-05-28T01:00:00,865,49,460,356,110,754
2019-05-28T02:00:00,503,<20,262,230,38,465
2019-05-28T03:00:00,586,26,262,297,112,473
2019-05-28T04:00:00,1223,25,660,537,315,908
2019-05-28T05:00:00,4943,258,2626,2057,1606,3336
2019-05-28T06:00:00,17623,544,11106,5972,7531,10092
2019-05-28T07:00:00,34144,971,23507,9665,18161,15983
2019-05-28T08:00:00,30704,774,21121,8808,13289,17415
2019-05-28T09:00:00,25323,790,17063,7470,6915,18407
2019-05-28T10:00:00,23471,558,16631,6282,4958,18513
2019-05-28T11:00:00,25019,762,18163,6094,5806,19212
2019-05-28T12:00:00,25353,628,18995,5729,8275,17077
2019-05-28T13:00:00,28299,612,21127,6558,8172,20126
2019-05-28T14:00:00,24999,658,18013,6328,5699,19300
2019-05-28T15:00:00,26342,679,18867,6794,6889,19452
2019-05-28T16:00:00,30856,1019,21079,8756,9951,20904
2019-05-28T17:00:00,32427,1083,22859,8484,13231,19195
2019-05-28T18:00:00,28593,865,20108,7619,11575,17018
2019-05-28T19:00:00,19291,721,13168,5401,5373,13917
2019-05-28T20:00:00,12656,379,8845,3432,2318,10338
2019-05-28T21:00:00,9334,379,6492,2462,1194,8139
2019-05-28T22:00:00,7293,114,5246,1932,964,6328
2019-05-28T23:00:00,4202,128,2821,1252,485,3716
2019-05-29T00:00:00,2388,79,1548,761,245,2143
2019-05-29T01:00:00,1161,42,561,557,98,1063
2019-05-29T02:00:00,847,27,386,433,86,760
2019-05-29T03:00:00,833,<20,360,453,105,727
2019-05-29T04:00:00,1707,41,790,874,364,1343
2019-05-29T05:00:00,5355,207,2853,2293,1581,3773
2019-05-29T06:00:00,18022,531,11083,6408,7474,10548
2019-05-29T07:00:00,34998,984,23871,10142,17688,17310
2019-05-29T08:00:00,31003,827,21028,9147,12586,18416
2019-05-29T09:00:00,26213,845,17646,7721,6945,19267
2019-05-29T10:00:00,25797,601,17915,7279,5090,20707
2019-05-29T11:00:00,28419,992,20105,7322,6499,21920
2019-05-29T12:00:00,29278,700,21397,7180,9132,20146
2019-05-29T13:00:00,30895,804,22557,7533,8559,22336
2019-05-29T14:00:00,29312,867,20749,7695,6222,23089
2019-05-29T15:00:00,31018,1113,20975,8929,6992,24026
2019-05-29T16:00:00,33840,915,23985,8939,10131,23708
