Date,Total,Transport Mode: Train,Transport Mode: Road,Transport Mode: Highway,Reason: Commute,Reason: Non-commute
2019-05-27T00:00:00,599,<20,372,223,82,516
2019-05-27T01:00:00,181,<20,114,62,26,154
2019-05-27T02:00:00,120,<20,63,52,<20,99
2019-05-27T03:00:00,105,<20,53,51,<20,91
2019-05-27T04:00:00,457,<20,207,244,98,359
2019-05-27T05:00:00,1392,76,829,485,467,924
2019-05-27T06:00:00,4061,235,2667,1158,1638,2422
2019-05-27T07:00:00,6376,212,3970,2193,2767,3609
2019-05-27T08:00:00,5263,138,3505,1619,1601,3661
2019-05-27T09:00:00,4920,112,3333,1473,1171,3748
2019-05-27T10:00:00,4998,108,3378,1511,973,4025
2019-05-27T11:00:00,5682,113,4043,1525,1439,4242
2019-05-27T12:00:00,5783,147,4153,1482,1845,3937
2019-05-27T13:00:00,6266,139,4290,1836,1656,4609
2019-05-27T14:00:00,6080,156,4073,1850,1502,4578
2019-05-27T15:00:00,7301,160,4852,2288,2174,5127
2019-05-27T16:00:00,9516,270,6386,2859,4068,5448
2019-05-27T17:00:00,10094,288,6943,2862,5455,4638
2019-05-27T18:00:00,8877,215,5908,2752,4671,4205
2019-05-27T19:00:00,4686,68,3266,1351,1923,2762
2019-05-27T20:00:00,2627,74,1821,731,618,2008
2019-05-27T21:00:00,1808,42,1320,445,261,1547
2019-05-27T22:00:00,1361,<20,1042,308,234,1126
2019-05-27T23:00:00,723,<20,549,160,118,605
2019-05-28T00:00:00,439,<20,306,125,69,369
2019-05-28T01:00:00,159,<20,104,50,28,130
2019-05-28T02:00:00,99,<20,57,40,<20,88
2019-05-28T03:00:00,114,<20,50,60,<20,94
2019-05-28T04:00:00,288,<20,179,108,80,208
2019-05-28T05:00:00,1154,68,690,395,364,790
2019-05-28T06:00:00,3906,189,2587,1128,1537,2368
2019-05-28T07:00:00,6503,188,4208,2106,2737,3766
2019-05-28T08:00:00,5744,128,3746,1869,1730,4014
2019-05-28T09:00:00,4991,134,3307,1549,1013,3977
2019-05-28T10:00:00,5258,133,3615,1508,1071,4186
2019-05-28T11:00:00,5896,114,4230,1551,1451,4445
2019-05-28T12:00:00,5670,147,3981,1542,1871,3799
2019-05-28T13:00:00,6588,136,4592,1858,1754,4834
2019-05-28T14:00:00,6642,159,4419,2063,1616,5026
2019-05-28T15:00:00,7502,188,4997,2315,2307,5194
2019-05-28T16:00:00,9422,279,6127,3016,3859,5563
2019-05-28T17:00:00,10372,312,6946,3114,5327,5044
2019-05-28T18:00:00,8982,244,5989,2747,4755,4227
2019-05-28T19:00:00,5008,103,3371,1533,1882,3125
2019-05-28T20:00:00,3100,88,2242,770,764,2335
2019-05-28T21:00:00,2208,61,1592,553,326,1881
2019-05-28T22:00:00,1668,<20,1252,407,324,1344
2019-05-28T23:00:00,834,<20,636,191,132,702
2019-05-29T00:00:00,661,<20,424,219,100,561
2019-05-29T01:00:00,231,<20,138,90,32,199
2019-05-29T02:00:00,137,<20,82,53,23,114
2019-05-29T03:00:00,156,<20,83,64,<20,136
2019-05-29T04:00:00,376,<20,195,175,90,285
2019-05-29T05:00:00,1162,38,773,350,370,791
2019-05-29T06:00:00,4027,154,2704,1167,1567,2459
2019-05-29T07:00:00,6629,219,4345,2064,2653,3975
2019-05-29T08:00:00,5570,127,3505,1937,1610,3959
2019-05-29T09:00:00,5235,116,3540,1578,1063,4172
2019-05-29T10:00:00,5958,141,4057,1759,1101,4856
2019-05-29T11:00:00,6633,131,4651,1851,1735,4898
2019-05-29T12:00:00,6767,137,4750,1879,2236,4530
2019-05-29T13:00:00,7220,178,4838,2203,1884,5335
2019-05-29T14:00:00,7331,150,4882,2298,1711,5620
2019-05-29T15:00:00,8300,225,5415,2659,2320,5980
2019-05-29T16:00:00,10408,226,7007,3174,4112,6296
2019-05-29T17:00:00,10447,409,7058,2979,4960,5486
2019-05-29T18:00:00,8984,279,6064,2640,3955,5029
2019-05-29T19:00:00,6989,221,4804,1963,1966,5023
2019-05-29T20:00:00,4009,96,2784,1128,804,3204
2019-05-29T21:00:00,2964,92,2050,821,546,2418
2019-05-29T22:00:00,2277,45,1669,562,369,1907
2019-05-29T23:00:00,1699,<20,1323,362,207,1491
2019-05-30T00:00:00,1798,43,1210,543,195,1602
2019-05-30T01:00:00,635,<20,474,139,67,567
2019-05-30T02:00:00,348,<20,244,99,50,297
2019-05-30T03:00:00,440,<20,249,187,44,395
2019-05-30T04:00:00,444,<20,200,241,37,407
2019-05-30T05:00:00,671,23,252,395,80,590
2019-05-30T06:00:00,1327,35,586,706,131,1195
2019-05-30T07:00:00,2671,82,1323,1264,230,2441
2019-05-30T08:00:00,4313,119,2374,1819,331,3981
2019-05-30T09:00:00,5506,144,3416,1944,378,5127
2019-05-30T10:00:00,5765,138,3867,1759,417,5348
2019-05-30T11:00:00,5608,136,3946,1526,398,5210
2019-05-30T12:00:00,4548,144,3332,1070,428,4120
2019-05-30T13:00:00,4399,114,3062,1222,368,4030
2019-05-30T14:00:00,4836,126,3550,1159,389,4447
2019-05-30T15:00:00,4701,146,3370,1184,442,4259
2019-05-30T16:00:00,4416,171,3189,1055,480,3935
2019-05-30T17:00:00,4421,146,3248,1026,544,3876
2019-05-30T18:00:00,3879,162,2746,970,537,3341
2019-05-30T19:00:00,2929,109,2163,656,308,2620
2019-05-30T20:00:00,2126,90,1538,497,252,1873
2019-05-30T21:00:00,1947,40,1460,446,200,1747
2019-05-30T22:00:00,1602,25,1171,405,206,1395
2019-05-30T23:00:00,843,<20,667,167,80,763
2019-05-31T00:00:00,735,<20,506,220,80,654
2019-05-31T01:00:00,214,<20,154,52,24,189
2019-05-31T02:00:00,163,<20,98,61,<20,148
2019-05-31T03:00:00,151,<20,80,68,28,123
2019-05-31T04:00:00,292,<20,173,109,68,224
2019-05-31T05:00:00,906,26,584,294,273,632
2019-05-31T06:00:00,2639,104,1710,825,964,1675
2019-05-31T07:00:00,4780,165,3068,1546,1765,3015
2019-05-31T08:00:00,4989,94,3265,1629,1124,3865
2019-05-31T09:00:00,5534,141,3851,1541,909,4625
2019-05-31T10:00:00,6270,124,4557,1588,918,5351
2019-05-31T11:00:00,6513,99,4766,1647,1248,5265
2019-05-31T12:00:00,6267,188,4553,1526,1461,4805
2019-05-31T13:00:00,6700,165,4918,1616,1386,5313
2019-05-31T14:00:00,6961,228,4967,1765,1321,5639
2019-05-31T15:00:00,8066,264,5665,2136,1956,6110
