Date,Total,Transport Mode: Train,Transport Mode: Road,Transport Mode: Highway,Reason: Commute,Reason: Non-commute
2019-05-27T00:00:00,569,<20,323,238,<20,553
2019-05-27T01:00:00,296,<20,138,158,24,272
2019-05-27T02:00:00,155,<20,68,86,<20,150
2019-05-27T03:00:00,81,<20,35,46,<20,64
2019-05-27T04:00:00,234,<20,152,81,73,161
2019-05-27T05:00:00,1102,<20,671,422,411,691
2019-05-27T06:00:00,5481,92,3454,1935,2699,2782
2019-05-27T07:00:00,12038,231,7965,3842,7635,4402
2019-05-27T08:00:00,10439,225,6342,3871,6067,4371
2019-05-27T09:00:00,7080,155,4243,2681,2817,4262
2019-05-27T10:00:00,5735,121,3832,1780,1506,4228
2019-05-27T11:00:00,5582,153,3834,1595,1251,4331
2019-05-27T12:00:00,5207,124,3616,1466,1562,3645
2019-05-27T13:00:00,6632,142,4683,1805,1992,4639
2019-05-27T14:00:00,5554,112,3733,1708,1250,4304
2019-05-27T15:00:00,5450,132,3709,1608,1253,4196
2019-05-27T16:00:00,5797,96,3987,1712,1575,4222
2019-05-27T17:00:00,6539,208,4310,2019,2309,4230
2019-05-27T18:00:00,5606,179,3554,1872,1945,3660
2019-05-27T19:00:00,3589,153,2328,1107,858,2730
2019-05-27T20:00:00,2389,71,1576,741,385,2003
2019-05-27T21:00:00,1672,55,1070,546,205,1467
2019-05-27T22:00:00,1349,28,892,429,154,1195
2019-05-27T23:00:00,835,28,540,266,86,749
2019-05-28T00:00:00,352,<20,193,157,24,327
2019-05-28T01:00:00,181,<20,84,97,27,153
2019-05-28T02:00:00,88,<20,52,35,<20,81
2019-05-28T03:00:00,112,<20,71,40,33,79
2019-05-28T04:00:00,237,<20,151,82,81,156
2019-05-28T05:00:00,1118,28,671,418,435,682
2019-05-28T06:00:00,5496,58,3529,1908,2616,2879
2019-05-28T07:00:00,12715,258,8449,4007,7982,4732
2019-05-28T08:00:00,10580,197,6479,3902,6023,4556
2019-05-28T09:00:00,7530,165,4491,2873,2870,4660
2019-05-28T10:00:00,5816,125,3784,1906,1522,4294
2019-05-28T11:00:00,5539,133,3741,1664,1305,4233
2019-05-28T12:00:00,5521,124,3865,1531,1620,3901
2019-05-28T13:00:00,6558,112,4692,1754,1861,4697
2019-05-28T14:00:00,5619,98,3924,1596,1261,4357
2019-05-28T15:00:00,5713,110,3965,1637,1476,4237
2019-05-28T16:00:00,5904,168,3924,1811,1601,4303
2019-05-28T17:00:00,6626,200,4397,2028,2258,4368
2019-05-28T18:00:00,5633,151,3581,1900,1884,3749
2019-05-28T19:00:00,4250,200,2633,1415,1030,3220
2019-05-28T20:00:00,2808,124,1755,929,445,2363
2019-05-28T21:00:00,2038,74,1333,629,240,1797
2019-05-28T22:00:00,1833,43,1223,566,189,1644
2019-05-28T23:00:00,1133,31,604,497,110,1022
2019-05-29T00:00:00,485,<20,263,216,36,448
2019-05-29T01:00:00,259,<20,134,119,<20,243
2019-05-29T02:00:00,147,<20,83,61,22,125
2019-05-29T03:00:00,107,<20,61,43,<20,91
2019-05-29T04:00:00,254,<20,170,73,88,166
2019-05-29T05:00:00,1196,24,730,442,445,750
2019-05-29T06:00:00,5494,86,3475,1931,2671,2822
2019-05-29T07:00:00,12588,258,8309,4020,7795,4793
2019-05-29T08:00:00,10499,251,6464,3783,5811,4688
2019-05-29T09:00:00,7388,177,4540,2671,2815,4572
2019-05-29T10:00:00,6384,154,4164,2066,1577,4806
2019-05-29T11:00:00,6325,176,4211,1937,1396,4928
2019-05-29T12:00:00,6161,187,4298,1676,1732,4428
2019-05-29T13:00:00,7086,189,5021,1875,1936,5149
2019-05-29T14:00:00,6324,172,4390,1761,1349,4975
2019-05-29T15:00:00,6429,241,4344,1843,1354,5074
2019-05-29T16:00:00,6731,228,4600,1901,1607,5123
2019-05-29T17:00:00,7122,318,4853,1950,2072,5050
