Date,Total,Transport Mode: Train,Transport Mode: Road,Transport Mode: Highway,Reason: Commute,Reason: Non-commute
2019-05-27T00:00:00,1008,30,281,696,52,956
2019-05-27T01:00:00,440,<20,117,314,<20,419
2019-05-27T02:00:00,342,<20,71,263,<20,324
2019-05-27T03:00:00,374,<20,94,277,48,325
2019-05-27T04:00:00,720,<20,199,508,129,590
2019-05-27T05:00:00,2494,161,773,1558,697,1796
2019-05-27T06:00:00,5834,359,2202,3272,2160,3673
2019-05-27T07:00:00,7352,482,3116,3753,3122,4229
2019-05-27T08:00:00,6044,549,2282,3212,1847,4196
2019-05-27T09:00:00,5623,492,2226,2905,1037,4585
2019-05-27T10:00:00,5512,331,2100,3081,764,4748
2019-05-27T11:00:00,5905,520,2220,3164,741,5163
2019-05-27T12:00:00,5164,273,2090,2801,887,4277
2019-05-27T13:00:00,5716,312,2361,3041,931,4784
2019-05-27T14:00:00,5878,445,2222,3211,907,4971
2019-05-27T15:00:00,6158,353,2509,3296,1077,5081
2019-05-27T16:00:00,7460,530,3122,3807,1821,5639
2019-05-27T17:00:00,6929,547,3023,3359,2289,4640
2019-05-27T18:00:00,5507,422,2579,2504,1793,3714
2019-05-27T19:00:00,3706,383,1680,1641,824,2881
2019-05-27T20:00:00,2370,158,1089,1122,329,2041
2019-05-27T21:00:00,1721,148,778,793,202,1518
2019-05-27T22:00:00,1357,74,668,614,137,1219
2019-05-27T23:00:00,729,73,346,310,47,681
2019-05-28T00:00:00,538,74,179,284,32,506
2019-05-28T01:00:00,342,43,91,207,23,319
2019-05-28T02:00:00,223,<20,61,152,<20,206
2019-05-28T03:00:00,277,23,56,196,39,237
2019-05-28T04:00:00,532,21,164,346,103,428
2019-05-28T05:00:00,2085,159,684,1241,610,1474
2019-05-28T06:00:00,5377,292,2158,2926,2047,3330
2019-05-28T07:00:00,7081,501,3043,3536,3040,4040
2019-05-28T08:00:00,5695,410,2267,3017,1760,3935
2019-05-28T09:00:00,5718,471,2211,3036,946,4772
2019-05-28T10:00:00,5316,281,2186,2848,779,4537
2019-05-28T11:00:00,5605,502,2237,2865,692,4913
2019-05-28T12:00:00,5110,332,2138,2640,862,4247
2019-05-28T13:00:00,5642,340,2382,2919,918,4724
2019-05-28T14:00:00,5415,371,2395,2649,810,4605
2019-05-28T15:00:00,5773,354,2588,2830,1086,4686
2019-05-28T16:00:00,7478,548,3017,3912,1812,5665
2019-05-28T17:00:00,6902,537,3048,3317,2158,4743
2019-05-28T18:00:00,6064,427,2682,2955,1729,4335
2019-05-28T19:00:00,4869,397,2019,2451,999,3869
2019-05-28T20:00:00,3051,165,1153,1732,420,2630
2019-05-28T21:00:00,2521,221,1026,1273,245,2276
2019-05-28T22:00:00,1833,57,817,957,176,1656
2019-05-28T23:00:00,1054,85,406,561,74,979
2019-05-29T00:00:00,582,55,203,323,33,548
2019-05-29T01:00:00,479,33,99,347,<20,459
2019-05-29T02:00:00,425,24,82,317,<20,404
2019-05-29T03:00:00,440,<20,87,345,53,386
2019-05-29T04:00:00,870,26,223,620,129,741
2019-05-29T05:00:00,2395,143,750,1500,566,1828
2019-05-29T06:00:00,5806,286,2212,3307,2020,3785
2019-05-29T07:00:00,7672,478,3144,4050,2927,4745
2019-05-29T08:00:00,6223,432,2379,3410,1504,4718
2019-05-29T09:00:00,6381,529,2403,3447,1002,5378
2019-05-29T10:00:00,6312,289,2580,3442,748,5564
2019-05-29T11:00:00,6905,658,2733,3512,849,6055
2019-05-29T12:00:00,6656,349,2701,3605,1109,5546
2019-05-29T13:00:00,6661,407,2818,3435,1015,5646
2019-05-29T14:00:00,7247,520,3109,3617,1033,6214
2019-05-29T15:00:00,8146,615,3122,4408,1358,6787
2019-05-29T16:00:00,7811,426,3537,3847,1772,6039
2019-05-29T17:00:00,8474,1092,3515,3865,2216,6257
2019-05-29T18:00:00,6887,663,2901,3322,1507,5380
2019-05-29T19:00:00,6795,474,2958,3362,1050,5744
2019-05-29T20:00:00,4991,248,2042,2699,482,4508
2019-05-29T21:00:00,3998,173,1745,2079,418,3579
2019-05-29T22:00:00,4131,445,1537,2148,292,3838
2019-05-29T23:00:00,2664,109,912,1642,156,2507
2019-05-30T00:00:00,2291,94,571,1625,53,2237
2019-05-30T01:00:00,1668,42,457,1168,32,1636
2019-05-30T02:00:00,1460,24,245,1190,39,1421
2019-05-30T03:00:00,1755,35,257,1463,60,1695
2019-05-30T04:00:00,1850,22,312,1515,68,1782
2019-05-30T05:00:00,2763,83,432,2247,108,2655
2019-05-30T06:00:00,3688,116,770,2802,201,3487
2019-05-30T07:00:00,4412,152,1368,2891,228,4184
2019-05-30T08:00:00,6737,659,2224,3853,340,6396
2019-05-30T09:00:00,8631,914,3117,4599,338,8292
2019-05-30T10:00:00,9077,477,3697,4902,326,8751
2019-05-30T11:00:00,9408,979,4037,4391,313,9094
2019-05-30T12:00:00,7939,511,3664,3763,283,7655
2019-05-30T13:00:00,7975,909,3531,3534,317,7658
2019-05-30T14:00:00,8219,518,3975,3725,281,7938
2019-05-30T15:00:00,7821,583,3815,3422,301,7519
2019-05-30T16:00:00,7314,402,3682,3229,302,7012
