Date,Total,Transport Mode: Train,Transport Mode: Road,Transport Mode: Highway,Reason: Commute,Reason: Non-commute
2019-05-27T00:00:00,544,<20,540,<20,74,469
2019-05-27T01:00:00,235,<20,234,<20,35,199
2019-05-27T02:00:00,153,<20,153,<20,25,128
2019-05-27T03:00:00,108,<20,106,<20,<20,90
2019-05-27T04:00:00,175,<20,175,<20,38,136
2019-05-27T05:00:00,607,<20,601,<20,226,380
2019-05-27T06:00:00,2646,<20,2633,<20,1205,1440
2019-05-27T07:00:00,7761,24,7731,<20,4281,3479
2019-05-27T08:00:00,8448,24,8410,<20,3659,4788
2019-05-27T09:00:00,6674,<20,6647,<20,1979,4695
2019-05-27T10:00:00,6672,<20,6636,<20,1576,5096
2019-05-27T11:00:00,7823,<20,7785,<20,2341,5481
2019-05-27T12:00:00,8582,<20,8548,<20,3701,4881
2019-05-27T13:00:00,9636,<20,9607,<20,3810,5826
2019-05-27T14:00:00,6947,30,6909,<20,1978,4969
2019-05-27T15:00:00,7073,30,7036,<20,2001,5072
2019-05-27T16:00:00,7849,<20,7822,<20,2667,5181
2019-05-27T17:00:00,8610,57,8544,<20,3448,5161
2019-05-27T18:00:00,7803,27,7757,<20,3072,4730
2019-05-27T19:00:00,5030,<20,5003,<20,1374,3655
2019-05-27T20:00:00,3144,<20,3129,<20,540,2603
2019-05-27T21:00:00,2212,<20,2206,<20,277,1934
2019-05-27T22:00:00,1657,<20,1650,<20,237,1419
2019-05-27T23:00:00,946,<20,940,<20,99,847
2019-05-28T00:00:00,489,<20,486,<20,61,428
2019-05-28T01:00:00,183,<20,179,<20,32,151
2019-05-28T02:00:00,92,<20,89,<20,<20,89
2019-05-28T03:00:00,82,<20,82,<20,<20,62
2019-05-28T04:00:00,165,<20,165,<20,49,115
2019-05-28T05:00:00,585,<20,580,<20,196,388
2019-05-28T06:00:00,2843,<20,2830,<20,1329,1513
2019-05-28T07:00:00,7844,24,7805,<20,4401,3443
2019-05-28T08:00:00,8684,37,8627,<20,3774,4909
2019-05-28T09:00:00,7083,<20,7053,<20,2086,4997
2019-05-28T10:00:00,7080,<20,7044,<20,1585,5494
2019-05-28T11:00:00,7978,<20,7954,<20,2357,5620
2019-05-28T12:00:00,9050,24,9010,<20,3921,5128
2019-05-28T13:00:00,9508,23,9460,24,3638,5870
2019-05-28T14:00:00,7322,29,7274,<20,2011,5310
2019-05-28T15:00:00,7352,25,7315,<20,2018,5334
2019-05-28T16:00:00,8049,23,8011,<20,2677,5371
2019-05-28T17:00:00,8525,33,8467,24,3486,5038
2019-05-28T18:00:00,7913,42,7855,<20,3206,4706
2019-05-28T19:00:00,5163,<20,5143,<20,1460,3702
2019-05-28T20:00:00,3696,<20,3693,<20,687,3008
2019-05-28T21:00:00,2566,21,2539,<20,382,2183
2019-05-28T22:00:00,1957,<20,1952,<20,273,1683
2019-05-28T23:00:00,1180,<20,1174,<20,168,1012
2019-05-29T00:00:00,659,<20,657,<20,74,584
2019-05-29T01:00:00,190,<20,188,<20,29,160
2019-05-29T02:00:00,136,<20,136,<20,<20,116
2019-05-29T03:00:00,128,<20,128,<20,<20,112
2019-05-29T04:00:00,205,<20,200,<20,56,149
2019-05-29T05:00:00,602,<20,600,<20,198,403
2019-05-29T06:00:00,2695,<20,2690,<20,1214,1481
2019-05-29T07:00:00,8107,28,8071,<20,4310,3796
2019-05-29T08:00:00,8710,<20,8679,<20,3660,5049
2019-05-29T09:00:00,7208,21,7162,24,2064,5143
2019-05-29T10:00:00,7142,<20,7113,<20,1662,5479
2019-05-29T11:00:00,8554,25,8508,21,2517,6037
2019-05-29T12:00:00,9693,25,9647,<20,4053,5639
2019-05-29T13:00:00,9927,29,9878,<20,3722,6204
2019-05-29T14:00:00,8408,23,8366,<20,2128,6279
2019-05-29T15:00:00,8142,31,8092,<20,1959,6183
2019-05-29T16:00:00,8888,33,8839,<20,2640,6248
2019-05-29T17:00:00,9449,48,9383,<20,3147,6301
2019-05-29T18:00:00,8566,<20,8538,<20,2871,5694
2019-05-29T19:00:00,6506,27,6475,<20,1507,4999
2019-05-29T20:00:00,4912,<20,4896,<20,791,4120
2019-05-29T21:00:00,3525,<20,3508,<20,492,3032
2019-05-29T22:00:00,3132,<20,3125,<20,397,2734
2019-05-29T23:00:00,2581,<20,2559,<20,420,2161
2019-05-30T00:00:00,1847,<20,1826,<20,238,1608
2019-05-30T01:00:00,793,<20,793,<20,98,695
2019-05-30T02:00:00,455,<20,455,<20,63,392
2019-05-30T03:00:00,304,<20,302,<20,54,249
2019-05-30T04:00:00,282,<20,279,<20,50,232
2019-05-30T05:00:00,266,<20,266,<20,39,226
2019-05-30T06:00:00,643,<20,642,<20,155,488
2019-05-30T07:00:00,1242,<20,1233,<20,306,935
2019-05-30T08:00:00,2075,<20,2068,<20,435,1639
2019-05-30T09:00:00,2897,<20,2882,<20,508,2388
