Date,Canton To Id,Canton To Name,Count
2019-05-27,5,Schwyz,119
2019-05-27,10,Fribourg,50
2019-05-27,24,Neuchâtel,49
2019-05-27,25,Genève,69
2019-05-27,14,Schaffhausen,27
2019-05-27,20,Thurgau,48
2019-05-27,1,Zürich,1074
2019-05-27,21,Ticino,94933
2019-05-27,9,Zug,101
2019-05-27,13,Basel-Landschaft,82
2019-05-27,2,Bern,242
2019-05-27,17,St. Gallen,168
2019-05-27,22,Vaud,122
2019-05-27,12,Basel-Stadt,176
2019-05-27,3,Luzern,356
2019-05-27,18,Graubünden,914
2019-05-27,11,Solothurn,85
2019-05-27,23,Valais,119
2019-05-27,19,Aargau,166
2019-05-27,4,Uri,309
2019-05-27,-1,Other,77
2019-05-28,5,Schwyz,118
2019-05-28,10,Fribourg,38
2019-05-28,25,Genève,108
2019-05-28,20,Thurgau,69
2019-05-28,1,Zürich,948
2019-05-28,21,Ticino,98840
2019-05-28,9,Zug,83
2019-05-28,13,Basel-Landschaft,61
2019-05-28,2,Bern,171
2019-05-28,17,St. Gallen,196
2019-05-28,22,Vaud,97
2019-05-28,12,Basel-Stadt,98
2019-05-28,7,Nidwalden,24
2019-05-28,3,Luzern,294
2019-05-28,18,Graubünden,809
2019-05-28,11,Solothurn,62
2019-05-28,23,Valais,77
2019-05-28,19,Aargau,185
2019-05-28,4,Uri,219
2019-05-28,-1,Other,61
2019-05-29,5,Schwyz,175
2019-05-29,10,Fribourg,33
2019-05-29,25,Genève,47
2019-05-29,14,Schaffhausen,27
2019-05-29,20,Thurgau,42
2019-05-29,1,Zürich,1006
2019-05-29,6,Obwalden,80
2019-05-29,21,Ticino,109957
2019-05-29,9,Zug,72
2019-05-29,13,Basel-Landschaft,80
2019-05-29,2,Bern,212
2019-05-29,17,St. Gallen,213
2019-05-29,22,Vaud,92
2019-05-29,12,Basel-Stadt,136
2019-05-29,7,Nidwalden,70
2019-05-29,3,Luzern,331
2019-05-29,18,Graubünden,922
2019-05-29,11,Solothurn,64
2019-05-29,23,Valais,61
2019-05-29,19,Aargau,215
2019-05-29,4,Uri,274
2019-05-29,-1,Other,71
2019-05-30,5,Schwyz,149
2019-05-30,10,Fribourg,32
2019-05-30,25,Genève,27
2019-05-30,14,Schaffhausen,29
2019-05-30,20,Thurgau,68
2019-05-30,1,Zürich,931
2019-05-30,6,Obwalden,46
2019-05-30,21,Ticino,66046
2019-05-30,9,Zug,109
2019-05-30,13,Basel-Landschaft,45
2019-05-30,2,Bern,178
2019-05-30,17,St. Gallen,275
2019-05-30,22,Vaud,67
2019-05-30,12,Basel-Stadt,186
2019-05-30,7,Nidwalden,38
2019-05-30,3,Luzern,435
2019-05-30,18,Graubünden,853
2019-05-30,11,Solothurn,83
2019-05-30,23,Valais,82
2019-05-30,19,Aargau,153
2019-05-30,4,Uri,298
2019-05-30,-1,Other,53
2019-05-31,5,Schwyz,194
2019-05-31,10,Fribourg,34
2019-05-31,24,Neuchâtel,24
2019-05-31,25,Genève,49
2019-05-31,14,Schaffhausen,45
2019-05-31,20,Thurgau,49
2019-05-31,1,Zürich,1024
2019-05-31,6,Obwalden,65
2019-05-31,21,Ticino,95151
2019-05-31,9,Zug,136
2019-05-31,13,Basel-Landschaft,95
2019-05-31,2,Bern,231
2019-05-31,17,St. Gallen,305
2019-05-31,22,Vaud,86
2019-05-31,12,Basel-Stadt,173
2019-05-31,7,Nidwalden,38
2019-05-31,3,Luzern,430
2019-05-31,18,Graubünden,1076
2019-05-31,11,Solothurn,112
2019-05-31,23,Valais,102
2019-05-31,19,Aargau,252
2019-05-31,4,Uri,353
2019-05-31,-1,Other,59
2019-06-01,5,Schwyz,201
2019-06-01,10,Fribourg,53
2019-06-01,24,Neuchâtel,39
2019-06-01,25,Genève,33
2019-06-01,14,Schaffhausen,55
2019-06-01,20,Thurgau,126
2019-06-01,1,Zürich,1357
2019-06-01,6,Obwalden,86
2019-06-01,21,Ticino,78174
2019-06-01,9,Zug,95
2019-06-01,13,Basel-Landschaft,149
2019-06-01,2,Bern,250
2019-06-01,17,St. Gallen,464
2019-06-01,22,Vaud,127
2019-06-01,12,Basel-Stadt,264
2019-06-01,7,Nidwalden,52
2019-06-01,3,Luzern,434
2019-06-01,18,Graubünden,1278
2019-06-01,11,Solothurn,113
2019-06-01,26,Jura,24
2019-06-01,23,Valais,233
2019-06-01,8,Glarus,32
2019-06-01,19,Aargau,268
2019-06-01,4,Uri,364
2019-06-01,15,Appenzell Ausserrhoden,30
2019-06-01,-1,Other,15
2019-06-02,5,Schwyz,233
2019-06-02,10,Fribourg,117
2019-06-02,24,Neuchâtel,43
2019-06-02,25,Genève,122
2019-06-02,14,Schaffhausen,92
2019-06-02,20,Thurgau,119
