Date,District To Id,District To Name,Count
2019-05-27,2104,Locarno,4419
2019-05-27,24,Neuchâtel,49
2019-05-27,1724,Werdenberg,52
2019-05-27,25,Genève,69
2019-05-27,110,Winterthur,40
2019-05-27,2301,Brig,21
2019-05-27,1847,Moesa,592
2019-05-27,2105,Lugano,54934
2019-05-27,106,Horgen,72
2019-05-27,2103,Leventina,591
2019-05-27,312,Luzern-Land,53
2019-05-27,1723,Rheintal,67
2019-05-27,2313,Visp,57
2019-05-27,1106,Wasseramt,21
2019-05-27,1851,Viamala,84
2019-05-27,9,Zug,101
2019-05-27,109,Uster,57
2019-05-27,1842,Bernina,55
2019-05-27,2108,Vallemaggia,117
2019-05-27,503,Höfe,29
2019-05-27,311,Luzern-Stadt,217
2019-05-27,1846,Maloja,56
2019-05-27,1301,Arlesheim,51
2019-05-27,2225,Lausanne,34
2019-05-27,12,Basel-Stadt,176
2019-05-27,313,Hochdorf,41
2019-05-27,103,Bülach,106
2019-05-27,1841,Albula,21
2019-05-27,2101,Bellinzona,9036
2019-05-27,2107,Riviera,727
2019-05-27,112,Zürich,643
2019-05-27,1845,Landquart,21
2019-05-27,314,Sursee,22
2019-05-27,250,Interlaken-Oberhasli,24
2019-05-27,104,Dielsdorf,28
2019-05-27,1721,St. Gallen,22
2019-05-27,1101,Gäu,21
2019-05-27,246,Bern-Mittelland,145
2019-05-27,2102,Blenio,237
2019-05-27,107,Meilen,35
2019-05-27,4,Uri,309
2019-05-27,506,Schwyz,61
2019-05-27,1004,La Sarine,37
2019-05-27,1902,Baden,40
2019-05-27,111,Dietikon,42
2019-05-27,1848,Plessur,35
2019-05-27,2106,Mendrisio,24868
2019-05-27,-1,Other,751
2019-05-28,2104,Locarno,4324
2019-05-28,1724,Werdenberg,39
2019-05-28,25,Genève,108
2019-05-28,110,Winterthur,53
2019-05-28,1847,Moesa,576
2019-05-28,2105,Lugano,56957
2019-05-28,106,Horgen,51
2019-05-28,2103,Leventina,611
2019-05-28,312,Luzern-Land,44
2019-05-28,2011,Arbon,35
2019-05-28,1723,Rheintal,68
2019-05-28,2313,Visp,26
2019-05-28,1851,Viamala,45
2019-05-28,9,Zug,83
2019-05-28,109,Uster,27
2019-05-28,1842,Bernina,29
2019-05-28,2108,Vallemaggia,108
2019-05-28,311,Luzern-Stadt,164
2019-05-28,1846,Maloja,47
2019-05-28,1301,Arlesheim,36
2019-05-28,2225,Lausanne,34
2019-05-28,12,Basel-Stadt,98
2019-05-28,313,Hochdorf,27
2019-05-28,7,Nidwalden,24
2019-05-28,103,Bülach,118
2019-05-28,2101,Bellinzona,10046
2019-05-28,2107,Riviera,719
2019-05-28,112,Zürich,557
2019-05-28,1849,Prättigau/Davos,26
2019-05-28,314,Sursee,39
2019-05-28,1108,Olten,30
2019-05-28,1721,St. Gallen,25
2019-05-28,246,Bern-Mittelland,89
2019-05-28,2102,Blenio,229
2019-05-28,107,Meilen,56
2019-05-28,4,Uri,219
2019-05-28,506,Schwyz,66
2019-05-28,1902,Baden,61
2019-05-28,111,Dietikon,25
2019-05-28,1848,Plessur,29
2019-05-28,2106,Mendrisio,25842
2019-05-28,-1,Other,768
2019-05-29,101,Affoltern,24
2019-05-29,1850,Surselva,31
2019-05-29,2104,Locarno,4052
2019-05-29,1724,Werdenberg,62
2019-05-29,25,Genève,47
2019-05-29,110,Winterthur,50
2019-05-29,2301,Brig,21
2019-05-29,1847,Moesa,584
2019-05-29,2105,Lugano,63301
2019-05-29,106,Horgen,75
2019-05-29,2103,Leventina,704
2019-05-29,312,Luzern-Land,54
2019-05-29,6,Obwalden,80
2019-05-29,248,Obersimmental-Saanen,26
2019-05-29,1723,Rheintal,64
2019-05-29,1910,Zofingen,23
2019-05-29,1851,Viamala,66
2019-05-29,9,Zug,72
2019-05-29,109,Uster,62
2019-05-29,1842,Bernina,50
2019-05-29,2108,Vallemaggia,132
2019-05-29,503,Höfe,27
2019-05-29,311,Luzern-Stadt,156
2019-05-29,1846,Maloja,72
2019-05-29,1301,Arlesheim,53
2019-05-29,2225,Lausanne,25
2019-05-29,12,Basel-Stadt,136
2019-05-29,313,Hochdorf,46
2019-05-29,7,Nidwalden,70
2019-05-29,103,Bülach,91
2019-05-29,1909,Rheinfelden,29
2019-05-29,1841,Albula,22
2019-05-29,2101,Bellinzona,10015
2019-05-29,2107,Riviera,768
2019-05-29,112,Zürich,568
2019-05-29,1901,Aarau,24
2019-05-29,1849,Prättigau/Davos,21
2019-05-29,314,Sursee,55
2019-05-29,250,Interlaken-Oberhasli,28
2019-05-29,104,Dielsdorf,23
2019-05-29,1721,St. Gallen,25
2019-05-29,246,Bern-Mittelland,96
2019-05-29,2102,Blenio,329
2019-05-29,107,Meilen,31
2019-05-29,4,Uri,274
2019-05-29,506,Schwyz,117
2019-05-29,1902,Baden,62
2019-05-29,111,Dietikon,38
2019-05-29,1848,Plessur,42
2019-05-29,2106,Mendrisio,30652
2019-05-29,-1,Other,705
2019-05-30,101,Affoltern,24
2019-05-30,1850,Surselva,42
2019-05-30,2104,Locarno,3000
2019-05-30,2014,Münchwilen,21
2019-05-30,1724,Werdenberg,86
2019-05-30,25,Genève,27
2019-05-30,110,Winterthur,55
2019-05-30,1847,Moesa,454
2019-05-30,2105,Lugano,37681
2019-05-30,106,Horgen,46
2019-05-30,2103,Leventina,757
2019-05-30,312,Luzern-Land,55
2019-05-30,6,Obwalden,46
2019-05-30,1723,Rheintal,91
2019-05-30,1851,Viamala,61
2019-05-30,9,Zug,109
2019-05-30,109,Uster,33
2019-05-30,1842,Bernina,88
2019-05-30,2108,Vallemaggia,204
2019-05-30,311,Luzern-Stadt,244
2019-05-30,1846,Maloja,81
2019-05-30,1301,Arlesheim,22
2019-05-30,12,Basel-Stadt,186
2019-05-30,313,Hochdorf,25
2019-05-30,7,Nidwalden,38
2019-05-30,103,Bülach,97
2019-05-30,2101,Bellinzona,3180
2019-05-30,2107,Riviera,380
2019-05-30,112,Zürich,564
2019-05-30,1845,Landquart,36
2019-05-30,1901,Aarau,31
2019-05-30,314,Sursee,78
2019-05-30,250,Interlaken-Oberhasli,38
2019-05-30,104,Dielsdorf,26
2019-05-30,1108,Olten,33
2019-05-30,1903,Bremgarten,23
2019-05-30,1101,Gäu,21
2019-05-30,246,Bern-Mittelland,50
2019-05-30,2230,Riviera-Pays-d'Enhaut,26
2019-05-30,2102,Blenio,351
2019-05-30,1725,Sarganserland,38
2019-05-30,107,Meilen,25
2019-05-30,242,Biel/Bienne,23
2019-05-30,4,Uri,298
2019-05-30,506,Schwyz,100
2019-05-30,111,Dietikon,22
2019-05-30,1848,Plessur,41
2019-05-30,2106,Mendrisio,20490
2019-05-30,-1,Other,736
2019-05-31,101,Affoltern,39
2019-05-31,1850,Surselva,41
2019-05-31,2104,Locarno,4783
2019-05-31,24,Neuchâtel,24
2019-05-31,1724,Werdenberg,71
2019-05-31,25,Genève,49
2019-05-31,110,Winterthur,53
2019-05-31,1907,Lenzburg,22
2019-05-31,2301,Brig,27
