Date,Municipality To Id,Municipality To Name,Count
2019-05-27,1024,Emmen,25
2019-05-27,5260,Novazzano,862
2019-05-27,5131,Tenero-Contra,229
2019-05-27,5141,Agno,5931
2019-05-27,5242,Balerna,1647
2019-05-27,6458,Neuchâtel,37
2019-05-27,5237,Alto Malcantone,509
2019-05-27,5120,Muralto,274
2019-05-27,5257,Morbio Inferiore,882
2019-05-27,5161,Cademario,111
2019-05-27,5178,Croglio,499
2019-05-27,5192,Lugano,4756
2019-05-27,5227,Torricella-Taverne,2297
2019-05-27,5195,Maroggia,583
2019-05-27,5269,Breggia,276
2019-05-27,3821,Lostallo,60
2019-05-27,5064,Bodio,62
2019-05-27,5160,Brusino Arsizio,145
2019-05-27,5108,Gordola,256
2019-05-27,5199,Mezzovico-Vira,1135
2019-05-27,5193,Magliaso,1319
2019-05-27,5397,Centovalli,35
2019-05-27,3835,San Vittore,102
2019-05-27,5076,Personico,27
2019-05-27,1362,Arth,21
2019-05-27,5091,Ascona,313
2019-05-27,5077,Pollegio,74
2019-05-27,261,Zürich,643
2019-05-27,6300,Zermatt,32
2019-05-27,1206,Erstfeld,39
2019-05-27,5017,Sant'Antonino,947
2019-05-27,5281,Biasca,488
2019-05-27,5206,Neggio,131
2019-05-27,5049,Blenio,47
2019-05-27,5002,Bellinzona,6320
2019-05-27,5266,Stabio,2878
2019-05-27,5396,Terre di Pedemonte,75
2019-05-27,5113,Locarno,1470
2019-05-27,5189,Lamone,1806
2019-05-27,3254,Oberriet (SG),21
2019-05-27,5238,Monteceneri,3459
2019-05-27,5233,Vico Morcote,297
2019-05-27,5181,Curio,241
2019-05-27,5263,Riva San Vitale,750
2019-05-27,2196,Fribourg,26
2019-05-27,5213,Ponte Tresa,780
2019-05-27,1207,Flüelen,22
2019-05-27,5317,Maggia,53
2019-05-27,5149,Bedigliora,191
2019-05-27,3787,St. Moritz,39
2019-05-27,5112,Lavertezzo,75
2019-05-27,3834,Roveredo (GR),203
2019-05-27,1202,Andermatt,41
2019-05-27,5198,Melide,2022
2019-05-27,5249,Castel San Pietro,412
2019-05-27,5138,Cugnasco-Gerra,138
2019-05-27,5230,Vernate,77
2019-05-27,5048,Acquarossa,84
2019-05-27,5121,Orselina,35
2019-05-27,5050,Serravalle,105
2019-05-27,5097,Brissago,73
2019-05-27,5118,Minusio,377
2019-05-27,5148,Bedano,2484
2019-05-27,5207,Novaggio,106
2019-05-27,3832,Grono,95
2019-05-27,5143,Aranno,233
2019-05-27,5212,Ponte Capriasca,1280
2019-05-27,3551,Brusio,33
2019-05-27,230,Winterthur,27
2019-05-27,5222,Sessa,67
2019-05-27,5202,Monteggio,660
2019-05-27,1061,Luzern,217
2019-05-27,2770,Muttenz,30
2019-05-27,5254,Mendrisio,6832
2019-05-27,1213,Schattdorf,117
2019-05-27,5216,Pura,519
2019-05-27,5197,Melano,800
2019-05-27,5003,Cadenazzo,865
2019-05-27,5250,Chiasso,6489
2019-05-27,5125,Ronco sopra Ascona,42
2019-05-27,6621,Genève,42
2019-05-27,5171,Caslano,2473
2019-05-27,5079,Quinto,66
2019-05-27,1711,Zug,45
2019-05-27,3823,Soazza,24
2019-05-27,5154,Bissone,1378
2019-05-27,5203,Morcote,503
2019-05-27,5001,Arbedo-Castione,674
2019-05-27,2701,Basel,170
2019-05-27,5186,Grancia,1524
2019-05-27,5208,Origlio,1261
2019-05-27,5226,Capriasca,5196
2019-05-27,5115,Losone,266
2019-05-27,351,Bern,112
2019-05-27,3561,Poschiavo,22
2019-05-27,5010,Lumino,148
2019-05-27,5072,Faido,173
2019-05-27,5144,Arogno,601
2019-05-27,5194,Manno,214
2019-05-27,5287,Riviera,239
2019-05-27,5187,Gravesano,927
2019-05-27,5009,Isone,79
2019-05-27,5268,Vacallo,2872
