Date,PLZ To Id,PLZ To Name,Count
2019-05-27,6979,Lugano,87
2019-05-27,6855,Stabio,2644
2019-05-27,6512,Bellinzona,1467
2019-05-27,6986,Curio Miglieglia Novaggio,368
2019-05-27,6954,Capriasca,723
2019-05-27,6527,Riviera,107
2019-05-27,6808,Torricella-Taverne,173
2019-05-27,8005,Zürich,90
2019-05-27,6918,Lugano,652
2019-05-27,6883,Novazzano,901
2019-05-27,6744,Personico,27
2019-05-27,6776,Quinto,24
2019-05-27,6830,Chiasso,6297
2019-05-27,6764,Faido,25
2019-05-27,6939,Alto Malcantone,245
2019-05-27,6515,Bellinzona,64
2019-05-27,6804,Monteceneri,389
2019-05-27,6877,Coldrerio,921
2019-05-27,6914,Lugano,289
2019-05-27,6872,Mendrisio,33
2019-05-27,6987,Caslano,2528
2019-05-27,6968,Lugano,162
2019-05-27,6713,Serravalle,67
2019-05-27,7000,Chur,35
2019-05-27,6873,Castel San Pietro,51
2019-05-27,6951,Lugano,54
2019-05-27,6599,Cadenazzo,74
2019-05-27,6936,Cademario,109
2019-05-27,6828,Balerna,1747
2019-05-27,7500,St. Moritz,36
2019-05-27,6594,Gambarogno,328
2019-05-27,6983,Magliaso,1305
2019-05-27,6523,Bellinzona,30
2019-05-27,6745,Giornico,53
2019-05-27,6534,San Vittore,100
2019-05-27,6300,Zug,45
2019-05-27,6823,Arogno,218
2019-05-27,6717,Blenio,27
2019-05-27,6562,Soazza,24
2019-05-27,8050,Zürich,31
2019-05-27,6809,Comunanza Cadenazzo/Montecener,176
2019-05-27,6648,Minusio,310
2019-05-27,8001,Zürich,140
2019-05-27,6947,Capriasca,255
2019-05-27,6702,Bellinzona,140
2019-05-27,6863,Mendrisio,64
2019-05-27,1201,Genève,23
2019-05-27,6616,Losone,266
2019-05-27,3011,Bern,25
2019-05-27,6760,Faido,92
2019-05-27,8302,Kloten,57
2019-05-27,6865,Mendrisio,61
2019-05-27,2000,Neuchâtel,37
2019-05-27,6528,Bellinzona,749
2019-05-27,6990,Agno,361
2019-05-27,6565,Mesocco,22
2019-05-27,6926,Collina d'Oro,1253
2019-05-27,6852,Mendrisio,304
2019-05-27,8048,Zürich,52
2019-05-27,4053,Basel,23
2019-05-27,6556,Grono,26
2019-05-27,6833,Vacallo,3033
2019-05-27,6677,Maggia,39
2019-05-27,6995,Croglio,158
2019-05-27,6955,Capriasca,1066
2019-05-27,6958,Capriasca,496
2019-05-27,6919,Collina d'Oro,164
2019-05-27,6780,Airolo,95
2019-05-27,6862,Mendrisio,752
2019-05-27,6518,Bellinzona,91
2019-05-27,6967,Lugano,71
2019-05-27,6593,Cadenazzo,818
2019-05-27,8008,Zürich,32
2019-05-27,1700,Fribourg,26
2019-05-27,6763,Faido,22
2019-05-27,6573,Gambarogno,55
2019-05-27,6837,Breggia,40
2019-05-27,6978,Lugano,251
2019-05-27,6946,Ponte Capriasca,1314
2019-05-27,6935,Bioggio,107
2019-05-27,6827,Brusino Arsizio,145
2019-05-27,6805,Mezzovico-Vira,1120
