Date,Canton To Id,Canton To Name,Count
2019-05-27,5,Schwyz,348
2019-05-27,10,Fribourg,90
2019-05-27,24,Neuchâtel,48
2019-05-27,25,Genève,86
2019-05-27,14,Schaffhausen,298
2019-05-27,20,Thurgau,200
2019-05-27,1,Zürich,2949
2019-05-27,6,Obwalden,104
2019-05-27,21,Ticino,79779
2019-05-27,9,Zug,439
2019-05-27,13,Basel-Landschaft,598
2019-05-27,2,Bern,777
2019-05-27,17,St. Gallen,1454
2019-05-27,22,Vaud,95
2019-05-27,12,Basel-Stadt,1153
2019-05-27,7,Nidwalden,168
2019-05-27,3,Luzern,1412
2019-05-27,18,Graubünden,1606
2019-05-27,16,Appenzell Innerrhoden,22
2019-05-27,11,Solothurn,322
2019-05-27,26,Jura,31
2019-05-27,23,Valais,109
2019-05-27,8,Glarus,30
2019-05-27,19,Aargau,821
2019-05-27,4,Uri,1370
2019-05-27,15,Appenzell Ausserrhoden,35
2019-05-27,-1,Other,10
2019-05-28,5,Schwyz,309
2019-05-28,10,Fribourg,46
2019-05-28,24,Neuchâtel,23
2019-05-28,25,Genève,61
2019-05-28,14,Schaffhausen,184
2019-05-28,20,Thurgau,161
2019-05-28,1,Zürich,1986
2019-05-28,6,Obwalden,125
2019-05-28,21,Ticino,83874
2019-05-28,9,Zug,259
2019-05-28,13,Basel-Landschaft,543
2019-05-28,2,Bern,563
2019-05-28,17,St. Gallen,1024
2019-05-28,22,Vaud,73
2019-05-28,12,Basel-Stadt,820
2019-05-28,7,Nidwalden,94
2019-05-28,3,Luzern,966
2019-05-28,18,Graubünden,1404
2019-05-28,11,Solothurn,254
2019-05-28,23,Valais,81
2019-05-28,8,Glarus,41
2019-05-28,19,Aargau,563
2019-05-28,4,Uri,1000
2019-05-28,15,Appenzell Ausserrhoden,23
2019-05-28,-1,Other,36
2019-05-29,5,Schwyz,301
2019-05-29,10,Fribourg,45
2019-05-29,24,Neuchâtel,31
2019-05-29,25,Genève,65
2019-05-29,14,Schaffhausen,185
2019-05-29,20,Thurgau,178
2019-05-29,1,Zürich,1905
2019-05-29,6,Obwalden,343
2019-05-29,21,Ticino,107825
2019-05-29,9,Zug,227
2019-05-29,13,Basel-Landschaft,472
2019-05-29,2,Bern,476
2019-05-29,17,St. Gallen,1113
2019-05-29,22,Vaud,76
2019-05-29,12,Basel-Stadt,895
2019-05-29,7,Nidwalden,216
2019-05-29,3,Luzern,1222
2019-05-29,18,Graubünden,1270
2019-05-29,11,Solothurn,260
2019-05-29,23,Valais,75
2019-05-29,8,Glarus,30
2019-05-29,19,Aargau,614
2019-05-29,4,Uri,1073
2019-05-29,-1,Other,63
2019-05-30,5,Schwyz,362
2019-05-30,10,Fribourg,74
2019-05-30,24,Neuchâtel,25
2019-05-30,25,Genève,43
2019-05-30,14,Schaffhausen,180
2019-05-30,20,Thurgau,152
2019-05-30,1,Zürich,1931
2019-05-30,6,Obwalden,351
2019-05-30,21,Ticino,107050
2019-05-30,9,Zug,226
2019-05-30,13,Basel-Landschaft,390
2019-05-30,2,Bern,525
2019-05-30,17,St. Gallen,1156
2019-05-30,22,Vaud,93
2019-05-30,12,Basel-Stadt,886
2019-05-30,7,Nidwalden,160
2019-05-30,3,Luzern,1151
2019-05-30,18,Graubünden,1694
2019-05-30,11,Solothurn,209
2019-05-30,23,Valais,171
2019-05-30,8,Glarus,51
2019-05-30,19,Aargau,498
2019-05-30,4,Uri,1197
2019-05-30,-1,Other,56
2019-05-31,5,Schwyz,491
2019-05-31,10,Fribourg,70
2019-05-31,24,Neuchâtel,58
2019-05-31,25,Genève,30
2019-05-31,14,Schaffhausen,289
2019-05-31,20,Thurgau,261
