Date,Municipality To Id,Municipality To Name,Count
2019-05-27,69,Wallisellen,23
2019-05-27,1322,Freienbach,48
2019-05-27,1501,Beckenried,40
2019-05-27,1024,Emmen,72
2019-05-27,138,Richterswil,35
2019-05-27,5260,Novazzano,932
2019-05-27,5131,Tenero-Contra,253
2019-05-27,5141,Agno,2725
2019-05-27,5242,Balerna,1824
2019-05-27,1401,Alpnach,29
2019-05-27,247,Schlieren,33
2019-05-27,5237,Alto Malcantone,479
2019-05-27,10,Obfelden,35
2019-05-27,5120,Muralto,233
2019-05-27,5257,Morbio Inferiore,866
2019-05-27,5161,Cademario,73
2019-05-27,5178,Croglio,621
2019-05-27,1507,Hergiswil (NW),24
2019-05-27,5192,Lugano,2773
2019-05-27,3276,Wartau,98
2019-05-27,3236,St. Margrethen,52
2019-05-27,5227,Torricella-Taverne,1491
2019-05-27,5195,Maroggia,203
2019-05-27,3947,Zizers,40
2019-05-27,1366,Morschach,23
2019-05-27,5269,Breggia,408
2019-05-27,1703,Hünenberg,22
2019-05-27,3275,Sevelen,145
2019-05-27,3821,Lostallo,38
2019-05-27,5064,Bodio,85
2019-05-27,5160,Brusino Arsizio,208
2019-05-27,5108,Gordola,223
2019-05-27,1059,Kriens,78
2019-05-27,2703,Riehen,24
2019-05-27,3638,Scharans,55
2019-05-27,5199,Mezzovico-Vira,1178
2019-05-27,5193,Magliaso,1250
2019-05-27,5397,Centovalli,23
2019-05-27,3951,Fläsch,33
2019-05-27,3835,San Vittore,174
2019-05-27,5076,Personico,35
2019-05-27,1362,Arth,74
2019-05-27,5091,Ascona,420
2019-05-27,3231,Au (SG),63
2019-05-27,5077,Pollegio,101
2019-05-27,261,Zürich,1454
2019-05-27,4696,Tägerwilen,21
2019-05-27,4258,Rheinfelden,82
2019-05-27,1040,Rothenburg,119
2019-05-27,4001,Aarau,25
2019-05-27,121,Wetzikon (ZH),35
2019-05-27,221,Hettlingen,27
2019-05-27,4040,Spreitenbach,30
2019-05-27,3955,Landquart,48
2019-05-27,243,Dietikon,76
2019-05-27,1201,Altdorf (UR),59
2019-05-27,2884,Diegten,45
2019-05-27,1206,Erstfeld,271
2019-05-27,117,Hinwil,22
2019-05-27,5017,Sant'Antonino,1234
2019-05-27,1708,Steinhausen,43
2019-05-27,5281,Biasca,598
2019-05-27,5206,Neggio,139
2019-05-27,5049,Blenio,48
2019-05-27,5002,Bellinzona,7283
2019-05-27,5266,Stabio,2349
2019-05-27,1502,Buochs,36
2019-05-27,5396,Terre di Pedemonte,85
2019-05-27,4021,Baden,32
2019-05-27,3271,Buchs (SG),81
2019-05-27,5113,Locarno,1467
2019-05-27,1402,Engelberg,45
2019-05-27,5189,Lamone,1927
2019-05-27,1089,Knutwil,22
2019-05-27,3254,Oberriet (SG),226
2019-05-27,5238,Monteceneri,2567
2019-05-27,53,Bülach,21
2019-05-27,141,Thalwil,36
2019-05-27,5233,Vico Morcote,168
2019-05-27,5181,Curio,226
2019-05-27,5263,Riva San Vitale,630
2019-05-27,2196,Fribourg,21
2019-05-27,5213,Ponte Tresa,894
2019-05-27,1207,Flüelen,59
2019-05-27,590,Ringgenberg (BE),25
2019-05-27,96,Regensdorf,29
2019-05-27,5317,Maggia,55
2019-05-27,5149,Bedigliora,244
2019-05-27,2581,Olten,53
2019-05-27,2766,Birsfelden,22
2019-05-27,371,Biel/Bienne,64
2019-05-27,5112,Lavertezzo,97
2019-05-27,3834,Roveredo (GR),199
2019-05-27,5310,Cevio,22
