Date,PLZ To Id,PLZ To Name,Count
2019-05-27,7304,Maienfeld,74
2019-05-27,6979,Lugano,111
2019-05-27,6855,Stabio,2146
2019-05-27,4852,Rothrist,32
2019-05-27,6512,Bellinzona,1492
2019-05-27,6986,Curio Miglieglia Novaggio,347
2019-05-27,6954,Capriasca,324
2019-05-27,6527,Riviera,106
2019-05-27,6374,Buochs,36
2019-05-27,8200,Schaffhausen,44
2019-05-27,6808,Torricella-Taverne,130
2019-05-27,8005,Zürich,285
2019-05-27,6918,Lugano,431
2019-05-27,6883,Novazzano,966
2019-05-27,6744,Personico,35
2019-05-27,6776,Quinto,30
2019-05-27,6830,Chiasso,7906
2019-05-27,9469,Sennwald,37
2019-05-27,8045,Zürich,51
2019-05-27,6764,Faido,91
2019-05-27,6939,Alto Malcantone,251
2019-05-27,8057,Zürich,41
2019-05-27,6515,Bellinzona,48
2019-05-27,4058,Basel,53
2019-05-27,6370,Oberdorf (NW) Stans,27
2019-05-27,6804,Monteceneri,236
2019-05-27,6877,Coldrerio,1165
2019-05-27,9443,Widnau,86
2019-05-27,9476,Wartau,60
2019-05-27,6914,Lugano,227
2019-05-27,6872,Mendrisio,41
2019-05-27,8610,Uster,25
2019-05-27,9464,Altstätten Rüthi (SG),134
2019-05-27,6987,Caslano,2954
2019-05-27,6968,Lugano,76
2019-05-27,6713,Serravalle,62
2019-05-27,6006,Luzern,43
2019-05-27,7000,Chur,133
2019-05-27,6873,Castel San Pietro,33
2019-05-27,6010,Alpnach Kriens,77
2019-05-27,4617,Gunzgen,36
2019-05-27,6951,Lugano,28
2019-05-27,6599,Cadenazzo,130
2019-05-27,8600,Dübendorf,23
2019-05-27,6936,Cademario,71
2019-05-27,6828,Balerna,1906
2019-05-27,6487,Göschenen,57
2019-05-27,9475,Sevelen,146
2019-05-27,6594,Gambarogno,418
2019-05-27,6983,Magliaso,1259
2019-05-27,6670,Avegno Gordevio,32
2019-05-27,4600,Olten,53
2019-05-27,8802,Kilchberg (ZH),22
2019-05-27,6523,Bellinzona,47
2019-05-27,6410,Arth Gersau,55
2019-05-27,6745,Giornico,104
2019-05-27,6534,San Vittore,172
2019-05-27,6300,Zug,144
2019-05-27,6823,Arogno,83
2019-05-27,6717,Blenio,22
2019-05-27,6204,Sempach,36
2019-05-27,8050,Zürich,74
2019-05-27,6809,Comunanza Cadenazzo/Montecener,82
2019-05-27,6648,Minusio,295
2019-05-27,8001,Zürich,275
2019-05-27,6947,Capriasca,123
2019-05-27,6772,Prato (Leventina),26
2019-05-27,6702,Bellinzona,141
2019-05-27,6863,Mendrisio,35
2019-05-27,6616,Losone,235
2019-05-27,6210,Sursee,32
2019-05-27,3011,Bern,30
2019-05-27,6760,Faido,85
2019-05-27,8640,Freienbach Rapperswil-Jona,27
2019-05-27,6020,Emmen,57
2019-05-27,8302,Kloten,165
2019-05-27,6015,Luzern,27
2019-05-27,6865,Mendrisio,40
2019-05-27,6652,Terre di Pedemonte,23
2019-05-27,6343,Risch,60
2019-05-27,6528,Bellinzona,654
2019-05-27,6990,Agno,342
2019-05-27,6565,Mesocco,133
2019-05-27,8910,Affoltern am Albis,31
2019-05-27,8810,Horgen,36
2019-05-27,6926,Collina d'Oro,705
2019-05-27,6852,Mendrisio,238
2019-05-27,8832,Freienbach Wollerau,21
2019-05-27,8048,Zürich,77
2019-05-27,8700,Küsnacht (ZH),28
2019-05-27,4053,Basel,31
2019-05-27,6833,Vacallo,4808
2019-05-27,6677,Maggia,46
2019-05-27,6995,Croglio,206
2019-05-27,6375,Beckenried,40
2019-05-27,6955,Capriasca,467
2019-05-27,9444,Diepoldsau,82
2019-05-27,6958,Capriasca,214
2019-05-27,6919,Collina d'Oro,111
2019-05-27,8800,Thalwil,35
2019-05-27,6780,Airolo,213
2019-05-27,6862,Mendrisio,599
2019-05-27,6518,Bellinzona,113
2019-05-27,8105,Regensdorf,27
2019-05-27,6967,Lugano,28
2019-05-27,6593,Cadenazzo,990
2019-05-27,8008,Zürich,78
2019-05-27,9477,Wartau,34
2019-05-27,1700,Fribourg,21
2019-05-27,6763,Faido,37
2019-05-27,6573,Gambarogno,77
2019-05-27,6837,Breggia,61
2019-05-27,6978,Lugano,237
2019-05-27,6946,Ponte Capriasca,520
2019-05-27,4457,Diegten,45
2019-05-27,6935,Bioggio,70
2019-05-27,8952,Schlieren,36
2019-05-27,8442,Hettlingen,27
2019-05-27,6827,Brusino Arsizio,206
2019-05-27,6805,Mezzovico-Vira,1158
2019-05-27,6005,Horw Luzern,102
2019-05-27,6988,Ponte Tresa,896
2019-05-27,6514,Bellinzona,499
2019-05-27,6533,Lumino,139
2019-05-27,6716,Acquarossa,27
2019-05-27,8049,Zürich,22
2019-05-27,6592,Sant'Antonino,1254
2019-05-27,8004,Zürich,152
2019-05-27,6982,Agno,2318
2019-05-27,6950,Capriasca,198
2019-05-27,6524,Bellinzona,46
2019-05-27,6922,Morcote,422
2019-05-27,6203,Neuenkirch,24
2019-05-27,6454,Flüelen,59
2019-05-27,9451,Oberriet (SG),151
2019-05-27,6052,Hergiswil (NW),24
2019-05-27,5400,Baden,26
2019-05-27,6598,Tenero-Contra,265
2019-05-27,7411,Sils im Domleschg,37
2019-05-27,6916,Grancia,1416
2019-05-27,6959,Lugano,115
2019-05-27,6312,Steinhausen,43
2019-05-27,8404,Winterthur,21
2019-05-27,6927,Collina d'Oro,236
2019-05-27,6705,Riviera,59
2019-05-27,5033,Buchs (AG),46
2019-05-27,4127,Birsfelden,29
