Date,Canton From Id,Canton From Name,Count
2019-05-27,5,Schwyz,138
2019-05-27,10,Fribourg,46
2019-05-27,24,Neuchâtel,23
2019-05-27,25,Genève,39
2019-05-27,14,Schaffhausen,34
2019-05-27,20,Thurgau,72
2019-05-27,1,Zürich,930
2019-05-27,6,Obwalden,28
2019-05-27,21,Ticino,95216
2019-05-27,9,Zug,97
2019-05-27,13,Basel-Landschaft,67
2019-05-27,2,Bern,252
2019-05-27,17,St. Gallen,239
2019-05-27,22,Vaud,109
2019-05-27,12,Basel-Stadt,179
2019-05-27,7,Nidwalden,30
2019-05-27,3,Luzern,369
2019-05-27,18,Graubünden,1012
2019-05-27,11,Solothurn,80
2019-05-27,23,Valais,80
2019-05-27,19,Aargau,168
2019-05-27,4,Uri,163
2019-05-27,-1,Other,52
2019-05-28,5,Schwyz,128
2019-05-28,10,Fribourg,36
2019-05-28,24,Neuchâtel,26
2019-05-28,25,Genève,84
2019-05-28,14,Schaffhausen,38
2019-05-28,20,Thurgau,66
2019-05-28,1,Zürich,1069
2019-05-28,21,Ticino,98818
2019-05-28,9,Zug,86
2019-05-28,13,Basel-Landschaft,99
2019-05-28,2,Bern,201
2019-05-28,17,St. Gallen,274
2019-05-28,22,Vaud,72
2019-05-28,12,Basel-Stadt,183
2019-05-28,7,Nidwalden,27
2019-05-28,3,Luzern,267
2019-05-28,18,Graubünden,996
2019-05-28,11,Solothurn,66
2019-05-28,23,Valais,99
2019-05-28,19,Aargau,195
2019-05-28,4,Uri,543
2019-05-28,-1,Other,41
2019-05-29,5,Schwyz,246
2019-05-29,10,Fribourg,63
2019-05-29,24,Neuchâtel,53
2019-05-29,25,Genève,119
2019-05-29,14,Schaffhausen,65
2019-05-29,20,Thurgau,134
2019-05-29,1,Zürich,2237
2019-05-29,6,Obwalden,38
2019-05-29,21,Ticino,106810
2019-05-29,9,Zug,260
2019-05-29,13,Basel-Landschaft,136
2019-05-29,2,Bern,396
2019-05-29,17,St. Gallen,708
2019-05-29,22,Vaud,185
2019-05-29,12,Basel-Stadt,334
2019-05-29,7,Nidwalden,41
2019-05-29,3,Luzern,433
2019-05-29,18,Graubünden,1233
2019-05-29,11,Solothurn,93
2019-05-29,23,Valais,122
2019-05-29,8,Glarus,43
2019-05-29,19,Aargau,382
2019-05-29,4,Uri,1101
2019-05-29,15,Appenzell Ausserrhoden,41
2019-05-29,-1,Other,36
2019-05-30,5,Schwyz,258
2019-05-30,10,Fribourg,84
2019-05-30,24,Neuchâtel,57
2019-05-30,25,Genève,83
2019-05-30,14,Schaffhausen,120
2019-05-30,20,Thurgau,132
2019-05-30,1,Zürich,1961
2019-05-30,21,Ticino,62307
2019-05-30,9,Zug,206
2019-05-30,13,Basel-Landschaft,169
2019-05-30,2,Bern,331
2019-05-30,17,St. Gallen,654
2019-05-30,22,Vaud,203
2019-05-30,12,Basel-Stadt,510
2019-05-30,7,Nidwalden,42
2019-05-30,3,Luzern,469
2019-05-30,18,Graubünden,1340
2019-05-30,11,Solothurn,119
2019-05-30,26,Jura,22
2019-05-30,23,Valais,219
2019-05-30,19,Aargau,259
2019-05-30,4,Uri,1119
2019-05-30,-1,Other,51
2019-05-31,5,Schwyz,183
2019-05-31,10,Fribourg,49
2019-05-31,24,Neuchâtel,55
2019-05-31,25,Genève,65
2019-05-31,14,Schaffhausen,48
2019-05-31,20,Thurgau,74
2019-05-31,1,Zürich,1364
2019-05-31,21,Ticino,94302
2019-05-31,9,Zug,108
2019-05-31,13,Basel-Landschaft,114
2019-05-31,2,Bern,284
2019-05-31,17,St. Gallen,337
2019-05-31,22,Vaud,124
2019-05-31,12,Basel-Stadt,223
2019-05-31,7,Nidwalden,49
2019-05-31,3,Luzern,491
2019-05-31,18,Graubünden,1120
2019-05-31,11,Solothurn,107
2019-05-31,26,Jura,22
2019-05-31,23,Valais,115
2019-05-31,19,Aargau,204
2019-05-31,4,Uri,255
2019-05-31,-1,Other,49
2019-06-01,5,Schwyz,146
2019-06-01,10,Fribourg,44
2019-06-01,25,Genève,46
2019-06-01,14,Schaffhausen,36
2019-06-01,20,Thurgau,47
2019-06-01,1,Zürich,1066
2019-06-01,6,Obwalden,29
2019-06-01,21,Ticino,77651
2019-06-01,9,Zug,83
2019-06-01,13,Basel-Landschaft,103
2019-06-01,2,Bern,193
2019-06-01,17,St. Gallen,265
2019-06-01,22,Vaud,101
2019-06-01,12,Basel-Stadt,241
2019-06-01,7,Nidwalden,35
2019-06-01,3,Luzern,383
2019-06-01,18,Graubünden,1091
2019-06-01,11,Solothurn,111
2019-06-01,23,Valais,102
2019-06-01,19,Aargau,256
2019-06-01,4,Uri,375
2019-06-01,-1,Other,84
2019-06-02,5,Schwyz,116
2019-06-02,10,Fribourg,47
2019-06-02,25,Genève,77
2019-06-02,14,Schaffhausen,74
2019-06-02,20,Thurgau,89
2019-06-02,1,Zürich,854
2019-06-02,6,Obwalden,77
2019-06-02,21,Ticino,62904
2019-06-02,9,Zug,68
2019-06-02,13,Basel-Landschaft,104
2019-06-02,2,Bern,209
2019-06-02,17,St. Gallen,284
2019-06-02,22,Vaud,123
2019-06-02,12,Basel-Stadt,238
2019-06-02,7,Nidwalden,27
2019-06-02,3,Luzern,368
2019-06-02,18,Graubünden,1218
2019-06-02,11,Solothurn,66
2019-06-02,26,Jura,28
2019-06-02,23,Valais,137
2019-06-02,19,Aargau,129
2019-06-02,4,Uri,248
2019-06-02,-1,Other,59
2019-06-03,5,Schwyz,112
2019-06-03,10,Fribourg,40
2019-06-03,24,Neuchâtel,23
2019-06-03,25,Genève,116
2019-06-03,14,Schaffhausen,32
2019-06-03,20,Thurgau,71
2019-06-03,1,Zürich,864
2019-06-03,6,Obwalden,21
2019-06-03,21,Ticino,97695
2019-06-03,9,Zug,60
2019-06-03,13,Basel-Landschaft,79
2019-06-03,2,Bern,238
2019-06-03,17,St. Gallen,202
2019-06-03,22,Vaud,107
2019-06-03,12,Basel-Stadt,188
2019-06-03,7,Nidwalden,42
2019-06-03,3,Luzern,263
2019-06-03,18,Graubünden,898
2019-06-03,11,Solothurn,67
2019-06-03,23,Valais,59
2019-06-03,19,Aargau,141
2019-06-03,4,Uri,272
2019-06-03,-1,Other,48
2019-06-04,5,Schwyz,121
2019-06-04,10,Fribourg,35
