Date,Municipality From Id,Municipality From Name,Count
2019-05-27,5260,Novazzano,1326
2019-05-27,5131,Tenero-Contra,266
2019-05-27,5141,Agno,4517
2019-05-27,5242,Balerna,1819
2019-05-27,5237,Alto Malcantone,618
2019-05-27,5120,Muralto,307
2019-05-27,5257,Morbio Inferiore,780
2019-05-27,5161,Cademario,89
2019-05-27,5178,Croglio,717
2019-05-27,5192,Lugano,4568
2019-05-27,5227,Torricella-Taverne,2304
2019-05-27,5195,Maroggia,588
2019-05-27,5269,Breggia,157
2019-05-27,3821,Lostallo,55
2019-05-27,5064,Bodio,75
2019-05-27,5160,Brusino Arsizio,106
2019-05-27,5108,Gordola,271
2019-05-27,5199,Mezzovico-Vira,1202
2019-05-27,5193,Magliaso,1613
2019-05-27,5397,Centovalli,44
2019-05-27,3835,San Vittore,125
2019-05-27,1362,Arth,33
2019-05-27,5091,Ascona,315
2019-05-27,5077,Pollegio,73
2019-05-27,261,Zürich,538
2019-05-27,1040,Rothenburg,28
2019-05-27,5017,Sant'Antonino,949
2019-05-27,5281,Biasca,593
2019-05-27,5206,Neggio,159
2019-05-27,5049,Blenio,72
2019-05-27,5002,Bellinzona,6672
2019-05-27,5266,Stabio,2554
2019-05-27,5396,Terre di Pedemonte,85
2019-05-27,3271,Buchs (SG),43
2019-05-27,5113,Locarno,1523
2019-05-27,5189,Lamone,1745
2019-05-27,3831,Cama,27
2019-05-27,5238,Monteceneri,3305
2019-05-27,5233,Vico Morcote,299
2019-05-27,5181,Curio,363
2019-05-27,5263,Riva San Vitale,1077
2019-05-27,5213,Ponte Tresa,856
2019-05-27,5317,Maggia,53
2019-05-27,5149,Bedigliora,264
2019-05-27,3787,St. Moritz,49
2019-05-27,5112,Lavertezzo,95
2019-05-27,3834,Roveredo (GR),202
2019-05-27,5198,Melide,1941
2019-05-27,5249,Castel San Pietro,449
2019-05-27,5138,Cugnasco-Gerra,176
2019-05-27,5230,Vernate,103
2019-05-27,5048,Acquarossa,84
2019-05-27,1301,Einsiedeln,31
2019-05-27,3274,Sennwald,32
2019-05-27,5121,Orselina,28
2019-05-27,5050,Serravalle,104
2019-05-27,5097,Brissago,73
2019-05-27,5118,Minusio,459
2019-05-27,5148,Bedano,2299
2019-05-27,5207,Novaggio,129
2019-05-27,3832,Grono,90
2019-05-27,5143,Aranno,238
2019-05-27,5212,Ponte Capriasca,1267
2019-05-27,3551,Brusio,59
2019-05-27,230,Winterthur,25
2019-05-27,5222,Sessa,100
2019-05-27,5202,Monteggio,620
2019-05-27,1061,Luzern,187
2019-05-27,5254,Mendrisio,12364
2019-05-27,1213,Schattdorf,74
2019-05-27,5216,Pura,588
2019-05-27,5197,Melano,918
2019-05-27,5003,Cadenazzo,792
2019-05-27,5250,Chiasso,3791
2019-05-27,5125,Ronco sopra Ascona,44
2019-05-27,6621,Genève,27
2019-05-27,5171,Caslano,2823
2019-05-27,5079,Quinto,239
2019-05-27,1711,Zug,43
2019-05-27,3823,Soazza,22
2019-05-27,5154,Bissone,1439
2019-05-27,5203,Morcote,439
2019-05-27,5001,Arbedo-Castione,725
2019-05-27,2701,Basel,173
2019-05-27,5186,Grancia,1456
2019-05-27,5208,Origlio,1293
2019-05-27,5226,Capriasca,5145
2019-05-27,2939,Schaffhausen,22
2019-05-27,5115,Losone,342
2019-05-27,351,Bern,86
2019-05-27,3561,Poschiavo,24
2019-05-27,5010,Lumino,142
2019-05-27,5072,Faido,173
2019-05-27,5144,Arogno,710
2019-05-27,5194,Manno,269
2019-05-27,5287,Riviera,204
2019-05-27,5187,Gravesano,894
2019-05-27,5009,Isone,99
2019-05-27,5268,Vacallo,959
2019-05-27,5078,Prato (Leventina),25
2019-05-27,5398,Gambarogno,635
2019-05-27,3203,St. Gallen,25
2019-05-27,3822,Mesocco,79
2019-05-27,5586,Lausanne,33
2019-05-27,5251,Coldrerio,1562
2019-05-27,5324,Avegno Gordevio,52
2019-05-27,1093,Neuenkirch,24
2019-05-27,5151,Bioggio,4393
2019-05-27,5061,Airolo,109
2019-05-27,5236,Collina d'Oro,1759
2019-05-27,5219,Rovio,122
2019-05-27,62,Kloten,82
2019-05-27,3901,Chur,38
2019-05-27,5073,Giornico,58
2019-05-27,-1,Other,2095
2019-05-28,1322,Freienbach,22
2019-05-28,5260,Novazzano,1301
2019-05-28,5131,Tenero-Contra,297
2019-05-28,5141,Agno,4774
2019-05-28,5242,Balerna,1851
2019-05-28,1205,Bürglen (UR),22
2019-05-28,5237,Alto Malcantone,628
2019-05-28,5120,Muralto,281
2019-05-28,5257,Morbio Inferiore,812
2019-05-28,5161,Cademario,87
2019-05-28,5178,Croglio,776
2019-05-28,5192,Lugano,4540
2019-05-28,5227,Torricella-Taverne,2547
2019-05-28,5195,Maroggia,631
2019-05-28,5269,Breggia,158
2019-05-28,3821,Lostallo,51
2019-05-28,5064,Bodio,77
2019-05-28,5160,Brusino Arsizio,110
2019-05-28,5108,Gordola,301
2019-05-28,5199,Mezzovico-Vira,1268
2019-05-28,5193,Magliaso,1659
2019-05-28,5397,Centovalli,32
2019-05-28,3835,San Vittore,99
2019-05-28,5076,Personico,23
2019-05-28,1362,Arth,24
2019-05-28,5091,Ascona,399
2019-05-28,5077,Pollegio,65
2019-05-28,261,Zürich,611
2019-05-28,5017,Sant'Antonino,1073
2019-05-28,5281,Biasca,598
2019-05-28,5206,Neggio,187
2019-05-28,5049,Blenio,56
2019-05-28,5002,Bellinzona,7074
2019-05-28,5266,Stabio,2750
2019-05-28,5396,Terre di Pedemonte,105
2019-05-28,3271,Buchs (SG),38
2019-05-28,5113,Locarno,1514
2019-05-28,5189,Lamone,1879
2019-05-28,3831,Cama,31
2019-05-28,5238,Monteceneri,3506
2019-05-28,5233,Vico Morcote,295
2019-05-28,5181,Curio,382
2019-05-28,5263,Riva San Vitale,1038
2019-05-28,5213,Ponte Tresa,1182
2019-05-28,1207,Flüelen,28
2019-05-28,5317,Maggia,54
2019-05-28,5149,Bedigliora,323
2019-05-28,3787,St. Moritz,44
2019-05-28,2581,Olten,25
2019-05-28,5112,Lavertezzo,82
2019-05-28,3834,Roveredo (GR),228
2019-05-28,5198,Melide,1979
2019-05-28,5249,Castel San Pietro,444
2019-05-28,5138,Cugnasco-Gerra,155
2019-05-28,5230,Vernate,119
2019-05-28,5048,Acquarossa,90
2019-05-28,3274,Sennwald,26
2019-05-28,5121,Orselina,39
2019-05-28,5050,Serravalle,137
2019-05-28,5097,Brissago,83
2019-05-28,5118,Minusio,527
2019-05-28,5148,Bedano,2402
2019-05-28,5207,Novaggio,114
2019-05-28,3832,Grono,98
2019-05-28,1209,Gurtnellen,67
2019-05-28,5143,Aranno,254
2019-05-28,5212,Ponte Capriasca,1305
2019-05-28,3551,Brusio,50
2019-05-28,5222,Sessa,87
2019-05-28,5202,Monteggio,624
2019-05-28,5180,Cureglia,23
2019-05-28,1061,Luzern,135
2019-05-28,5254,Mendrisio,12298
2019-05-28,1213,Schattdorf,37
2019-05-28,5216,Pura,543
2019-05-28,5197,Melano,902
2019-05-28,1208,Göschenen,36
2019-05-28,5003,Cadenazzo,876
2019-05-28,5250,Chiasso,3883
2019-05-28,5125,Ronco sopra Ascona,44
2019-05-28,6621,Genève,49
2019-05-28,5171,Caslano,2966
2019-05-28,5079,Quinto,211
2019-05-28,1711,Zug,38
2019-05-28,3823,Soazza,27
2019-05-28,5154,Bissone,1575
2019-05-28,5203,Morcote,459
2019-05-28,5001,Arbedo-Castione,842
2019-05-28,2701,Basel,181
2019-05-28,5186,Grancia,1524
2019-05-28,1220,Wassen,303
2019-05-28,5208,Origlio,1468
2019-05-28,5226,Capriasca,5471
2019-05-28,2939,Schaffhausen,23
2019-05-28,5115,Losone,344
2019-05-28,351,Bern,85
2019-05-28,5010,Lumino,153
2019-05-28,5072,Faido,148
2019-05-28,5144,Arogno,764
2019-05-28,5194,Manno,235
2019-05-28,5287,Riviera,207
2019-05-28,5187,Gravesano,921
2019-05-28,5009,Isone,82
2019-05-28,5268,Vacallo,1024
2019-05-28,5398,Gambarogno,595
2019-05-28,3203,St. Gallen,30
2019-05-28,3822,Mesocco,77
2019-05-28,5251,Coldrerio,1531
2019-05-28,5324,Avegno Gordevio,50
2019-05-28,5151,Bioggio,4537
2019-05-28,5061,Airolo,93
2019-05-28,5236,Collina d'Oro,1613
2019-05-28,5219,Rovio,134
2019-05-28,62,Kloten,108
2019-05-28,3901,Chur,38
2019-05-28,5073,Giornico,64
2019-05-28,-1,Other,2129
2019-05-29,5260,Novazzano,1234
2019-05-29,5131,Tenero-Contra,287
2019-05-29,5141,Agno,5297
2019-05-29,5242,Balerna,1843
2019-05-29,6458,Neuchâtel,29
2019-05-29,5237,Alto Malcantone,695
2019-05-29,5120,Muralto,262
2019-05-29,142,Wädenswil,22
2019-05-29,5257,Morbio Inferiore,832
2019-05-29,5161,Cademario,102
2019-05-29,5178,Croglio,892
2019-05-29,5192,Lugano,5092
2019-05-29,3276,Wartau,26
2019-05-29,5227,Torricella-Taverne,2900
2019-05-29,5195,Maroggia,719
2019-05-29,5269,Breggia,153
2019-05-29,3275,Sevelen,36
2019-05-29,3821,Lostallo,43
2019-05-29,5064,Bodio,69
2019-05-29,1323,Wollerau,23
2019-05-29,5160,Brusino Arsizio,132
2019-05-29,5108,Gordola,275
2019-05-29,3638,Scharans,24
2019-05-29,5199,Mezzovico-Vira,1375
2019-05-29,5193,Magliaso,1859
2019-05-29,5397,Centovalli,35
2019-05-29,3835,San Vittore,133
2019-05-29,1362,Arth,91
2019-05-29,5091,Ascona,442
2019-05-29,5077,Pollegio,70
2019-05-29,261,Zürich,1426
2019-05-29,3295,Quarten,21
2019-05-29,5135,Vogorno,24
2019-05-29,243,Dietikon,29
2019-05-29,1206,Erstfeld,26
2019-05-29,5017,Sant'Antonino,1528
2019-05-29,5281,Biasca,640
2019-05-29,5206,Neggio,184
2019-05-29,5049,Blenio,43
2019-05-29,5002,Bellinzona,6937
2019-05-29,5266,Stabio,2704
2019-05-29,5396,Terre di Pedemonte,87
2019-05-29,4021,Baden,29
2019-05-29,3271,Buchs (SG),99
2019-05-29,5113,Locarno,1506
2019-05-29,4080,Villmergen,25
2019-05-29,5189,Lamone,2187
2019-05-29,3831,Cama,46
2019-05-29,3254,Oberriet (SG),27
2019-05-29,5238,Monteceneri,3925
2019-05-29,5233,Vico Morcote,482
2019-05-29,5181,Curio,393
2019-05-29,5263,Riva San Vitale,1164
2019-05-29,2196,Fribourg,27
2019-05-29,5213,Ponte Tresa,1296
2019-05-29,1207,Flüelen,25
2019-05-29,5317,Maggia,76
2019-05-29,5149,Bedigliora,350
2019-05-29,2581,Olten,45
2019-05-29,371,Biel/Bienne,26
