Date,PLZ From Id,PLZ From Name,Count
2019-05-27,6979,Lugano,35
2019-05-27,6855,Stabio,2401
2019-05-27,6512,Bellinzona,1492
2019-05-27,6986,Curio Miglieglia Novaggio,514
2019-05-27,6954,Capriasca,745
2019-05-27,6527,Riviera,86
2019-05-27,6808,Torricella-Taverne,207
2019-05-27,8005,Zürich,153
2019-05-27,6918,Lugano,521
2019-05-27,6883,Novazzano,1381
2019-05-27,6776,Quinto,162
2019-05-27,6830,Chiasso,3742
2019-05-27,9469,Sennwald,31
2019-05-27,6939,Alto Malcantone,299
2019-05-27,6515,Bellinzona,55
2019-05-27,9000,St. Gallen,22
2019-05-27,4058,Basel,47
2019-05-27,6804,Monteceneri,380
2019-05-27,6877,Coldrerio,1602
2019-05-27,6914,Lugano,325
2019-05-27,6872,Mendrisio,30
2019-05-27,6987,Caslano,2885
2019-05-27,6968,Lugano,188
2019-05-27,6713,Serravalle,72
2019-05-27,7000,Chur,38
2019-05-27,6873,Castel San Pietro,80
2019-05-27,6951,Lugano,68
2019-05-27,6579,Gambarogno,21
2019-05-27,6599,Cadenazzo,65
2019-05-27,6936,Cademario,79
2019-05-27,6828,Balerna,1901
2019-05-27,7500,St. Moritz,44
2019-05-27,6594,Gambarogno,293
2019-05-27,6983,Magliaso,1591
2019-05-27,6670,Avegno Gordevio,29
2019-05-27,6523,Bellinzona,36
2019-05-27,6410,Arth Gersau,23
2019-05-27,6745,Giornico,58
2019-05-27,6534,San Vittore,125
2019-05-27,6300,Zug,44
2019-05-27,6823,Arogno,257
2019-05-27,6717,Blenio,51
2019-05-27,6562,Soazza,22
2019-05-27,6809,Comunanza Cadenazzo/Montecener,183
2019-05-27,6648,Minusio,391
2019-05-27,8001,Zürich,107
2019-05-27,6947,Capriasca,280
2019-05-27,6702,Bellinzona,153
2019-05-27,6863,Mendrisio,48
2019-05-27,1201,Genève,22
2019-05-27,6616,Losone,341
2019-05-27,3011,Bern,27
2019-05-27,6760,Faido,97
2019-05-27,8302,Kloten,81
2019-05-27,6865,Mendrisio,88
2019-05-27,6652,Terre di Pedemonte,34
2019-05-27,6528,Bellinzona,817
2019-05-27,6990,Agno,412
2019-05-27,6565,Mesocco,42
2019-05-27,6926,Collina d'Oro,1215
2019-05-27,6852,Mendrisio,585
2019-05-27,8048,Zürich,30
2019-05-27,4053,Basel,28
2019-05-27,6833,Vacallo,1005
2019-05-27,6677,Maggia,32
2019-05-27,6995,Croglio,271
2019-05-27,6955,Capriasca,1008
2019-05-27,6958,Capriasca,448
2019-05-27,6919,Collina d'Oro,165
2019-05-27,6780,Airolo,110
2019-05-27,6862,Mendrisio,2899
2019-05-27,6518,Bellinzona,122
2019-05-27,6967,Lugano,79
2019-05-27,6593,Cadenazzo,739
2019-05-27,6763,Faido,26
2019-05-27,6573,Gambarogno,62
2019-05-27,6837,Breggia,47
2019-05-27,6978,Lugano,140
2019-05-27,6946,Ponte Capriasca,1306
2019-05-27,6935,Bioggio,139
2019-05-27,6827,Brusino Arsizio,106
2019-05-27,6805,Mezzovico-Vira,1173
2019-05-27,6005,Horw Luzern,43
2019-05-27,6988,Ponte Tresa,867
2019-05-27,6514,Bellinzona,304
2019-05-27,6533,Lumino,142
2019-05-27,6716,Acquarossa,45
2019-05-27,6592,Sant'Antonino,946
2019-05-27,8004,Zürich,92
2019-05-27,6982,Agno,4005
2019-05-27,6950,Capriasca,643
2019-05-27,6922,Morcote,462
2019-05-27,6598,Tenero-Contra,281
2019-05-27,6916,Grancia,1456
2019-05-27,6959,Lugano,449
2019-05-27,6927,Collina d'Oro,348
2019-05-27,6705,Riviera,55
2019-05-27,6937,Alto Malcantone,176
2019-05-27,6532,Arbedo-Castione,558
2019-05-27,6991,Neggio,156
2019-05-27,6525,Bellinzona,74
2019-05-27,6742,Pollegio,73
2019-05-27,6572,Gambarogno,194
2019-05-27,6613,Ronco sopra Ascona,39
2019-05-27,6500,Bellinzona,3292
2019-05-27,6815,Melide,1941
2019-05-27,6866,Mendrisio,60
2019-05-27,6834,Morbio Inferiore,786
2019-05-27,6004,Luzern,37
2019-05-27,6710,Biasca,593
2019-05-27,6989,Croglio,268
2019-05-27,6645,Brione sopra Minusio,48
2019-05-27,6817,Maroggia,588
2019-05-27,6802,Monteceneri,2015
2019-05-27,6956,Capriasca,221
2019-05-27,6574,Gambarogno,30
2019-05-27,6930,Bedano,2293
2019-05-27,6816,Bissone,1428
2019-05-27,6614,Brissago,73
2019-05-27,6838,Breggia,35
2019-05-27,6672,Avegno Gordevio,22
2019-05-27,4052,Basel,31
2019-05-27,6517,Arbedo-Castione,177
