Date,Canton From Id,Canton From Name,Count
2019-05-27,5,Schwyz,335
2019-05-27,10,Fribourg,54
2019-05-27,24,Neuchâtel,63
2019-05-27,25,Genève,39
2019-05-27,14,Schaffhausen,221
2019-05-27,20,Thurgau,186
2019-05-27,1,Zürich,2023
2019-05-27,6,Obwalden,177
2019-05-27,21,Ticino,83651
2019-05-27,9,Zug,219
2019-05-27,13,Basel-Landschaft,616
2019-05-27,2,Bern,502
2019-05-27,17,St. Gallen,1002
2019-05-27,22,Vaud,78
2019-05-27,12,Basel-Stadt,1057
2019-05-27,7,Nidwalden,186
2019-05-27,3,Luzern,955
2019-05-27,18,Graubünden,1312
2019-05-27,11,Solothurn,203
2019-05-27,23,Valais,65
2019-05-27,8,Glarus,39
2019-05-27,19,Aargau,534
2019-05-27,4,Uri,785
2019-05-27,-1,Other,52
2019-05-28,5,Schwyz,351
2019-05-28,10,Fribourg,59
2019-05-28,24,Neuchâtel,33
2019-05-28,25,Genève,66
2019-05-28,14,Schaffhausen,175
2019-05-28,20,Thurgau,273
2019-05-28,1,Zürich,2310
2019-05-28,6,Obwalden,88
2019-05-28,21,Ticino,81995
2019-05-28,9,Zug,289
2019-05-28,13,Basel-Landschaft,398
2019-05-28,2,Bern,502
2019-05-28,17,St. Gallen,1132
2019-05-28,22,Vaud,92
2019-05-28,12,Basel-Stadt,788
2019-05-28,7,Nidwalden,144
2019-05-28,3,Luzern,965
2019-05-28,18,Graubünden,1572
2019-05-28,16,Appenzell Innerrhoden,22
2019-05-28,11,Solothurn,192
2019-05-28,26,Jura,22
2019-05-28,23,Valais,138
2019-05-28,8,Glarus,50
2019-05-28,19,Aargau,576
2019-05-28,4,Uri,2235
2019-05-28,15,Appenzell Ausserrhoden,33
2019-05-28,-1,Other,13
2019-05-29,5,Schwyz,689
2019-05-29,10,Fribourg,84
2019-05-29,24,Neuchâtel,55
2019-05-29,25,Genève,103
2019-05-29,14,Schaffhausen,362
2019-05-29,20,Thurgau,722
2019-05-29,1,Zürich,5042
2019-05-29,6,Obwalden,145
2019-05-29,21,Ticino,92266
2019-05-29,9,Zug,527
2019-05-29,13,Basel-Landschaft,636
2019-05-29,2,Bern,712
2019-05-29,17,St. Gallen,3641
2019-05-29,22,Vaud,189
2019-05-29,12,Basel-Stadt,1251
2019-05-29,7,Nidwalden,164
2019-05-29,3,Luzern,1146
2019-05-29,18,Graubünden,3372
2019-05-29,16,Appenzell Innerrhoden,41
2019-05-29,11,Solothurn,327
2019-05-29,26,Jura,42
2019-05-29,23,Valais,356
2019-05-29,8,Glarus,195
2019-05-29,19,Aargau,1052
2019-05-29,4,Uri,5706
2019-05-29,15,Appenzell Ausserrhoden,125
2019-05-29,-1,Other,10
2019-05-30,5,Schwyz,893
2019-05-30,10,Fribourg,85
2019-05-30,24,Neuchâtel,89
2019-05-30,25,Genève,90
2019-05-30,14,Schaffhausen,780
2019-05-30,20,Thurgau,853
2019-05-30,1,Zürich,5718
2019-05-30,6,Obwalden,194
2019-05-30,21,Ticino,82475
2019-05-30,9,Zug,713
2019-05-30,13,Basel-Landschaft,1144
2019-05-30,2,Bern,842
2019-05-30,17,St. Gallen,4125
2019-05-30,22,Vaud,197
2019-05-30,12,Basel-Stadt,2245
2019-05-30,7,Nidwalden,323
2019-05-30,3,Luzern,1630
2019-05-30,18,Graubünden,5395
2019-05-30,16,Appenzell Innerrhoden,47
2019-05-30,11,Solothurn,448
2019-05-30,26,Jura,73
2019-05-30,23,Valais,561
2019-05-30,8,Glarus,188
2019-05-30,19,Aargau,1544
2019-05-30,4,Uri,7862
2019-05-30,15,Appenzell Ausserrhoden,106
2019-05-30,-1,Other,11
2019-05-31,5,Schwyz,464
2019-05-31,10,Fribourg,54
2019-05-31,24,Neuchâtel,102
2019-05-31,25,Genève,66
2019-05-31,14,Schaffhausen,415
2019-05-31,20,Thurgau,449
2019-05-31,1,Zürich,3418
2019-05-31,6,Obwalden,100
2019-05-31,21,Ticino,94218
2019-05-31,9,Zug,326
2019-05-31,13,Basel-Landschaft,704
2019-05-31,2,Bern,720
2019-05-31,17,St. Gallen,1654
2019-05-31,22,Vaud,137
2019-05-31,12,Basel-Stadt,1432
2019-05-31,7,Nidwalden,205
2019-05-31,3,Luzern,1393
2019-05-31,18,Graubünden,2124
2019-05-31,11,Solothurn,379
2019-05-31,26,Jura,35
2019-05-31,23,Valais,192
2019-05-31,8,Glarus,51
2019-05-31,19,Aargau,937
2019-05-31,4,Uri,1084
2019-05-31,15,Appenzell Ausserrhoden,46
2019-05-31,-1,Other,15
2019-06-01,5,Schwyz,433
2019-06-01,10,Fribourg,56
2019-06-01,24,Neuchâtel,53
2019-06-01,25,Genève,46
2019-06-01,14,Schaffhausen,393
2019-06-01,20,Thurgau,483
2019-06-01,1,Zürich,2625
2019-06-01,6,Obwalden,152
2019-06-01,21,Ticino,101553
2019-06-01,9,Zug,292
2019-06-01,13,Basel-Landschaft,846
2019-06-01,2,Bern,579
2019-06-01,17,St. Gallen,1616
2019-06-01,22,Vaud,102
2019-06-01,12,Basel-Stadt,1511
2019-06-01,7,Nidwalden,224
2019-06-01,3,Luzern,1304
2019-06-01,18,Graubünden,2301
2019-06-01,11,Solothurn,319
2019-06-01,23,Valais,174
2019-06-01,8,Glarus,59
2019-06-01,19,Aargau,814
2019-06-01,4,Uri,1309
2019-06-01,15,Appenzell Ausserrhoden,62
2019-06-01,-1,Other,26
2019-06-02,5,Schwyz,400
2019-06-02,10,Fribourg,90
2019-06-02,24,Neuchâtel,41
2019-06-02,25,Genève,44
2019-06-02,14,Schaffhausen,335
2019-06-02,20,Thurgau,303
2019-06-02,1,Zürich,2052
2019-06-02,6,Obwalden,168
2019-06-02,21,Ticino,115669
2019-06-02,9,Zug,207
2019-06-02,13,Basel-Landschaft,738
2019-06-02,2,Bern,563
2019-06-02,17,St. Gallen,1460
2019-06-02,22,Vaud,112
2019-06-02,12,Basel-Stadt,1393
2019-06-02,7,Nidwalden,217
2019-06-02,3,Luzern,1142
2019-06-02,18,Graubünden,2312
2019-06-02,11,Solothurn,262
2019-06-02,26,Jura,26
2019-06-02,23,Valais,214
2019-06-02,8,Glarus,43
2019-06-02,19,Aargau,604
2019-06-02,4,Uri,975
2019-06-02,15,Appenzell Ausserrhoden,27
2019-06-02,-1,Other,27
2019-06-03,5,Schwyz,336
2019-06-03,10,Fribourg,55
2019-06-03,24,Neuchâtel,55
2019-06-03,25,Genève,56
2019-06-03,14,Schaffhausen,276
2019-06-03,20,Thurgau,218
2019-06-03,1,Zürich,1922
2019-06-03,6,Obwalden,119
2019-06-03,21,Ticino,94040
2019-06-03,9,Zug,243
2019-06-03,13,Basel-Landschaft,563
2019-06-03,2,Bern,615
2019-06-03,17,St. Gallen,1013
2019-06-03,22,Vaud,79
2019-06-03,12,Basel-Stadt,1407
2019-06-03,7,Nidwalden,136
2019-06-03,3,Luzern,1075
2019-06-03,18,Graubünden,1478
2019-06-03,11,Solothurn,231
2019-06-03,23,Valais,117
2019-06-03,19,Aargau,481
2019-06-03,4,Uri,948
2019-06-03,15,Appenzell Ausserrhoden,29
2019-06-03,-1,Other,51
2019-06-04,5,Schwyz,300
2019-06-04,10,Fribourg,51
2019-06-04,24,Neuchâtel,46
2019-06-04,25,Genève,38
2019-06-04,14,Schaffhausen,184
2019-06-04,20,Thurgau,137
2019-06-04,1,Zürich,1769
2019-06-04,6,Obwalden,89
2019-06-04,21,Ticino,84185
2019-06-04,9,Zug,242
2019-06-04,13,Basel-Landschaft,393
2019-06-04,2,Bern,440
2019-06-04,17,St. Gallen,768
2019-06-04,22,Vaud,88
2019-06-04,12,Basel-Stadt,824
2019-06-04,7,Nidwalden,134
2019-06-04,3,Luzern,955
2019-06-04,18,Graubünden,1307
2019-06-04,11,Solothurn,222
2019-06-04,26,Jura,23
2019-06-04,23,Valais,119
2019-06-04,8,Glarus,40
2019-06-04,19,Aargau,505
2019-06-04,4,Uri,818
2019-06-04,-1,Other,41
2019-06-05,5,Schwyz,405
2019-06-05,10,Fribourg,40
2019-06-05,24,Neuchâtel,57
2019-06-05,25,Genève,61
2019-06-05,14,Schaffhausen,194
2019-06-05,20,Thurgau,193
2019-06-05,1,Zürich,1969
2019-06-05,6,Obwalden,120
2019-06-05,21,Ticino,85415
2019-06-05,9,Zug,296
2019-06-05,13,Basel-Landschaft,514
2019-06-05,2,Bern,431
2019-06-05,17,St. Gallen,1183
2019-06-05,22,Vaud,104
2019-06-05,12,Basel-Stadt,869
2019-06-05,7,Nidwalden,167
2019-06-05,3,Luzern,928
2019-06-05,18,Graubünden,1586
2019-06-05,11,Solothurn,226
2019-06-05,23,Valais,105
2019-06-05,8,Glarus,25
2019-06-05,19,Aargau,568
2019-06-05,4,Uri,1220
2019-06-05,15,Appenzell Ausserrhoden,49
2019-06-05,-1,Other,43
2019-06-06,5,Schwyz,412
2019-06-06,10,Fribourg,68
2019-06-06,24,Neuchâtel,88
2019-06-06,25,Genève,79
2019-06-06,14,Schaffhausen,402
2019-06-06,20,Thurgau,298
2019-06-06,1,Zürich,3208
2019-06-06,6,Obwalden,135
2019-06-06,21,Ticino,84731
2019-06-06,9,Zug,482
2019-06-06,13,Basel-Landschaft,715
2019-06-06,2,Bern,690
2019-06-06,17,St. Gallen,1695
2019-06-06,22,Vaud,103
2019-06-06,12,Basel-Stadt,1318
2019-06-06,7,Nidwalden,151
2019-06-06,3,Luzern,1277
2019-06-06,18,Graubünden,1797
2019-06-06,11,Solothurn,324
2019-06-06,26,Jura,25
2019-06-06,23,Valais,105
2019-06-06,8,Glarus,42
2019-06-06,19,Aargau,879
2019-06-06,4,Uri,1057
2019-06-06,15,Appenzell Ausserrhoden,40
2019-06-06,-1,Other,30
2019-06-07,5,Schwyz,650
2019-06-07,10,Fribourg,111
2019-06-07,24,Neuchâtel,70
2019-06-07,25,Genève,117
2019-06-07,14,Schaffhausen,1008
2019-06-07,20,Thurgau,612
2019-06-07,1,Zürich,5364
2019-06-07,6,Obwalden,115
2019-06-07,21,Ticino,93993
2019-06-07,9,Zug,590
2019-06-07,13,Basel-Landschaft,1183
2019-06-07,2,Bern,817
2019-06-07,17,St. Gallen,4005
2019-06-07,22,Vaud,193
2019-06-07,12,Basel-Stadt,2171
2019-06-07,7,Nidwalden,249
2019-06-07,3,Luzern,1495
2019-06-07,18,Graubünden,2913
