Date,District From Id,District From Name,Count
2019-05-27,101,Affoltern,61
2019-05-27,1850,Surselva,30
2019-05-27,2104,Locarno,4414
2019-05-27,1728,Wil,32
2019-05-27,24,Neuchâtel,63
2019-05-27,1724,Werdenberg,519
2019-05-27,1904,Brugg,48
2019-05-27,25,Genève,39
2019-05-27,504,Küssnacht (SZ),30
2019-05-27,110,Winterthur,90
2019-05-27,1907,Lenzburg,28
2019-05-27,1847,Moesa,770
2019-05-27,2105,Lugano,37279
2019-05-27,1911,Zurzach,32
2019-05-27,106,Horgen,141
2019-05-27,2103,Leventina,1479
2019-05-27,243,Seeland,22
2019-05-27,312,Luzern-Land,203
2019-05-27,2011,Arbon,47
2019-05-27,6,Obwalden,177
2019-05-27,102,Andelfingen,25
2019-05-27,1723,Rheintal,198
2019-05-27,2015,Weinfelden,22
2019-05-27,1910,Zofingen,64
2019-05-27,1402,Reiat,114
2019-05-27,1851,Viamala,170
2019-05-27,9,Zug,219
2019-05-27,109,Uster,74
2019-05-27,1842,Bernina,22
2019-05-27,2108,Vallemaggia,146
2019-05-27,503,Höfe,48
2019-05-27,105,Hinwil,49
2019-05-27,244,Oberaargau,47
2019-05-27,311,Luzern-Stadt,381
2019-05-27,1906,Laufenburg,35
2019-05-27,1301,Arlesheim,241
2019-05-27,2225,Lausanne,28
2019-05-27,1403,Schaffhausen,93
2019-05-27,12,Basel-Stadt,1057
2019-05-27,313,Hochdorf,132
2019-05-27,7,Nidwalden,186
2019-05-27,1722,Rorschach,39
2019-05-27,245,Emmental,42
2019-05-27,103,Bülach,188
2019-05-27,1909,Rheinfelden,49
2019-05-27,108,Pfäffikon,34
2019-05-27,2101,Bellinzona,9334
2019-05-27,1726,See-Gaster,52
2019-05-27,505,March,34
2019-05-27,1304,Sissach,79
2019-05-27,2107,Riviera,801
2019-05-27,1905,Kulm,27
2019-05-27,112,Zürich,1116
2019-05-27,1845,Landquart,113
2019-05-27,2012,Frauenfeld,44
2019-05-27,1901,Aarau,57
2019-05-27,314,Sursee,176
2019-05-27,2013,Kreuzlingen,52
2019-05-27,250,Interlaken-Oberhasli,132
2019-05-27,1844,Imboden,63
2019-05-27,104,Dielsdorf,64
2019-05-27,1108,Olten,106
2019-05-27,1721,St. Gallen,43
2019-05-27,1903,Bremgarten,66
2019-05-27,8,Glarus,39
2019-05-27,246,Bern-Mittelland,137
2019-05-27,1908,Muri,37
2019-05-27,2102,Blenio,219
2019-05-27,315,Willisau,50
2019-05-27,1725,Sarganserland,102
2019-05-27,1303,Liestal,276
2019-05-27,107,Meilen,74
2019-05-27,242,Biel/Bienne,67
2019-05-27,4,Uri,785
2019-05-27,506,Schwyz,205
2019-05-27,1004,La Sarine,22
2019-05-27,1902,Baden,85
2019-05-27,111,Dietikon,102
2019-05-27,1848,Plessur,85
2019-05-27,2106,Mendrisio,29975
2019-05-27,-1,Other,528
2019-05-28,101,Affoltern,87
2019-05-28,1850,Surselva,93
2019-05-28,2104,Locarno,4677
2019-05-28,2014,Münchwilen,36
2019-05-28,1728,Wil,48
2019-05-28,247,Thun,38
2019-05-28,1305,Waldenburg,22
2019-05-28,24,Neuchâtel,33
2019-05-28,1724,Werdenberg,451
2019-05-28,1904,Brugg,41
2019-05-28,25,Genève,66
2019-05-28,504,Küssnacht (SZ),32
2019-05-28,110,Winterthur,114
2019-05-28,1907,Lenzburg,44
2019-05-28,2301,Brig,33
2019-05-28,1847,Moesa,795
2019-05-28,2105,Lugano,37907
2019-05-28,1911,Zurzach,28
2019-05-28,106,Horgen,181
2019-05-28,2103,Leventina,1604
2019-05-28,312,Luzern-Land,191
2019-05-28,2011,Arbon,78
2019-05-28,6,Obwalden,88
2019-05-28,102,Andelfingen,21
2019-05-28,1723,Rheintal,243
2019-05-28,2015,Weinfelden,56
2019-05-28,1910,Zofingen,68
2019-05-28,1106,Wasseramt,31
2019-05-28,1402,Reiat,88
2019-05-28,1851,Viamala,265
2019-05-28,9,Zug,289
2019-05-28,109,Uster,104
2019-05-28,2108,Vallemaggia,130
2019-05-28,503,Höfe,54
2019-05-28,105,Hinwil,66
2019-05-28,244,Oberaargau,26
2019-05-28,311,Luzern-Stadt,293
2019-05-28,1846,Maloja,51
2019-05-28,1906,Laufenburg,36
2019-05-28,1301,Arlesheim,204
2019-05-28,2225,Lausanne,34
2019-05-28,1403,Schaffhausen,85
2019-05-28,12,Basel-Stadt,788
2019-05-28,313,Hochdorf,180
