Date,Municipality From Id,Municipality From Name,Count
2019-05-27,1501,Beckenried,52
2019-05-27,1024,Emmen,57
2019-05-27,5260,Novazzano,1551
2019-05-27,5131,Tenero-Contra,215
2019-05-27,5141,Agno,4405
2019-05-27,5242,Balerna,2107
2019-05-27,1401,Alpnach,23
2019-05-27,5237,Alto Malcantone,472
2019-05-27,5120,Muralto,250
2019-05-27,5257,Morbio Inferiore,599
2019-05-27,5161,Cademario,72
2019-05-27,5178,Croglio,559
2019-05-27,1507,Hergiswil (NW),36
2019-05-27,5192,Lugano,2888
2019-05-27,3276,Wartau,51
2019-05-27,5227,Torricella-Taverne,1360
2019-05-27,5195,Maroggia,281
2019-05-27,5269,Breggia,153
2019-05-27,3275,Sevelen,44
2019-05-27,3821,Lostallo,25
2019-05-27,5064,Bodio,68
2019-05-27,5160,Brusino Arsizio,132
2019-05-27,5108,Gordola,229
2019-05-27,1059,Kriens,40
2019-05-27,3638,Scharans,25
2019-05-27,5199,Mezzovico-Vira,1001
2019-05-27,5193,Magliaso,837
2019-05-27,5397,Centovalli,41
2019-05-27,3835,San Vittore,229
2019-05-27,5076,Personico,35
2019-05-27,1362,Arth,87
2019-05-27,5091,Ascona,399
2019-05-27,5077,Pollegio,82
2019-05-27,261,Zürich,1116
2019-05-27,1373,Steinen,22
2019-05-27,1040,Rothenburg,48
2019-05-27,243,Dietikon,36
2019-05-27,1201,Altdorf (UR),44
2019-05-27,1206,Erstfeld,159
2019-05-27,5017,Sant'Antonino,1086
2019-05-27,5281,Biasca,567
2019-05-27,5206,Neggio,120
2019-05-27,5049,Blenio,55
2019-05-27,5002,Bellinzona,6584
2019-05-27,5266,Stabio,2226
2019-05-27,1502,Buochs,23
2019-05-27,5396,Terre di Pedemonte,73
2019-05-27,3271,Buchs (SG),240
2019-05-27,5113,Locarno,1343
2019-05-27,1402,Engelberg,119
2019-05-27,5189,Lamone,2024
2019-05-27,1089,Knutwil,22
2019-05-27,3254,Oberriet (SG),55
2019-05-27,5238,Monteceneri,2530
2019-05-27,141,Thalwil,26
2019-05-27,5233,Vico Morcote,149
2019-05-27,5181,Curio,219
2019-05-27,5263,Riva San Vitale,1078
2019-05-27,5213,Ponte Tresa,522
2019-05-27,1207,Flüelen,49
2019-05-27,5317,Maggia,71
2019-05-27,5149,Bedigliora,208
2019-05-27,2581,Olten,50
2019-05-27,2766,Birsfelden,31
2019-05-27,371,Biel/Bienne,35
2019-05-27,5112,Lavertezzo,84
2019-05-27,3834,Roveredo (GR),198
2019-05-27,5310,Cevio,22
2019-05-27,1202,Andermatt,39
2019-05-27,5198,Melide,1230
2019-05-27,5249,Castel San Pietro,360
2019-05-27,5138,Cugnasco-Gerra,127
2019-05-27,5230,Vernate,83
2019-05-27,5048,Acquarossa,79
2019-05-27,3274,Sennwald,174
2019-05-27,584,Lauterbrunnen,22
2019-05-27,191,Dübendorf,22
2019-05-27,3234,Diepoldsau,58
2019-05-27,2849,Itingen,30
2019-05-27,5121,Orselina,25
2019-05-27,5050,Serravalle,84
2019-05-27,5097,Brissago,104
2019-05-27,1701,Baar,32
2019-05-27,1707,Risch,23
2019-05-27,5118,Minusio,337
2019-05-27,1058,Horw,47
2019-05-27,3340,Rapperswil-Jona,24
2019-05-27,5148,Bedano,2172
2019-05-27,5207,Novaggio,100
2019-05-27,3832,Grono,87
2019-05-27,1209,Gurtnellen,33
2019-05-27,5143,Aranno,194
2019-05-27,5212,Ponte Capriasca,483
2019-05-27,230,Winterthur,63
2019-05-27,5222,Sessa,74
2019-05-27,5202,Monteggio,637
2019-05-27,3668,Thusis,22
2019-05-27,1630,Glarus Nord,24
2019-05-27,1061,Luzern,381
2019-05-27,2770,Muttenz,146
2019-05-27,5254,Mendrisio,15196
2019-05-27,1213,Schattdorf,331
2019-05-27,5216,Pura,390
2019-05-27,5197,Melano,946
2019-05-27,3953,Maienfeld,55
2019-05-27,135,Kilchberg (ZH),28
2019-05-27,1102,Sempach,22
2019-05-27,1208,Göschenen,24
2019-05-27,1509,Stans,28
2019-05-27,4566,Frauenfeld,22
2019-05-27,5003,Cadenazzo,803
2019-05-27,295,Horgen,30
2019-05-27,5250,Chiasso,3670
2019-05-27,5125,Ronco sopra Ascona,84
2019-05-27,5171,Caslano,2086
2019-05-27,2821,Arisdorf,76
2019-05-27,5079,Quinto,781
2019-05-27,2831,Pratteln,133
2019-05-27,1711,Zug,91
2019-05-27,3691,Hinterrhein,28
