Date,PLZ From Id,PLZ From Name,Count
2019-05-27,7304,Maienfeld,55
2019-05-27,6979,Lugano,42
2019-05-27,6855,Stabio,2090
2019-05-27,6512,Bellinzona,1372
2019-05-27,6986,Curio Miglieglia Novaggio,348
2019-05-27,6954,Capriasca,319
2019-05-27,6527,Riviera,110
2019-05-27,6374,Buochs,23
2019-05-27,8200,Schaffhausen,23
2019-05-27,6808,Torricella-Taverne,134
2019-05-27,8005,Zürich,370
2019-05-27,6918,Lugano,466
2019-05-27,6883,Novazzano,1554
2019-05-27,6744,Personico,35
2019-05-27,6776,Quinto,690
2019-05-27,6830,Chiasso,3603
2019-05-27,9469,Sennwald,156
2019-05-27,6764,Faido,93
2019-05-27,6939,Alto Malcantone,238
2019-05-27,6515,Bellinzona,32
2019-05-27,4058,Basel,376
2019-05-27,6370,Oberdorf (NW) Stans,37
2019-05-27,6804,Monteceneri,286
2019-05-27,6877,Coldrerio,2111
2019-05-27,9476,Wartau,29
2019-05-27,6914,Lugano,277
2019-05-27,6872,Mendrisio,30
2019-05-27,9465,Sennwald,30
2019-05-27,6707,Riviera,23
2019-05-27,8500,Frauenfeld,22
2019-05-27,4422,Arisdorf,76
2019-05-27,9464,Altstätten Rüthi (SG),30
2019-05-27,6987,Caslano,2115
2019-05-27,6968,Lugano,74
2019-05-27,6713,Serravalle,58
2019-05-27,6006,Luzern,21
2019-05-27,7000,Chur,80
2019-05-27,6873,Castel San Pietro,50
2019-05-27,6010,Alpnach Kriens,37
2019-05-27,6951,Lugano,48
2019-05-27,6599,Cadenazzo,64
2019-05-27,8600,Dübendorf,22
2019-05-27,6936,Cademario,70
2019-05-27,6828,Balerna,2168
2019-05-27,6487,Göschenen,24
2019-05-27,9475,Sevelen,44
2019-05-27,6594,Gambarogno,338
2019-05-27,6983,Magliaso,848
2019-05-27,4600,Olten,50
2019-05-27,8802,Kilchberg (ZH),28
2019-05-27,6523,Bellinzona,81
2019-05-27,6410,Arth Gersau,72
2019-05-27,6745,Giornico,75
2019-05-27,6534,San Vittore,228
2019-05-27,6300,Zug,87
2019-05-27,6823,Arogno,106
2019-05-27,6717,Blenio,36
2019-05-27,6562,Soazza,39
2019-05-27,8050,Zürich,32
2019-05-27,6809,Comunanza Cadenazzo/Montecener,72
2019-05-27,6648,Minusio,312
2019-05-27,8001,Zürich,207
2019-05-27,6947,Capriasca,111
2019-05-27,6702,Bellinzona,134
2019-05-27,6863,Mendrisio,57
2019-05-27,6616,Losone,306
2019-05-27,6760,Faido,68
2019-05-27,6020,Emmen,45
