Date,Canton From Id,Canton From Name,Canton To Id,Canton To Name,Count
2019-05-27,1,Zürich,21,Ticino,1847
2019-05-27,21,Ticino,21,Ticino,69661
2019-05-27,21,Ticino,1,Zürich,2792
2019-05-27,21,Ticino,18,Graubünden,1543
2019-05-27,21,Ticino,17,St. Gallen,1399
2019-05-27,21,Ticino,3,Luzern,1371
2019-05-27,21,Ticino,4,Uri,1346
2019-05-27,21,Ticino,12,Basel-Stadt,1140
2019-05-27,12,Basel-Stadt,21,Ticino,1045
2019-05-27,18,Graubünden,21,Ticino,1246
2019-05-28,1,Zürich,21,Ticino,2143
2019-05-28,21,Ticino,21,Ticino,71982
2019-05-28,21,Ticino,1,Zürich,1830
2019-05-28,21,Ticino,18,Graubünden,1334
2019-05-28,21,Ticino,17,St. Gallen,977
2019-05-28,21,Ticino,3,Luzern,932
2019-05-28,17,St. Gallen,21,Ticino,1090
2019-05-28,21,Ticino,4,Uri,977
2019-05-28,18,Graubünden,21,Ticino,1497
2019-05-28,4,Uri,21,Ticino,2200
2019-05-29,1,Zürich,21,Ticino,4837
2019-05-29,21,Ticino,21,Ticino,82033
2019-05-29,21,Ticino,1,Zürich,1699
2019-05-29,21,Ticino,18,Graubünden,1163
2019-05-29,21,Ticino,17,St. Gallen,999
2019-05-29,21,Ticino,3,Luzern,1158
2019-05-29,17,St. Gallen,21,Ticino,3538
2019-05-29,12,Basel-Stadt,21,Ticino,1197
2019-05-29,18,Graubünden,21,Ticino,3273
2019-05-29,4,Uri,21,Ticino,5657
2019-05-30,1,Zürich,21,Ticino,5465
2019-05-30,21,Ticino,21,Ticino,72030
2019-05-30,21,Ticino,1,Zürich,1682
2019-05-30,21,Ticino,18,Graubünden,1501
2019-05-30,17,St. Gallen,21,Ticino,4014
2019-05-30,3,Luzern,21,Ticino,1586
2019-05-30,13,Basel-Landschaft,21,Ticino,1124
2019-05-30,12,Basel-Stadt,21,Ticino,2201
2019-05-30,18,Graubünden,21,Ticino,5200
2019-05-30,4,Uri,21,Ticino,7720
2019-05-31,1,Zürich,21,Ticino,3203
2019-05-31,21,Ticino,21,Ticino,78788
2019-05-31,21,Ticino,1,Zürich,2312
2019-05-31,21,Ticino,18,Graubünden,1875
2019-05-31,21,Ticino,17,St. Gallen,1591
2019-05-31,17,St. Gallen,21,Ticino,1596
2019-05-31,21,Ticino,4,Uri,1658
2019-05-31,21,Ticino,12,Basel-Stadt,1630
2019-05-31,12,Basel-Stadt,21,Ticino,1405
2019-05-31,18,Graubünden,21,Ticino,1996
2019-06-01,1,Zürich,21,Ticino,2411
2019-06-01,21,Ticino,21,Ticino,81021
2019-06-01,21,Ticino,1,Zürich,3350
2019-06-01,21,Ticino,18,Graubünden,3623
2019-06-01,21,Ticino,17,St. Gallen,3361
2019-06-01,17,St. Gallen,21,Ticino,1493
2019-06-01,21,Ticino,4,Uri,1616
2019-06-01,21,Ticino,12,Basel-Stadt,1620
2019-06-01,12,Basel-Stadt,21,Ticino,1491
2019-06-01,18,Graubünden,21,Ticino,2127
2019-06-02,1,Zürich,21,Ticino,1890
2019-06-02,21,Ticino,21,Ticino,82814
2019-06-02,21,Ticino,1,Zürich,5087
2019-06-02,21,Ticino,18,Graubünden,12893
2019-06-02,21,Ticino,17,St. Gallen,2828
2019-06-02,17,St. Gallen,21,Ticino,1422
2019-06-02,21,Ticino,4,Uri,1595
2019-06-02,21,Ticino,12,Basel-Stadt,1656
2019-06-02,12,Basel-Stadt,21,Ticino,1373
2019-06-02,18,Graubünden,21,Ticino,2225
2019-06-03,1,Zürich,21,Ticino,1767
2019-06-03,21,Ticino,21,Ticino,77747
2019-06-03,21,Ticino,1,Zürich,3496
2019-06-03,21,Ticino,18,Graubünden,2267
2019-06-03,21,Ticino,17,St. Gallen,2089
2019-06-03,21,Ticino,3,Luzern,1140
2019-06-03,21,Ticino,4,Uri,1186
2019-06-03,21,Ticino,12,Basel-Stadt,1083
2019-06-03,12,Basel-Stadt,21,Ticino,1392
2019-06-03,18,Graubünden,21,Ticino,1417
2019-06-04,1,Zürich,21,Ticino,1614
2019-06-04,21,Ticino,21,Ticino,73051
2019-06-04,21,Ticino,1,Zürich,1911
2019-06-04,21,Ticino,18,Graubünden,1384
2019-06-04,21,Ticino,17,St. Gallen,1057
2019-06-04,21,Ticino,3,Luzern,1177
2019-06-04,3,Luzern,21,Ticino,910
2019-06-04,21,Ticino,4,Uri,1072
2019-06-04,21,Ticino,12,Basel-Stadt,968
2019-06-04,18,Graubünden,21,Ticino,1222
2019-06-05,1,Zürich,21,Ticino,1803
2019-06-05,21,Ticino,21,Ticino,73285
2019-06-05,21,Ticino,1,Zürich,1866
2019-06-05,21,Ticino,18,Graubünden,1318
2019-06-05,21,Ticino,17,St. Gallen,1125
2019-06-05,21,Ticino,3,Luzern,1221
2019-06-05,21,Ticino,4,Uri,1338
2019-06-05,21,Ticino,12,Basel-Stadt,1240
2019-06-05,18,Graubünden,21,Ticino,1505
2019-06-05,4,Uri,21,Ticino,1191
2019-06-06,1,Zürich,21,Ticino,3032
2019-06-06,21,Ticino,21,Ticino,73028
2019-06-06,21,Ticino,1,Zürich,1948
2019-06-06,21,Ticino,18,Graubünden,1343
2019-06-06,21,Ticino,17,St. Gallen,1184
2019-06-06,21,Ticino,3,Luzern,1212
2019-06-06,17,St. Gallen,21,Ticino,1631
2019-06-06,21,Ticino,4,Uri,1230
2019-06-06,12,Basel-Stadt,21,Ticino,1281
2019-06-06,18,Graubünden,21,Ticino,1729
2019-06-07,1,Zürich,21,Ticino,5164
2019-06-07,21,Ticino,21,Ticino,79164
2019-06-07,21,Ticino,1,Zürich,2308
2019-06-07,21,Ticino,17,St. Gallen,1606
2019-06-07,17,St. Gallen,21,Ticino,3937
2019-06-07,21,Ticino,4,Uri,1633
2019-06-07,21,Ticino,12,Basel-Stadt,1417
2019-06-07,12,Basel-Stadt,21,Ticino,2135
2019-06-07,18,Graubünden,21,Ticino,2855
2019-06-07,4,Uri,21,Ticino,2964
2019-06-08,1,Zürich,21,Ticino,3620
2019-06-08,21,Ticino,21,Ticino,72020
2019-06-08,21,Ticino,1,Zürich,2345
2019-06-08,21,Ticino,18,Graubünden,2270
2019-06-08,17,St. Gallen,21,Ticino,5860
2019-06-08,21,Ticino,12,Basel-Stadt,1830
2019-06-08,12,Basel-Stadt,21,Ticino,2240
2019-06-08,18,Graubünden,21,Ticino,6643
2019-06-08,14,Schaffhausen,21,Ticino,1791
2019-06-08,4,Uri,21,Ticino,8781
2019-06-09,1,Zürich,21,Ticino,2417
2019-06-09,21,Ticino,21,Ticino,58133
2019-06-09,21,Ticino,1,Zürich,3589
2019-06-09,21,Ticino,17,St. Gallen,2280
2019-06-09,17,St. Gallen,21,Ticino,3886
2019-06-09,21,Ticino,4,Uri,2256
2019-06-09,21,Ticino,12,Basel-Stadt,2115
2019-06-09,12,Basel-Stadt,21,Ticino,2254
2019-06-09,18,Graubünden,21,Ticino,3003
2019-06-09,4,Uri,21,Ticino,3290
2019-06-10,21,Ticino,21,Ticino,54386
2019-06-10,21,Ticino,1,Zürich,6260
2019-06-10,21,Ticino,18,Graubünden,2709
2019-06-10,21,Ticino,17,St. Gallen,2979
2019-06-10,21,Ticino,3,Luzern,1981
2019-06-10,17,St. Gallen,21,Ticino,1604
2019-06-10,21,Ticino,4,Uri,2130
2019-06-10,21,Ticino,12,Basel-Stadt,1936
2019-06-10,12,Basel-Stadt,21,Ticino,1351
2019-06-10,18,Graubünden,21,Ticino,1791
2019-06-11,1,Zürich,21,Ticino,1858
2019-06-11,21,Ticino,21,Ticino,73631
2019-06-11,21,Ticino,1,Zürich,2711
2019-06-11,21,Ticino,18,Graubünden,1824
2019-06-11,21,Ticino,17,St. Gallen,1373
2019-06-11,21,Ticino,3,Luzern,1056
2019-06-11,17,St. Gallen,21,Ticino,1049
2019-06-11,21,Ticino,4,Uri,1218
2019-06-11,21,Ticino,12,Basel-Stadt,1092
2019-06-11,18,Graubünden,21,Ticino,1461
2019-06-12,1,Zürich,21,Ticino,1736
2019-06-12,21,Ticino,21,Ticino,72800
2019-06-12,21,Ticino,1,Zürich,1876
2019-06-12,21,Ticino,18,Graubünden,1101
2019-06-12,21,Ticino,3,Luzern,1099
2019-06-12,21,Ticino,4,Uri,1092
2019-06-12,21,Ticino,12,Basel-Stadt,1071
2019-06-12,12,Basel-Stadt,21,Ticino,926
2019-06-12,18,Graubünden,21,Ticino,1209
2019-06-12,4,Uri,21,Ticino,1965
2019-06-13,1,Zürich,21,Ticino,2453
2019-06-13,21,Ticino,21,Ticino,78661
2019-06-13,21,Ticino,1,Zürich,2103
2019-06-13,21,Ticino,18,Graubünden,1544
2019-06-13,21,Ticino,17,St. Gallen,1282
2019-06-13,17,St. Gallen,21,Ticino,1218
2019-06-13,21,Ticino,4,Uri,1154
2019-06-13,21,Ticino,12,Basel-Stadt,1077
2019-06-13,12,Basel-Stadt,21,Ticino,1186
2019-06-13,18,Graubünden,21,Ticino,1703
2019-06-14,1,Zürich,21,Ticino,4021
