Date,District From Id,District From Name,District To Id,District To Name,Count
2019-05-27,2105,Lugano,2106,Mendrisio,7259
2019-05-27,2101,Bellinzona,2105,Lugano,3395
2019-05-27,2104,Locarno,2106,Mendrisio,2314
2019-05-27,2106,Mendrisio,2104,Locarno,2366
2019-05-27,2101,Bellinzona,2106,Mendrisio,5262
2019-05-27,2106,Mendrisio,2101,Bellinzona,5791
2019-05-27,2105,Lugano,2105,Lugano,21036
2019-05-27,2105,Lugano,2101,Bellinzona,4039
2019-05-27,2106,Mendrisio,2105,Lugano,7313
2019-05-27,2106,Mendrisio,2106,Mendrisio,1675
2019-05-28,2105,Lugano,2106,Mendrisio,7509
2019-05-28,2101,Bellinzona,2105,Lugano,3515
2019-05-28,2104,Locarno,2106,Mendrisio,2311
2019-05-28,2106,Mendrisio,2104,Locarno,2077
2019-05-28,2101,Bellinzona,2106,Mendrisio,5518
2019-05-28,4,Uri,2106,Mendrisio,1860
2019-05-28,2106,Mendrisio,2101,Bellinzona,5946
2019-05-28,2105,Lugano,2105,Lugano,21688
2019-05-28,2105,Lugano,2101,Bellinzona,4180
2019-05-28,2106,Mendrisio,2105,Lugano,7343
2019-05-29,2105,Lugano,2106,Mendrisio,8476
2019-05-29,2101,Bellinzona,2105,Lugano,4130
2019-05-29,2104,Locarno,2106,Mendrisio,2719
2019-05-29,2101,Bellinzona,2106,Mendrisio,8551
2019-05-29,4,Uri,2106,Mendrisio,4918
2019-05-29,2106,Mendrisio,2101,Bellinzona,6096
2019-05-29,2105,Lugano,2105,Lugano,24630
2019-05-29,2105,Lugano,2101,Bellinzona,4328
2019-05-29,2106,Mendrisio,2105,Lugano,7775
2019-05-29,2103,Leventina,2106,Mendrisio,2120
2019-05-30,2105,Lugano,2106,Mendrisio,6153
2019-05-30,2101,Bellinzona,2105,Lugano,2320
2019-05-30,2104,Locarno,2106,Mendrisio,2727
2019-05-30,12,Basel-Stadt,2106,Mendrisio,1968
2019-05-30,2101,Bellinzona,2106,Mendrisio,7124
2019-05-30,4,Uri,2106,Mendrisio,6800
2019-05-30,2106,Mendrisio,2101,Bellinzona,3131
2019-05-30,2105,Lugano,2105,Lugano,23547
2019-05-30,2106,Mendrisio,2105,Lugano,5054
2019-05-30,2103,Leventina,2106,Mendrisio,3996
2019-05-31,2105,Lugano,2106,Mendrisio,6669
2019-05-31,2101,Bellinzona,2105,Lugano,3367
2019-05-31,2104,Locarno,2106,Mendrisio,2978
2019-05-31,2106,Mendrisio,2104,Locarno,2632
2019-05-31,2101,Bellinzona,2106,Mendrisio,5565
2019-05-31,2106,Mendrisio,2101,Bellinzona,5200
2019-05-31,2105,Lugano,2105,Lugano,26600
2019-05-31,2105,Lugano,2101,Bellinzona,3786
2019-05-31,2106,Mendrisio,2105,Lugano,6747
2019-05-31,2105,Lugano,2104,Locarno,2687
2019-06-01,2105,Lugano,2106,Mendrisio,5686
2019-06-01,2101,Bellinzona,2105,Lugano,2607
2019-06-01,2106,Mendrisio,2104,Locarno,2762
2019-06-01,2101,Bellinzona,2106,Mendrisio,4641
2019-06-01,2106,Mendrisio,2101,Bellinzona,5612
2019-06-01,2105,Lugano,2105,Lugano,25996
2019-06-01,2105,Lugano,2101,Bellinzona,3139
2019-06-01,2106,Mendrisio,2105,Lugano,5717
2019-06-01,2105,Lugano,2104,Locarno,2745
2019-06-01,2106,Mendrisio,2103,Leventina,6830
2019-06-02,2105,Lugano,2106,Mendrisio,4666
2019-06-02,2106,Mendrisio,2104,Locarno,3282
2019-06-02,2106,Mendrisio,1847,Moesa,8033
2019-06-02,2101,Bellinzona,2106,Mendrisio,4101
2019-06-02,2106,Mendrisio,2101,Bellinzona,8013
2019-06-02,2105,Lugano,2105,Lugano,20995
2019-06-02,2105,Lugano,2101,Bellinzona,2643
2019-06-02,2106,Mendrisio,2105,Lugano,6621
2019-06-02,2106,Mendrisio,2103,Leventina,12750
2019-06-02,2105,Lugano,2103,Leventina,2908
2019-06-03,2105,Lugano,2106,Mendrisio,7002
2019-06-03,2101,Bellinzona,2105,Lugano,3318
2019-06-03,2104,Locarno,2106,Mendrisio,2095
2019-06-03,2106,Mendrisio,2104,Locarno,2494
2019-06-03,2101,Bellinzona,2106,Mendrisio,5312
2019-06-03,2106,Mendrisio,2101,Bellinzona,6559
2019-06-03,2105,Lugano,2105,Lugano,23010
2019-06-03,2105,Lugano,2101,Bellinzona,4009
2019-06-03,2106,Mendrisio,2105,Lugano,7698
2019-06-03,2106,Mendrisio,2103,Leventina,4574
2019-06-04,2105,Lugano,2106,Mendrisio,7249
2019-06-04,2101,Bellinzona,2105,Lugano,3716
2019-06-04,2104,Locarno,2106,Mendrisio,2298
2019-06-04,2106,Mendrisio,2104,Locarno,2133
2019-06-04,2101,Bellinzona,2106,Mendrisio,5175
2019-06-04,2106,Mendrisio,2101,Bellinzona,5423
2019-06-04,2105,Lugano,2105,Lugano,23832
2019-06-04,2105,Lugano,2101,Bellinzona,4235
2019-06-04,2106,Mendrisio,2105,Lugano,7324
2019-06-04,2105,Lugano,2104,Locarno,2030
2019-06-05,2105,Lugano,2106,Mendrisio,7390
2019-06-05,2101,Bellinzona,2105,Lugano,3722
2019-06-05,2104,Locarno,2106,Mendrisio,2175
2019-06-05,2106,Mendrisio,2104,Locarno,2205
2019-06-05,2101,Bellinzona,2106,Mendrisio,5525
2019-06-05,2106,Mendrisio,2101,Bellinzona,5510
2019-06-05,2105,Lugano,2105,Lugano,23299
2019-06-05,2105,Lugano,2101,Bellinzona,4121
2019-06-05,2106,Mendrisio,2105,Lugano,7374
2019-06-05,2105,Lugano,2104,Locarno,1996
