Date,Municipality From Id,Municipality From Name,Municipality To Id,Municipality To Name,Count
2019-05-27,5254,Mendrisio,5238,Monteceneri,495
2019-05-27,5226,Capriasca,5226,Capriasca,572
2019-05-27,5141,Agno,5171,Caslano,661
2019-05-27,5002,Bellinzona,5250,Chiasso,1068
2019-05-27,5002,Bellinzona,5254,Mendrisio,897
2019-05-27,5250,Chiasso,5002,Bellinzona,620
2019-05-27,5254,Mendrisio,2701,Basel,746
2019-05-27,2701,Basel,5250,Chiasso,395
2019-05-27,261,Zürich,5250,Chiasso,571
2019-05-27,5254,Mendrisio,5002,Bellinzona,1885
2019-05-28,5254,Mendrisio,5238,Monteceneri,544
2019-05-28,5226,Capriasca,5226,Capriasca,513
2019-05-28,5141,Agno,5171,Caslano,717
2019-05-28,5002,Bellinzona,5250,Chiasso,1030
2019-05-28,5141,Agno,5141,Agno,621
2019-05-28,5002,Bellinzona,5254,Mendrisio,942
2019-05-28,5250,Chiasso,5002,Bellinzona,612
2019-05-28,5254,Mendrisio,2701,Basel,485
2019-05-28,261,Zürich,5250,Chiasso,637
2019-05-28,5254,Mendrisio,5002,Bellinzona,1762
2019-05-29,5226,Capriasca,5226,Capriasca,725
2019-05-29,5141,Agno,5171,Caslano,724
2019-05-29,5002,Bellinzona,5250,Chiasso,1909
2019-05-29,5002,Bellinzona,5254,Mendrisio,1041
2019-05-29,5250,Chiasso,5002,Bellinzona,731
2019-05-29,5002,Bellinzona,5268,Vacallo,1084
2019-05-29,1220,Wassen,5250,Chiasso,1224
2019-05-29,261,Zürich,5250,Chiasso,1387
2019-05-29,5254,Mendrisio,5002,Bellinzona,1759
2019-05-29,1220,Wassen,5268,Vacallo,1213
2019-05-30,5079,Quinto,5250,Chiasso,909
2019-05-30,5226,Capriasca,5226,Capriasca,1035
2019-05-30,5002,Bellinzona,5002,Bellinzona,711
2019-05-30,5002,Bellinzona,5250,Chiasso,2413
2019-05-30,5002,Bellinzona,5268,Vacallo,1353
2019-05-30,1220,Wassen,5250,Chiasso,1671
2019-05-30,2701,Basel,5250,Chiasso,940
2019-05-30,261,Zürich,5250,Chiasso,1675
2019-05-30,5254,Mendrisio,5002,Bellinzona,996
2019-05-30,1220,Wassen,5268,Vacallo,1470
2019-05-31,5226,Capriasca,5226,Capriasca,825
2019-05-31,5141,Agno,5171,Caslano,713
2019-05-31,5002,Bellinzona,5250,Chiasso,1412
2019-05-31,5141,Agno,5141,Agno,790
2019-05-31,5002,Bellinzona,5254,Mendrisio,777
