Date,PLZ From Id,PLZ From Name,PLZ To Id,PLZ To Name,Count
2019-05-27,6850,Mendrisio,6467,Schattdorf,210
2019-05-27,6982,Agno,6982,Agno,530
2019-05-27,6500,Bellinzona,6850,Mendrisio,258
2019-05-27,6850,Mendrisio,4057,Basel,150
2019-05-27,6850,Mendrisio,6500,Bellinzona,408
2019-05-27,6776,Quinto,6833,Vacallo,186
2019-05-27,6776,Quinto,6830,Chiasso,257
2019-05-27,6500,Bellinzona,6830,Chiasso,608
2019-05-27,6830,Chiasso,6500,Bellinzona,435
2019-05-27,6982,Agno,6987,Caslano,662
2019-05-28,6982,Agno,6982,Agno,581
2019-05-28,6500,Bellinzona,6850,Mendrisio,273
2019-05-28,6484,Wassen,6833,Vacallo,354
2019-05-28,6484,Wassen,6830,Chiasso,427
2019-05-28,6850,Mendrisio,6500,Bellinzona,425
2019-05-28,6776,Quinto,6833,Vacallo,222
2019-05-28,6776,Quinto,6830,Chiasso,230
2019-05-28,6500,Bellinzona,6830,Chiasso,580
2019-05-28,6830,Chiasso,6500,Bellinzona,399
2019-05-28,6982,Agno,6987,Caslano,731
2019-05-29,6982,Agno,6982,Agno,643
2019-05-29,6500,Bellinzona,6833,Vacallo,462
2019-05-29,6484,Wassen,6833,Vacallo,1274
2019-05-29,6484,Wassen,6830,Chiasso,1182
2019-05-29,6850,Mendrisio,6500,Bellinzona,360
2019-05-29,6592,Sant'Antonino,6830,Chiasso,371
2019-05-29,6776,Quinto,6833,Vacallo,442
2019-05-29,6776,Quinto,6830,Chiasso,446
2019-05-29,6500,Bellinzona,6830,Chiasso,943
2019-05-29,6982,Agno,6987,Caslano,737
2019-05-30,6503,Bellinzona,6833,Vacallo,467
2019-05-30,8005,Zürich,6830,Chiasso,696
2019-05-30,6500,Bellinzona,6833,Vacallo,545
2019-05-30,4058,Basel,6830,Chiasso,272
2019-05-30,6484,Wassen,6833,Vacallo,1533
2019-05-30,6484,Wassen,6830,Chiasso,1628
2019-05-30,6503,Bellinzona,6830,Chiasso,555
2019-05-30,6776,Quinto,6833,Vacallo,821
2019-05-30,6776,Quinto,6830,Chiasso,816
2019-05-30,6500,Bellinzona,6830,Chiasso,1171
2019-05-31,6850,Mendrisio,6467,Schattdorf,224
2019-05-31,6982,Agno,6982,Agno,671
2019-05-31,6500,Bellinzona,6833,Vacallo,453
2019-05-31,6850,Mendrisio,6500,Bellinzona,264
2019-05-31,6776,Quinto,6833,Vacallo,394
2019-05-31,6776,Quinto,6830,Chiasso,319
2019-05-31,6500,Bellinzona,6830,Chiasso,867
2019-05-31,6830,Chiasso,6500,Bellinzona,401
2019-05-31,6982,Agno,6987,Caslano,714
2019-05-31,6987,Caslano,6987,Caslano,338
2019-06-01,6862,Mendrisio,6776,Quinto,368
2019-06-01,6982,Agno,6982,Agno,470
2019-06-01,6862,Mendrisio,6775,Quinto,560
2019-06-01,6776,Quinto,6833,Vacallo,344
2019-06-01,6850,Mendrisio,6776,Quinto,491
2019-06-01,6776,Quinto,6830,Chiasso,418
2019-06-01,6500,Bellinzona,6830,Chiasso,593
2019-06-01,6982,Agno,6988,Ponte Tresa,468
2019-06-01,6982,Agno,6987,Caslano,425
2019-06-01,6850,Mendrisio,6775,Quinto,859
2019-06-02,6862,Mendrisio,6558,Lostallo,761
2019-06-02,6862,Mendrisio,6764,Faido,602
2019-06-02,6850,Mendrisio,6558,Lostallo,1217
2019-06-02,6850,Mendrisio,6746,Faido,506
2019-06-02,6850,Mendrisio,6745,Giornico,446
2019-06-02,6850,Mendrisio,6780,Airolo,465
2019-06-02,6850,Mendrisio,6562,Soazza,463
2019-06-02,6850,Mendrisio,6764,Faido,896
2019-06-02,6850,Mendrisio,6513,Bellinzona,561
2019-06-02,6500,Bellinzona,6830,Chiasso,442
2019-06-03,6862,Mendrisio,6776,Quinto,304
2019-06-03,6982,Agno,6982,Agno,619
2019-06-03,6862,Mendrisio,6775,Quinto,401
2019-06-03,4058,Basel,6830,Chiasso,214
2019-06-03,6850,Mendrisio,6500,Bellinzona,366
2019-06-03,6850,Mendrisio,6776,Quinto,450
2019-06-03,6500,Bellinzona,6830,Chiasso,701
2019-06-03,6830,Chiasso,6500,Bellinzona,414
2019-06-03,6982,Agno,6987,Caslano,666
2019-06-03,6850,Mendrisio,6775,Quinto,507
2019-06-04,6850,Mendrisio,6467,Schattdorf,149
2019-06-04,6982,Agno,6982,Agno,596
2019-06-04,6500,Bellinzona,6850,Mendrisio,311
2019-06-04,6850,Mendrisio,6500,Bellinzona,375
2019-06-04,6776,Quinto,6833,Vacallo,170
2019-06-04,6776,Quinto,6830,Chiasso,179
2019-06-04,6500,Bellinzona,6830,Chiasso,561
2019-06-04,6830,Chiasso,6500,Bellinzona,371
2019-06-04,6982,Agno,6988,Ponte Tresa,264
2019-06-04,6982,Agno,6987,Caslano,660
2019-06-05,6850,Mendrisio,6467,Schattdorf,249
