VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
312,41701,F,81141700753,28011,TPL Rimessa Rugi' E,02.01.2019,05:59:26,06:00:00,1,599017.96,0,0,R. Porte aperte,34
312,41701,F,81141700701,400105,Lugano- Centro- Mast 5,02.01.2019,06:15:30,06:15:00,0,599021.2,0,0,M. Porte aperte,408
316,41702,F,81141700755,28011,TPL Rimessa Rugi' E,02.01.2019,06:17:22,06:15:00,-2,100132.04,0,0,M. Porte aperte,888
312,41701,F,81141700701,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,06:17:28,06:17:00,0,599021.8,0.6,0.347,,
312,41701,F,81141700701,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,06:18:34,06:19:00,0,599022.39,0.58,0.507,,
312,41701,F,81141700701,400701,Paradiso- Debarcadero- Mast 1,02.01.2019,06:20:16,06:22:00,2,599023.16,0.72,0.72,M. Porte aperte,12
312,41701,F,81141700701,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,06:24:10,06:27:00,3,599024.79,1.68,1.66,,
312,41701,F,81141700702,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,06:33:16,06:30:00,-3,599024.84,0,0,M. Porte aperte,78
316,41702,F,81141700703,400105,Lugano- Centro- Mast 5,02.01.2019,06:33:28,06:30:00,-3,100135.47,0,0,M. Porte aperte,256
316,41702,F,81141700703,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,06:34:56,06:32:00,-3,100136.08,0.61,0.347,,
316,41702,F,81141700703,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,06:36:00,06:34:00,-2,100136.65,0.57,0.507,,
312,41701,F,81141700702,400706,Paradiso- Debarcadero- Mast 6,02.01.2019,06:36:18,06:35:00,-1,599026.47,1.63,1.65,,
316,41702,F,81141700703,400701,Paradiso- Debarcadero- Mast 1,02.01.2019,06:37:06,06:37:00,0,100137.4,0.66,0.72,,
312,41701,F,81141700702,401002,Lugano- Piazza Luini- Mast 2,02.01.2019,06:37:54,06:37:30,0,599027.23,0.76,0.769,,
312,41701,F,81141700702,402402,Lugano- Piazza Manzoni- Mast 2,02.01.2019,06:39:16,06:40:00,1,599027.9,0.61,0.604,,
312,41701,F,81141700702,400105,Lugano- Centro- Mast 5,02.01.2019,06:40:14,06:41:00,1,599028.18,0.33,0.33,,
316,41702,F,81141700703,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,06:41:08,06:42:00,1,100139.01,1.69,1.66,,
312,41701,F,81141700705,400105,Lugano- Centro- Mast 5,02.01.2019,06:47:28,06:45:00,-2,599028.21,0,0,M. Porte aperte,66
316,41702,F,81141700704,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,06:48:00,06:45:00,-3,100139.05,0,0,M. Porte aperte,332
312,41701,F,81141700705,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,06:49:18,06:47:00,-2,599028.85,0.63,0.347,,
312,41701,F,81141700705,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,06:50:48,06:49:00,-2,599029.46,0.61,0.507,M. Porte aperte,10
312,41701,F,81141700705,400701,Paradiso- Debarcadero- Mast 1,02.01.2019,06:51:52,06:52:00,0,599030.2,0.62,0.72,,
316,41702,F,81141700704,400706,Paradiso- Debarcadero- Mast 6,02.01.2019,06:51:54,06:50:00,-2,100140.63,1.58,1.65,,
316,41702,F,81141700704,401002,Lugano- Piazza Luini- Mast 2,02.01.2019,06:53:20,06:52:30,-1,100141.37,0.73,0.769,,
316,41702,F,81141700704,402402,Lugano- Piazza Manzoni- Mast 2,02.01.2019,06:54:52,06:55:00,0,100142.02,0.62,0.604,M. Porte aperte,12
316,41702,F,81141700704,400105,Lugano- Centro- Mast 5,02.01.2019,06:55:52,06:56:00,0,100142.29,0.3,0.33,,
312,41701,F,81141700705,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,06:56:00,06:57:00,1,599031.82,1.73,1.66,,
312,41701,F,81141700706,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,07:01:04,07:00:00,-1,599031.87,0,0,M. Porte aperte,106
312,41701,F,81141700706,400706,Paradiso- Debarcadero- Mast 6,02.01.2019,07:04:12,07:05:00,1,599033.49,1.62,1.65,,
316,41702,F,81141700707,400105,Lugano- Centro- Mast 5,02.01.2019,07:04:50,07:00:00,-5,100142.31,0,0,M. Porte aperte,12
312,41701,F,81141700706,401002,Lugano- Piazza Luini- Mast 2,02.01.2019,07:05:42,07:07:30,2,599034.26,0.76,0.769,,
316,41702,F,81141700707,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,07:06:28,07:02:00,-4,100142.93,0.62,0.347,,
312,41701,F,81141700706,402402,Lugano- Piazza Manzoni- Mast 2,02.01.2019,07:07:18,07:10:00,3,599034.94,0.63,0.604,M. Porte aperte,10
316,41702,F,81141700707,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,07:07:32,07:04:00,-4,100143.5,0.57,0.507,,
312,41701,F,81141700706,400105,Lugano- Centro- Mast 5,02.01.2019,07:08:08,07:11:00,3,599035.22,0.31,0.33,,
316,41702,F,81141700707,400701,Paradiso- Debarcadero- Mast 1,02.01.2019,07:08:44,07:07:00,-2,100144.25,0.64,0.72,,
316,41702,F,81141700707,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,07:12:52,07:12:00,-1,100145.85,1.7,1.66,,
316,41702,F,81141700708,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,07:16:24,07:15:00,-1,100145.9,0,0,M. Porte aperte,96
312,41701,F,81141700709,400105,Lugano- Centro- Mast 5,02.01.2019,07:19:00,07:15:00,-4,599035.24,0,0,M. Porte aperte,90
316,41702,F,81141700708,400706,Paradiso- Debarcadero- Mast 6,02.01.2019,07:20:16,07:20:00,0,100147.48,1.58,1.65,,
312,41701,F,81141700709,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,07:21:20,07:17:00,-4,599035.89,0.64,0.347,,
316,41702,F,81141700708,401002,Lugano- Piazza Luini- Mast 2,02.01.2019,07:22:16,07:22:30,0,100148.25,0.77,0.769,M. Porte aperte,12
312,41701,F,81141700709,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,07:23:00,07:19:00,-4,599036.5,0.61,0.507,M. Porte aperte,12
316,41702,F,81141700708,402402,Lugano- Piazza Manzoni- Mast 2,02.01.2019,07:23:54,07:25:00,1,100148.86,0.57,0.604,M. Porte aperte,18
312,41701,F,81141700709,400701,Paradiso- Debarcadero- Mast 1,02.01.2019,07:24:18,07:22:00,-2,599037.23,0.68,0.72,M. Porte aperte,12
316,41702,F,81141700708,400105,Lugano- Centro- Mast 5,02.01.2019,07:24:52,07:26:00,1,100149.14,0.31,0.33,,
312,41701,F,81141700709,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,07:27:30,07:27:00,0,599038.86,1.67,1.66,,
312,41701,F,81141700710,414601,Pazzallo- P&R Fornaci- Mast 1,02.01.2019,07:31:10,07:30:00,-1,599038.91,0,0,M. Porte aperte,92
316,41702,F,81141700711,400105,Lugano- Centro- Mast 5,02.01.2019,07:32:10,07:30:00,-2,100149.18,0,0,M. Porte aperte,174
316,41702,F,81141700711,402401,Lugano- Piazza Manzoni- Mast 1,02.01.2019,07:33:46,07:32:00,-2,100149.79,0.61,0.347,,
312,41701,F,81141700710,400706,Paradiso- Debarcadero- Mast 6,02.01.2019,07:34:00,07:35:00,1,599040.53,1.61,1.65,,
316,41702,F,81141700711,401001,Lugano- Piazza Luini- Mast 1,02.01.2019,07:34:58,07:34:00,-1,100150.35,0.56,0.507,,
